,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,2705312,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Godzilla (feat. Juice WRLD),Eminem,2138552,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
3,Life Is Good (feat. Drake),Future,2012736,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4,Dance Monkey,Tones And I,1750149,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,ROXANNE,Arizona Zervas,1321202,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
6,Blinding Lights,The Weeknd,1308217,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,Falling,Trevor Daniel,1105150,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,Circles,Post Malone,1079616,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,Yummy,Justin Bieber,1069370,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
10,Don't Start Now,Dua Lipa,1020260,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,everything i wanted,Billie Eilish,981188,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Good News,Mac Miller,972839,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
13,You should be sad,Halsey,968849,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
14,What If I Told You That I Love You,Ali Gatie,900048,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
15,Someone You Loved,Lewis Capaldi,893563,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,Memories,Maroon 5,863722,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
17,Suicidal,YNW Melly,855035,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
18,bad guy,Billie Eilish,835893,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
19,My Oh My (feat. DaBaby),Camila Cabello,832046,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
20,What A Man Gotta Do,Jonas Brothers,753685,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
21,Ballin' (with Roddy Ricch),Mustard,748505,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
22,BOP,DaBaby,744731,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
23,If the World Was Ending - feat. Julia Michaels,JP Saxe,691214,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
24,Bandit (with YoungBoy Never Broke Again),Juice WRLD,689211,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
25,Those Kinda Nights (feat. Ed Sheeran),Eminem,669526,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
26,Lose You To Love Me,Selena Gomez,660899,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
27,Adore You,Harry Styles,655894,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,SUGAR,BROCKHAMPTON,654714,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
