,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,7 rings,Ariana Grande,2271756,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,MIDDLE CHILD,J. Cole,1667986,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
3,bury a friend,Billie Eilish,1657904,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
4,Wow.,Post Malone,1620665,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1498955,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,Going Bad (feat. Drake),Meek Mill,1076009,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
7,SICKO MODE,Travis Scott,1026871,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,Without Me,Halsey,1014461,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,Look Back at It,A Boogie Wit da Hoodie,965803,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
10,Dancing With A Stranger (with Normani),Sam Smith,927705,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
11,Happier,Marshmello,912403,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,"thank u, next",Ariana Grande,804215,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
13,Drip Too Hard (Lil Baby & Gunna),Lil Baby,782196,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
14,ZEZE (feat. Travis Scott & Offset),Kodak Black,754156,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
15,Saturday Nights,Khalid,727941,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
16,Shallow,Lady Gaga,721520,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
17,Thotiana,Blueface,721114,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
18,Mo Bamba,Sheck Wes,711133,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
19,High Hopes,Panic! At The Disco,706573,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
