,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,ROCKSTAR (feat. Roddy Ricch),DaBaby,1921606,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Rain On Me (with Ariana Grande),Lady Gaga,1659280,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
3,Roses - Imanbek Remix,SAINt JHN,1522926,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,Blinding Lights,The Weeknd,1242206,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,THE SCOTTS,THE SCOTTS,1237621,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
6,Toosie Slide,Drake,1134289,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
7,Blueberry Faygo,Lil Mosey,984945,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,Party Girl,StaySolidRocky,922606,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
9,death bed (coffee for your head),Powfu,920605,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,Stuck with U (with Justin Bieber),Ariana Grande,909861,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
11,GOOBA,6ix9ine,891528,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
12,The Box,Roddy Ricch,882445,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,Don't Start Now,Dua Lipa,847037,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
14,Dance Monkey,Tones And I,838769,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,Intentions (feat. Quavo),Justin Bieber,831267,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,Sunday Best,Surfaces,793559,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,ily (i love you baby) (feat. Emilee),Surf Mesa,787569,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
18,WHATS POPPIN,Jack Harlow,780491,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
19,Be Kind (with Halsey),Marshmello,739271,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
20,After Party,Don Toliver,709589,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
21,Savage Remix (feat. Beyonc?),Megan Thee Stallion,707479,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
22,Circles,Post Malone,703883,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,Break My Heart,Dua Lipa,673018,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
24,Say So (feat. Nicki Minaj),Doja Cat,658074,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
25,Watermelon Sugar,Harry Styles,636477,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
26,Life Is Good (feat. Drake),Future,619523,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
27,Supalonely,BENEE,608951,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
28,Someone You Loved,Lewis Capaldi,605514,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,Walk Em Down (feat. Roddy Ricch),NLE Choppa,604849,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
30,Righteous,Juice WRLD,589464,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
31,ROXANNE,Arizona Zervas,583152,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
32,Chicago Freestyle (feat. Giveon),Drake,581357,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
33,Falling,Trevor Daniel,575803,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
34,If the World Was Ending - feat. Julia Michaels,JP Saxe,555334,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
35,Before You Go,Lewis Capaldi,542783,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,Breaking Me,Topic,525329,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
37,Say So,Doja Cat,504763,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
38,Lose Somebody,Kygo,492520,https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3
39,goosebumps,Travis Scott,492507,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
40,Adore You,Harry Styles,487361,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
41,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,485093,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
42,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,478417,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
43,Play Date,Melanie Martinez,477454,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
44,COOLER THAN A BITCH (feat. Roddy Ricch),Gunna,475152,https://open.spotify.com/track/5LHHKZOwV8XW4LJP2C64mw
45,HIGHEST IN THE ROOM,Travis Scott,472278,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
46,Boss Bitch,Doja Cat,464240,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
47,Godzilla (feat. Juice WRLD),Eminem,459515,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
