,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,1977069,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,In Your Eyes,The Weeknd,1477518,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
3,The Box,Roddy Ricch,1464128,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,After Hours,The Weeknd,1208009,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
5,Dance Monkey,Tones And I,1192835,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,Blueberry Faygo,Lil Mosey,1088398,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,Alone Again,The Weeknd,1076497,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
8,Hardest To Love,The Weeknd,1056334,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
9,Scared To Live,The Weeknd,1054603,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
10,Intentions (feat. Quavo),Justin Bieber,1030809,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Too Late,The Weeknd,1027140,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
12,Snowchild,The Weeknd,1018334,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
13,Heartless,The Weeknd,1009416,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
14,Don't Start Now,Dua Lipa,999514,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,Roses - Imanbek Remix,SAINt JHN,987271,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,Faith,The Weeknd,968602,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE
17,Escape From LA,The Weeknd,938590,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ
18,Save Your Tears,The Weeknd,934529,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
19,death bed (coffee for your head),Powfu,901627,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,Godzilla (feat. Juice WRLD),Eminem,860080,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
21,Say So,Doja Cat,847296,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
22,Sunday Best,Surfaces,826916,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
23,WHATS POPPIN,Jack Harlow,815368,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
24,Circles,Post Malone,769052,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,ROXANNE,Arizona Zervas,757912,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
26,Falling,Trevor Daniel,715703,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
27,Life Is Good (feat. Drake),Future,708264,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
28,Someone You Loved,Lewis Capaldi,702909,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,OprahÅfs Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,673474,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
30,Repeat After Me (Interlude),The Weeknd,651915,https://open.spotify.com/track/40U8d12pC5UHqmHwXjHjjl
