,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Don't Start Now","Dua Lipa",416439,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
56,"Wishing Well","Juice WRLD",412234,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
57,"Adore You","Harry Styles",411278,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
58,"Say You Won't Let Go","James Arthur",398730,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
59,Diamonds,"Sam Smith",397004,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
60,"Mr. Brightside","The Killers",393148,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
61,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",387390,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
62,"Lucid Dreams","Juice WRLD",386635,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
63,Together,Sia,384943,https://open.spotify.com/track/5id3Rqn7SPj1LX4FfY4nGz
64,"Spicy (feat. Post Malone)","Ty Dolla $ign",383924,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
65,Memories,"Maroon 5",382400,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
66,"Lose Somebody",Kygo,382112,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
67,"POPSTAR (feat. Drake)","DJ Khaled",375988,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
68,"Everybody Rise","Amy Shark",374129,https://open.spotify.com/track/3eGmv9sxK60p8XIBLhBtC0
69,Shallow,"Lady Gaga",373344,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
70,"Stuck with U (with Justin Bieber)","Ariana Grande",367216,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
71,"Be Alright","Dean Lewis",364733,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
72,"TRAGIC (feat. Youngboy Never Broke Again & Internet Money)","The Kid LAROI",359049,https://open.spotify.com/track/13EW51DKru044OJDJ9Bm8o
73,Sofia,Clairo,355995,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
74,July,"Noah Cyrus",353748,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
75,"Tyler Herro","Jack Harlow",346611,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
76,"GO (feat. Juice WRLD)","The Kid LAROI",340541,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
77,"Intentions (feat. Quavo)","Justin Bieber",336270,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
78,"If the World Was Ending - feat. Julia Michaels","JP Saxe",335934,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
79,"Blueberry Faygo","Lil Mosey",334778,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
80,Robbery,"Juice WRLD",334600,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
81,"Kings & Queens","Ava Max",333839,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
82,"WITHOUT YOU","The Kid LAROI",333465,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
83,"motive (with Doja Cat)","Ariana Grande",332630,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
84,"Look into My Eyes",Brando,332052,https://open.spotify.com/track/7qF4tAE0PF6XJFEor6jQni
85,"Live In Life","The Rubens",331907,https://open.spotify.com/track/5zpGxLGLxQvgQzO8jYTzAU
86,"Never Seen the Rain","Tones And I",331016,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
87,"bad guy","Billie Eilish",330551,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
88,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",330303,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
89,"death bed (coffee for your head)",Powfu,327812,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
90,Youngblood,"5 Seconds of Summer",327296,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
91,"Papi Chulo",Octavian,326573,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
92,"Ride It",Regard,325687,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
93,"Tick Tock (feat. 24kGoldn)","Clean Bandit",325622,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
94,Promiscuous,"Nelly Furtado",325494,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
95,Falling,"Harry Styles",324200,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
96,Dior,"Pop Smoke",320562,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
97,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",318020,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
98,"Be Kind (with Halsey)",Marshmello,314068,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
99,"I Don't Care (with Justin Bieber)","Ed Sheeran",310968,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
100,Riptide,"Vance Joy",305278,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
101,"Hawái - Remix",Maluma,305200,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
102,"Mad at Disney","salem ilese",305153,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
103,"lovely (with Khalid)","Billie Eilish",304927,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
104,"I'm Good?","Hilltop Hoods",303678,https://open.spotify.com/track/1EuI95kVxZYLbENy8d6AOI
105,"What A Man Gotta Do","Jonas Brothers",302938,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
106,Señorita,"Shawn Mendes",301566,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
107,"10,000 Hours (with Justin Bieber)","Dan + Shay",301489,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
108,"Party In The U.S.A.","Miley Cyrus",300989,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
109,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",300638,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
110,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",299385,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
111,"Sunday Best",Surfaces,294729,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
112,"Electric Love",BØRNS,294710,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
113,"The Less I Know The Better","Tame Impala",293607,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
114,"Martin & Gina","Polo G",293511,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
115,"Rushing Back",Flume,290226,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
116,goosebumps,"Travis Scott",289959,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
117,"Summer Of '69","Bryan Adams",288527,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
118,"WRONG (feat. Lil Mosey)","The Kid LAROI",288399,https://open.spotify.com/track/1EWkw4Fa6IlnsAihLUlFFM
119,"Ain't It Different (feat. AJ Tracey, Stormzy & ONEFOUR)","Headie One",287725,https://open.spotify.com/track/6Sqwv10jkcvjIZBxFtp78l
120,"All Girls Are The Same","Juice WRLD",287620,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
121,"Beautiful People (feat. Khalid)","Ed Sheeran",285328,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
122,"The Box","Roddy Ricch",285291,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
123,"No Role Modelz","J. Cole",279290,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
124,"Sweater Weather","The Neighbourhood",279256,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
125,"Dancing On My Own","Calum Scott",279226,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
126,"Godzilla (feat. Juice WRLD)",Eminem,279162,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
127,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","The Kid LAROI",279020,https://open.spotify.com/track/0DYNL4xbYWgNzppUamtyR4
128,"Hey, Soul Sister",Train,276546,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv
129,"Jocelyn Flores",XXXTENTACION,275913,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
130,"Deep End",Fousheé,275591,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
131,"Pump It Up",Endor,275460,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
132,"Heat Waves","Glass Animals",274427,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
133,2002,Anne-Marie,274316,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
134,"Love On Display","Guy Sebastian",273896,https://open.spotify.com/track/0uOjJi0sUGKJVx2kT8kVsc
135,"Love Songs","Daryl Braithwaite",273788,https://open.spotify.com/track/5WmPL0RQxooB4si6PuSkUi
136,HOLIDAY,"Lil Nas X",272755,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
137,Bruises,"Lewis Capaldi",271869,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
138,ROXANNE,"Arizona Zervas",271799,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
139,"Khe Sanh - 2011 Remastered","Cold Chisel",271719,https://open.spotify.com/track/0frIZMaQwtdV4Ee8nhB1te
140,"Eastside (with Halsey & Khalid)","benny blanco",271158,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
141,Perfect,"Ed Sheeran",270427,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
142,"Lose Control",MEDUZA,270267,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
143,"All of Me","John Legend",269466,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
144,"SICKO MODE","Travis Scott",268336,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
145,"Don't Stop Believin'",Journey,267951,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
146,"Wonderwall - Remastered",Oasis,267892,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
147,Energy,"Stace Cadet",267737,https://open.spotify.com/track/7gOdmNazfs5qdtsgWOB1Z4
148,Classic,MKTO,267393,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
149,"HIGHEST IN THE ROOM","Travis Scott",265532,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
150,"hot girl bummer",blackbear,264094,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
151,Confidence,"Ocean Alley",264006,https://open.spotify.com/track/7to68V64Cu6zk0UDo5tyw3
152,"Pumped Up Kicks","Foster The People",263848,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
153,"everything i wanted","Billie Eilish",263340,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
154,"3 Nights","Dominic Fike",262385,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
155,"No Guidance (feat. Drake)","Chris Brown",261266,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
156,"Thinking out Loud","Ed Sheeran",260914,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
157,"Higher Love",Kygo,260870,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
158,"Break My Heart","Dua Lipa",259520,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
159,"Let Her Go",Passenger,256477,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
160,"Everywhere - 2017 Remaster","Fleetwood Mac",255129,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
161,"All I Want for Christmas Is You","Mariah Carey",253959,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
162,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",253802,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
163,Shotgun,"George Ezra",251651,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
164,"Supalonely (feat. Gus Dapperton)",BENEE,251596,https://open.spotify.com/track/3GZoWLVbmxcBys6g0DLFLf
165,"Run to Paradise",Choirboys,250995,https://open.spotify.com/track/6Amt2E3nanH9lhZnas9oOs
166,Happier,Marshmello,250623,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
167,"I Fall Apart","Post Malone",250484,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
168,"Post Malone (feat. RANI)","Sam Feldt",250420,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
169,"WHATS POPPIN","Jack Harlow",249579,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
170,Choir,"Guy Sebastian",248815,https://open.spotify.com/track/640jkbfHDZM8SVBqMnHJg6
171,"Shape of You","Ed Sheeran",247271,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
172,"Wake Me Up",Avicii,246867,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
173,Africa,TOTO,246507,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
174,"The Business",Tiësto,246409,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
175,"Smile (with The Weeknd)","Juice WRLD",244781,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
176,"Brown Eyed Girl","Van Morrison",244550,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
177,"Life Is Good (feat. Drake)",Future,244537,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
178,"You Shook Me All Night Long",AC/DC,243728,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
179,"The Chain - 2004 Remaster","Fleetwood Mac",243528,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
180,"Know Your Worth",Khalid,242461,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
181,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,242069,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
182,"when the party's over","Billie Eilish",241952,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
183,Sucker,"Jonas Brothers",241549,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
184,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",240560,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
185,"You should be sad",Halsey,240259,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
186,"My Happiness",Powderfinger,239708,https://open.spotify.com/track/2pxxVkNhrRST8fpgA12ru8
187,"Toosie Slide",Drake,239202,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
188,"The Horses","Daryl Braithwaite",239170,https://open.spotify.com/track/5z6a02FGoVsXTrJ4GiVNxE
189,"Let You Down",NF,239164,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
190,"I Like Me Better",Lauv,238915,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
191,"After Party","Don Toliver",238015,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
192,"GREECE (feat. Drake)","DJ Khaled",236996,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
193,Believer,"Imagine Dragons",236475,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
194,Maniac,"Conan Gray",235728,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
195,"Party Girl",StaySolidRocky,234577,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
196,"Shut Up and Dance","WALK THE MOON",234308,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
197,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",234126,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
198,"ily (i love you baby) (feat. Emilee)","Surf Mesa",233924,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
199,"Let's Ride",ONEFOUR,233750,https://open.spotify.com/track/5Sgyh4r442BY1V3NEXhSfu
200,DÁKITI,"Bad Bunny",233492,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
