,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Rewrite The Stars","Zac Efron",38410,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
55,"All The Stars (with SZA)","Kendrick Lamar",38094,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
56,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",37757,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
57,"9 Milly",Azet,37197,https://open.spotify.com/track/2vIZ2BKgzCFPF2qqUXVS3R
58,"I Believe I'm Fine","Robin Schulz",36614,https://open.spotify.com/track/2i3WO0WkrlnrA1I4GdUmxh
59,"Andere Liga","RAF Camora",36316,https://open.spotify.com/track/2NWZiXyRdKEolP8QrjBGmp
60,"Ti amo",Veysel,36254,https://open.spotify.com/track/66bsUCJWoy09bpuljIXumf
61,Leiser,LEA,35598,https://open.spotify.com/track/4k5ripwnTRXiOzXUEGhXSz
62,Kontrollieren,"RAF Camora",35300,https://open.spotify.com/track/1uGERQ2DVv7j9WSsWzOHVp
63,"More Than Friends","James Hype",34484,https://open.spotify.com/track/53SnCRcGrB2UCqNGyYZhJD
64,"Kleiner Cabrón",Veysel,33286,https://open.spotify.com/track/18B8O0dI8RANa7Kx9vyemO
65,Waffen,"RAF Camora",32742,https://open.spotify.com/track/27CUvggbN4O6ASZEsExeAi
66,Columbo,Wanda,32463,https://open.spotify.com/track/2mhwX8vAz2l3i2wlrG8Av1
67,"Man's Not Hot","Big Shaq",32232,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
68,"Feel Good","Felix Jaehn",31875,https://open.spotify.com/track/6a9vKVMFfNBi741DVSit3H
69,Bombay,JAZN,31790,https://open.spotify.com/track/3DtSEQk9ffHw87Ayfk8KXQ
70,Mine,Bazzi,31778,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
71,"I Fall Apart","Post Malone",31315,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
72,"Solo Dance","Martin Jensen",30891,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
73,"Bon Voyage","Miami Yacine",30762,https://open.spotify.com/track/1VfSu8qtTf5PMi3d8XVZGj
74,"Réseaux - K¡K¡ Remix",Niska,30426,https://open.spotify.com/track/3BORnh3lPd7UbhdFh9Bcsf
75,Kogong,"Mark Forster",30123,https://open.spotify.com/track/2rv1aetlu3MEQ5sJWJuMG1
76,Bros,RIN,29912,https://open.spotify.com/track/0mG6upCcUF0Qvq08FnjRDZ
77,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",29332,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
78,"Too Good At Goodbyes","Sam Smith",29088,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
79,"Heute mit mir",Nimo,28963,https://open.spotify.com/track/7fUWZUNj5qbEuoL6K9947g
80,"XO Tour Llif3","Lil Uzi Vert",28737,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
81,"All Falls Down (feat. Juliander)","Alan Walker",28725,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
82,"Glorious (feat. Skylar Grey)",Macklemore,28663,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
83,"Olé Olé","Capital Bra",28507,https://open.spotify.com/track/4v4ZuW2tjSyyci2BcE5bTp
84,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",28458,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
85,Believer,"Imagine Dragons",28280,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
86,"Without You (feat. Sandro Cavazza)",Avicii,27950,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
87,"Stir Fry",Migos,26892,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
88,"Nema bolje","Jala Brat",26439,https://open.spotify.com/track/0fj95D2DF2DgzY1RaR6NBY
89,"Something Just Like This","The Chainsmokers",26144,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
90,OK,"Robin Schulz",26118,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
91,"No Better Love (feat. Emelie Cyréus)","Stupid Goldfish",25920,https://open.spotify.com/track/6l9rnpDP9p23NIHvV9NiMP
92,"No Limit",G-Eazy,25920,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
93,"Friends (with BloodPop®)","Justin Bieber",25714,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
94,Unforgettable,"French Montana",25684,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
95,AMG2,"Azzi Memo",25628,https://open.spotify.com/track/2xYoWWLcFjYQsEvsKqof3P
96,Mama,"Jonas Blue",25597,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
97,"Summer Air",ItaloBrothers,25567,https://open.spotify.com/track/0V9cosR5jWa4fr2koARmhD
98,"Monica Bellucci",RIN,25489,https://open.spotify.com/track/6PGFzy8ZC4rYbx1dyP3dQi
99,"Gucci Gang","Lil Pump",25475,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
100,Congratulations,"Post Malone",24851,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
101,"Palmen aus Plastik","Bonez MC",24672,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
102,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,24517,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
103,HUMBLE.,"Kendrick Lamar",23917,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
104,"How Long","Charlie Puth",23801,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
105,"Alles probiert","RAF Camora",23490,https://open.spotify.com/track/4NrwzWgZfNHb7dpNrEEQqX
106,"Your Song","Rita Ora",23459,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
107,Billo,ApoRed,23420,https://open.spotify.com/track/5ncGxDDyg2ByJCAxLQD9Zx
108,Lampedusa,YONII,23353,https://open.spotify.com/track/111SUuReUmF6DtYFBWDLLQ
109,"Big Dreams",Fler,23225,https://open.spotify.com/track/1YpkU1bGyWpSWhwKmk0l20
110,Knöcheltief,Trettmann,22817,https://open.spotify.com/track/1qfM92o8OuFfWouqqfUBF8
111,"Nummer 1",Zuna,22637,https://open.spotify.com/track/3sgGmPQD2J6aQduN36RDBO
112,"Lambo Diablo GT (feat. Nimo)",Capo,22569,https://open.spotify.com/track/6HxFJbQahRd5rWQ752D710
113,"Climb Every Mountain (""The Sound of Music"" Revisited)","The Makemakes",22553,https://open.spotify.com/track/5rGfLbkEYMbZtFvpDLoPKL
114,"Unterwegs (feat. Capital Bra)",Bausa,22529,https://open.spotify.com/track/00iyWekl1wcaHCAqPhZLzO
115,"Capital Letters","Hailee Steinfeld",22214,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
116,Murcielago,"KC Rebell",22165,https://open.spotify.com/track/39qlqpwVzRkQP6WsILfIB5
117,Millionär,"187 Strassenbande",22128,https://open.spotify.com/track/6mw02h3qbWmuq2bJCRjRAe
118,Breathe,"Jax Jones",21958,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
119,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)","Felix Jaehn",21937,https://open.spotify.com/track/5dX8ECwIk0dgBTkqwPVZhc
120,Filthy,"Justin Timberlake",21874,https://open.spotify.com/track/5ZpjODX6OH1xZs3AOewTO6
121,"Young Dumb & Broke",Khalid,21585,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
122,"Zieh' den Rucksack aus",Kollegah,21545,https://open.spotify.com/track/6F0fXw4G0dqRWJnvWPZM67
123,Narcos,Migos,21468,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
124,"'Till I Collapse",Eminem,21445,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
125,"Symphony (feat. Zara Larsson)","Clean Bandit",21433,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
126,"Wie Falco",Nimo,21371,https://open.spotify.com/track/6ZyLo7sln0QFP7YXqgXCU8
127,Tired,"Alan Walker",21099,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
128,Hot2Touch,"Felix Jaehn",21078,https://open.spotify.com/track/1sBhJGPUKrdRycgKxve70v
129,"Nice Girl 2.0",Ufo361,21044,https://open.spotify.com/track/607TgBgbTvP8CTgIHN0R6q
130,Attention,"Charlie Puth",21017,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
131,Spotlight,Marshmello,20885,https://open.spotify.com/track/6VrCmhRBFnuGKmtNfk4jDs
132,"Galway Girl","Ed Sheeran",20611,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
133,"The Spectre","Alan Walker",20397,https://open.spotify.com/track/2DGa7iaidT5s0qnINlwMjJ
134,"Call On Me - Ryan Riback Extended Remix",Starley,20338,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
135,"There's Nothing Holdin' Me Back","Shawn Mendes",20263,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
136,"Strip That Down","Liam Payne",20220,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
137,Anyway,"Tyron Hapi",20195,https://open.spotify.com/track/77ngtwBosDuAwiQu8afOOQ
138,Gjynah,Azet,20193,https://open.spotify.com/track/1nP69R7Nc3yIbiN6EUNyZi
139,"Mi Gente","J Balvin",20164,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
140,"Go Fuck Yourself","Two Feet",20090,https://open.spotify.com/track/3VAeTjREoKPY1exOXR4oBm
141,MOB,Olexesh,19914,https://open.spotify.com/track/2TKXBTeElco8EEnXtRkFdQ
142,"Wonderwall - Remastered",Oasis,19888,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
143,"Mon chéri",Capo,19847,https://open.spotify.com/track/4vN2F1v7WphIUva3S6hwaT
144,Telefon,Dardan,19748,https://open.spotify.com/track/1SkeK7yhwSkCUkbAG9604j
145,"Na Na Na","Capital Bra",19656,https://open.spotify.com/track/3xZAsF5FS5WgT4UDFXYJxx
146,"Go Flex","Post Malone",19591,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
147,"Don't Stop Believin'",Journey,19525,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
148,Vorankommen,Luciano,19386,https://open.spotify.com/track/1jaVHAdoEONRCrcNvRtCFY
149,"Complicated (feat. Kiiara)","Dimitri Vegas & Like Mike",19302,https://open.spotify.com/track/1Sl3njkhhz8nrSPZroDQ82
150,"Scared to Be Lonely","Martin Garrix",19236,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
151,Wäwä,Eno,19203,https://open.spotify.com/track/2zlcQPW71x4h2hmf2bZLvh
152,AMG,Fler,19060,https://open.spotify.com/track/67m9pQTDkmKFdmqgi1E6YO
153,"Bartier Cardi (feat. 21 Savage)","Cardi B",18958,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
154,"What About Us",P!nk,18950,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
155,"eine ins leben","Pizzera & Jaus",18920,https://open.spotify.com/track/25V3y1lVPuZ09ZcmliMAmQ
156,Paris,"The Chainsmokers",18891,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
157,,,18724,https://open.spotify.com/track/5cjecvX0CmC9gK0Laf5EMQ
158,"Homemade Dynamite - REMIX",Lorde,18674,https://open.spotify.com/track/2rE9TX3VQ0WNt7kziFhKep
159,Bongzimmer,SXTN,18650,https://open.spotify.com/track/5peJfpkLPMilv44VqUa2AS
160,"Wohin willst du","Gestört aber GeiL",18568,https://open.spotify.com/track/51WUacrCkukxCgym463uNN
161,"Ya Salam",Kurdo,18445,https://open.spotify.com/track/5fpujciVjGBhnR2XFx06E7
162,"Man of the Woods","Justin Timberlake",18363,https://open.spotify.com/track/4KTU5aa5s547f1JF5DImhF
163,Weak,AJR,18265,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
164,,,18246,https://open.spotify.com/track/5rbXOUQCaYcSnW5EOgfVaD
165,"Zigarren Havanna - KMN Street EP.2",Azet,18182,https://open.spotify.com/track/6ET5DRhoyIOUETNyDcGtk6
166,"Nur noch Gucci","Capital Bra",18142,https://open.spotify.com/track/6zxFyURXhsMwwkLQGZbzBw
167,Vienna,"RAF Camora",18124,https://open.spotify.com/track/6qCsTRYKBTzde2oBsFq5fP
168,"Beautiful Trauma",P!nk,18046,https://open.spotify.com/track/2DlIwu1iDTILEMXA7MUotn
169,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",17996,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
170,"Rich Love (with Seeb)",OneRepublic,17953,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
171,"Say You Won't Let Go","James Arthur",17885,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
172,"In the End","Linkin Park",17880,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
173,MotorSport,Migos,17857,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
174,"Check ich nicht",Mosh36,17740,https://open.spotify.com/track/46qCFvbRmCK5QPpMNM8Alo
175,GGGut,"Yung Hurn",17677,https://open.spotify.com/track/0xbHp9AXvMKteyvGuyGzBM
176,"Soldaten 2.0","Kontra K",17616,https://open.spotify.com/track/5RddxRDhCIcp8u8P5sV6n2
177,Gottseidank,Trettmann,17611,https://open.spotify.com/track/4FwwXRuwzJcpmfCR8ltO9b
178,Nevermind,"Dennis Lloyd",17579,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
179,"Burden Down",Micar,17524,https://open.spotify.com/track/1R8eM53yWnjsfiWktgObe7
180,"Last Resort","Papa Roach",17506,https://open.spotify.com/track/5eek2X5459T1HoYJk2CKXv
181,Africa,TOTO,17454,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
182,"I Help You Hate Me","Sunrise Avenue",17310,https://open.spotify.com/track/1eFR6APW8u8iISvBxWw5HK
183,"Ric Flair Drip (& Metro Boomin)",Offset,17295,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
184,"The Night We Met","Lord Huron",17282,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
185,Questions,"Chris Brown",17187,https://open.spotify.com/track/3ojTJaonfkL96iIWa47SU3
186,Rotterdam,"Miami Yacine",17138,https://open.spotify.com/track/2YG72tZyGOtbNsDTBhRLlL
187,Roots,"RAF Camora",17121,https://open.spotify.com/track/4ZvS3wPyuNaiHefG9bJsBX
188,"An ihnen vorbei","Bonez MC",17094,https://open.spotify.com/track/7istTRCq9OK5cEC8sPAc50
189,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,17074,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
190,goosebumps,"Travis Scott",17020,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
191,"Candy Paint","Post Malone",16991,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
192,hooligans,"Pizzera & Jaus",16824,https://open.spotify.com/track/6GcFdP0ZBWfwUgJlhnDRdt
193,"It Ain't Me (with Selena Gomez)",Kygo,16781,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
194,"Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat",16725,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM
195,Supplies,"Justin Timberlake",16649,https://open.spotify.com/track/6jT85s2dZ55HBqjXYi2rfI
196,"Without Me",Eminem,16592,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
197,Gopnik,Olexesh,16490,https://open.spotify.com/track/0KR3kva01902glhgaqlzp0
198,Tuesday,"Burak Yeter",16424,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
199,"Mr. Brightside","The Killers",16353,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
200,,,16238,https://open.spotify.com/track/34IY2117PizF4NoRPoMth6
