,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",1755798,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"bad guy","Billie Eilish",1679192,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",1506038,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"Someone You Loved","Lewis Capaldi",1370823,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
5,"If I Can't Have You","Shawn Mendes",1122594,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
6,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",1091289,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
7,Easier,"5 Seconds of Summer",1058057,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
8,Sucker,"Jonas Brothers",940793,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
9,EARFQUAKE,"Tyler, The Creator",932669,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
10,"SOS (feat. Aloe Blacc)",Avicii,925637,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
11,"3 Nights","Dominic Fike",909734,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
12,"Never Really Over","Katy Perry",893595,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",885281,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"The London (feat. J. Cole & Travis Scott)","Young Thug",867713,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
15,"Rescue Me",OneRepublic,817703,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
16,"Talk (feat. Disclosure)",Khalid,804896,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
17,"Johnny Run Away","Tones And I",800909,https://open.spotify.com/track/0vHmuAr3iAuGBAqMmraa05
18,"No Guidance (feat. Drake)","Chris Brown",798452,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
19,Heaven,Avicii,752220,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
20,"Piece Of Your Heart",MEDUZA,746781,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
21,"Old Town Road","Lil Nas X",733534,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
22,"Truth Hurts",Lizzo,718393,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
23,"Mother's Daughter","Miley Cyrus",683249,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
24,Painkiller,Ruel,647977,https://open.spotify.com/track/1abFkY2jm6KDFMZ7RD9YJh
25,Wow.,"Post Malone",632195,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
26,"Call You Mine (feat. Bebe Rexha)","The Chainsmokers",623422,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
27,"Here With Me",Marshmello,618422,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
28,"Vossi Bop",Stormzy,597618,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
29,Nightmare,Halsey,593450,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
30,"Eastside (with Halsey & Khalid)","benny blanco",591333,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
31,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",589641,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
32,"Woke Up Late (feat. Hailee Steinfeld)","Drax Project",584830,https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6
33,"when the party's over","Billie Eilish",581782,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
34,Shallow,"Lady Gaga",558949,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
35,"Don't Call Me Up",Mabel,557899,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
36,"Exit Sign","Hilltop Hoods",557868,https://open.spotify.com/track/4c2cdWv3GLKoP12tY0OzZl
37,"Go Loko (feat. Tyga, Jon Z)",YG,555959,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
38,"bury a friend","Billie Eilish",542431,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
39,"i'm so tired...",Lauv,521271,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
40,Happier,Marshmello,517141,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
