,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Mafiosa (feat. Caroliina),Lartiste,1700644,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
2,"Va Bene - Extrait de la BOF de ""Taxi 5""",L'Alg?rino,1472645,https://open.spotify.com/track/7qibGVhkRyQ4kgYwzZu7iG
3,Djadja,Aya Nakamura,1258239,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
4,D?saccord?,Vald,1255271,https://open.spotify.com/track/0FYpW0zBO7cht8qGRY41Mz
5,La m?me,GIMS,1201420,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
6,Bob Marley,Dadju,1164386,https://open.spotify.com/track/6L6yn9GeVqnlWX1npp6rAK
7,God's Plan,Drake,1132372,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
8,X,Nicky Jam,1122828,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
9,FRIENDS,Marshmello,897091,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
10,Fallait pas,Marwa Loud,889494,https://open.spotify.com/track/0fACF9oFLE2IOaEyRvRTrL
11,Hit Sale (feat. Rom?o Elvis),Therapie TAXI,849327,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
12,M.I.L.S 2.0,Ninho,781802,https://open.spotify.com/track/1qRZfv2ZbAZGPnfbIV3YvD
13,One Kiss (with Dua Lipa),Calvin Harris,769758,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
14,Mi Gna (feat. Hayko) - Ma?tre Gims Remix,GIMS,749206,https://open.spotify.com/track/3u3kWFntWbm4YrO5384wqF
15,Un Poco,Ninho,743872,https://open.spotify.com/track/3MVTefqbeNX5yHFOmnHy3X
16,Like I Do,David Guetta,726297,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
17,Nevermind,Dennis Lloyd,705749,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
18,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,681292,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
19,Lundi,Sofiane,676256,https://open.spotify.com/track/5RQ3ZyfOfJJ2qLKOZTmLiB
20,no tears left to cry,Ariana Grande,668562,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
21,J'souris,Djadja & Dinaz,646795,https://open.spotify.com/track/7rQSQZMVwyobK4icEUrS6d
22,Mad Love,Sean Paul,646670,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
23,Fendi,Ninho,636990,https://open.spotify.com/track/7BtAkqRFQjvOYOq5k5mlCb
24,Vai et viens,Lartiste,634910,https://open.spotify.com/track/6dAx0jUY9lnXEtBiK7e2ZZ
25,Nice For What,Drake,623203,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
26,Coffrer,Ninho,614078,https://open.spotify.com/track/6PvouhcF7NDx18gVoEzs14
27,Call Out My Name,The Weeknd,590508,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
28,Country,Niska,575746,https://open.spotify.com/track/7k5HgarMbFipRP0y1Ko8Fc
29,Brassard,Djadja & Dinaz,563268,https://open.spotify.com/track/2HCFi53A1vjrNnoXr7vYzV
30,Non non,Djadja & Dinaz,538923,https://open.spotify.com/track/0zDsJuTBdYEHTvS4q0XScQ
31,Psycho (feat. Ty Dolla $ign),Post Malone,538498,https://open.spotify.com/track/7wrDRQgHlvDnimrRHfQZxt
32,Tourner,Djadja & Dinaz,535248,https://open.spotify.com/track/6EEfgw99Eu9kzVJhjGG349
33,All The Stars (with SZA),Kendrick Lamar,534118,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
34,Wake Me Up - Radio Edit,Avicii,526104,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
35,Leave a Light On,Tom Walker,525178,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
36,La pluie (feat. Stromae),Orelsan,518706,https://open.spotify.com/track/4cYFep5SECqb4EsSkF82e0
37,The Middle,Zedd,513060,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
38,Flames,David Guetta,510498,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
39,Billet,Marwa Loud,501708,https://open.spotify.com/track/5tblb3Aojs2S91eE1lxWxP
40,Who Mad Again,Jahyanai,496097,https://open.spotify.com/track/6sZ2zjebkPsXTrxhvaRFJF
41,Without You (feat. Sandro Cavazza),Avicii,485649,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
42,Valise,Hornet La Frappe,479021,https://open.spotify.com/track/2bXZtkOqVVlSt1lpzV9jRv
43,Ce qui est ? nous,Djadja & Dinaz,465176,https://open.spotify.com/track/6IF4pLIwpE6X0SYp2YgmdV
44,All Night,Big Boi,462655,https://open.spotify.com/track/2Bb3mu3lfUrcRoTi3IcvQc
45,Carton rouge,Lorenzo,455646,https://open.spotify.com/track/2teiVa4Yniofma2Ffac5cL
46,Waiting For Love,Avicii,451473,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
47,Tu perds la foi,Djadja & Dinaz,445238,https://open.spotify.com/track/33LGJjorQT9sy8VR7v3ECd
48,F?te de trop,Eddy de Pretto,444208,https://open.spotify.com/track/34NiK5XnPwHp17MGlyewXA
