,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Binks to Binks 6,Ninho,1440439,https://open.spotify.com/track/4zrEmFA3R3JngfWR70zu3w
2,Tout oublier,Ang?le,1320380,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71
3,Madrina,Maes,1289686,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH
4,1000ÅãC,Lomepal,1208492,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou
5,Sale mood,Bramsito,1190494,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm
6,Trop beau,Lomepal,1012818,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,988624,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
8,Jaloux,Dadju,924819,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT
9,R?ves bizarres (feat. Damso),Orelsan,868064,https://open.spotify.com/track/7lhuM9WUqdThw72dCBRmQW
10,Copines,Aya Nakamura,860445,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
11,La dot,Aya Nakamura,829533,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG
12,MIA (feat. Drake),Bad Bunny,827004,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
13,"thank u, next",Ariana Grande,824728,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
14,Shallow,Lady Gaga,789260,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
15,Say My Name,David Guetta,783392,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
16,Solo,Lacrim,762656,https://open.spotify.com/track/0VUHYCOoWRgUV9uhdXo52u
17,Sweet but Psycho,Ava Max,740183,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
18,Billets verts,Maes,736538,https://open.spotify.com/track/3uTNli5uz5rNOqD6qZFi8L
19,High Hopes,Panic! At The Disco,694339,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
20,KYLL,M?dine,660619,https://open.spotify.com/track/1VYTP4prOc62xQe1KWf3S5
21,Air Max,Rim'K,656139,https://open.spotify.com/track/6qk9lEM6UIxNbAuI0PpOLu
22,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,638055,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
23,Moonlight,XXXTENTACION,636344,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,In My Mind,Dynoro,607003,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
25,Jon Snow,Lacrim,600782,https://open.spotify.com/track/2pz2M2tXX8ROcV1Pesr725
26,Ramenez la coupe ? la maison,Vegedream,597116,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
27,Ma 6t a craqu? (feat. Ninho),Kpoint,587052,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
28,Mauvais,GLK,585002,https://open.spotify.com/track/3ABwQntK8i49EGOd3SSj7Q
29,Happier,Marshmello,584965,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
30,Je te le donne (en duo avec Slimane),Vitaa,563088,https://open.spotify.com/track/4yjqpsuyrbjyXHB6rC0mWo
31,Later Bitches,The Prince Karma,562116,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9
32,X-men,Lomepal,555951,https://open.spotify.com/track/6A3bL3MlU0l54kKlgpw0UT
33,Ta reine,Ang?le,553438,https://open.spotify.com/track/3iXhLi33EpUfcOwasC8un1
34,BB,Booba,548301,https://open.spotify.com/track/0YCMh9HQkRpAtkj0i1sZqH
35,Ma che beaut?,Jul,546325,https://open.spotify.com/track/0XXooKwo0L6gxn0OxZFDXw
36,Sucette (feat. Niska),Aya Nakamura,544447,https://open.spotify.com/track/3qHs2PoiJMPvdxgyRSvqAl
37,Tiago,Kendji Girac,539103,https://open.spotify.com/track/63eflEIBAF5VmO5AdVuZF7
38,Bae,RK,534353,https://open.spotify.com/track/5as5HurTt4u7BuFIT5j8am
39,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,533844,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
40,La v?rit?,Lomepal,521339,https://open.spotify.com/track/1H0OfL0clmcI1odODWD2DS
41,Natural,Imagine Dragons,516175,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
42,? nos souvenirs,Trois Caf?s Gourmands,514984,https://open.spotify.com/track/4h3SqMd5F16XJVdGp5fsZG
43,Promises (with Sam Smith),Calvin Harris,499936,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
44,La thune,Ang?le,498728,https://open.spotify.com/track/3iBOe7U7kRPNIoL3QLCVu2
45,Bella,MHD,489153,https://open.spotify.com/track/0O4XHiuVt3dBaOzSI49BtF
46,Thunderclouds,Sia,487743,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
47,Feu de bois,Damso,485931,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
48,D?brouillard,Kaaris,483211,https://open.spotify.com/track/3r1Veo87Ex14aHT2KcJNnh
49,M?mes,Lomepal,483137,https://open.spotify.com/track/2FRnrkO72S9tbqu6eLjq6b
50,Djadja,Aya Nakamura,482135,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
51,Plus de larmes,Lomepal,444338,https://open.spotify.com/track/2MknoFgWs0xJshIAGfGgf1
52,?videmment,Lomepal,442646,https://open.spotify.com/track/43yYuYeSOOupBHOkH9pRtF
