,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,MONTERO (Call Me By Your Name),Lil Nas X,2694041,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,Vroum Vroum,Moha K,2038264,https://open.spotify.com/track/6sRPU30pj9A6G1pBXqzQkM
3,HAINE&SEX,Gazo,2035651,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
4,La kiffance,Naps,1965048,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
5,Le temps,Tayc,1766598,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
6,Je tÅfaime de ouf,Wejdene,1581721,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
7,Mon poto - Extrait de la BO de ? En Passant P?cho ?,Kore,1484388,https://open.spotify.com/track/1SelxYHPb04GjUy0oYV1Jw
8,Mona Lisa,Booba,1332571,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
9,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,1304943,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,Mode Akimbo (feat. Jul),SCH,1247625,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
11,Kimono (feat. SCH et Ninho),Sadek,1174008,https://open.spotify.com/track/54rHJPDt8DUE2RtSg6Bsrf
12,La danse des bandits,Naps,1157989,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
13,GIRL LIKE ME,Black Eyed Peas,1056128,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
14,Champion,Serge Ibaka,1044727,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
15,Goosebumps - Remix,Travis Scott,1019522,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
16,Mannschaft (feat. Freeze Corleone),SCH,1001891,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
17,Fever,Dua Lipa,981917,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
18,Save Your Tears,The Weeknd,972569,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
19,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,971619,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,D?KITI,Bad Bunny,949663,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,Bande organis?e,13 Organis?,944200,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
22,Astronaut In The Ocean,Masked Wolf,927569,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
23,Casanova,Were-vana,924417,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
24,La Sele?ao,Alonzo,908715,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
25,Elles ont trop jou? avec mon c?ur,Jok'air,886134,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
26,Allo,Marwa Loud,882727,https://open.spotify.com/track/3IWsDAFAwPNVnnTeQyUj7w
27,"1,2,3",Amel Bent,873440,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
28,KASSAV (feat. Tiakola),Gazo,863901,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
29,Daddy,SDM,863680,https://open.spotify.com/track/2iPFEYnitXLl4lSxvqZI3m
30,Wasted Love (feat. Lagique),Ofenbach,858389,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
31,Tout en Gucci,Ninho,810597,https://open.spotify.com/track/0i5GJckWb9uCZU4jcGoBca
32,March? noir,SCH,800634,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
33,Crack,SCH,758015,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
