,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Bande organis?e,Kofs,4629658,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT
2,Joli b?b?,Naza,2590715,https://open.spotify.com/track/6ARJHbYGKNatxHVghTkWWp
3,Mood (feat. iann dior),24kGoldn,1719320,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,Grand bain,Dadju,1663366,https://open.spotify.com/track/1fyVvRQsa095P7QK5Um7xH
5,BXL ZOO,Damso,1658230,https://open.spotify.com/track/7BO3y8lmogACezwHqZ1HTB
6,Cabeza,OBOY,1648154,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
7,Macaroni (feat. Ninho),Leto,1572497,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
8,? la f?te,UZI,1560050,https://open.spotify.com/track/0qARyMVNjA6q1uxxO3nofB
9,DEUX TOILES DE MER,Damso,1418176,https://open.spotify.com/track/7yN9Qx1HtE4c1fhakBz8Ay
10,Pilote (feat. Hamza),PLK,1260181,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
11,Angela,Hatik,1245159,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
12,911,Damso,1241579,https://open.spotify.com/track/2chIkORxBLpPVgruGiMY8k
13,7 sur 7,Koba LaD,1214759,https://open.spotify.com/track/1zx0P48KC7UeDhBEZkbCvo
14,My Salsa,Franglish,1213126,https://open.spotify.com/track/7IJIj326qJJA6oi6EpFCBD
15,La zone,91 All Stars,1178290,https://open.spotify.com/track/4oLp7k4fINGrjuNxElKKGw
16,La meilleure,Hatik,1145252,https://open.spotify.com/track/2g63GxCZUmhsr4XoKR93F6
17,Freeze Ra?l,Freeze corleone,1123939,https://open.spotify.com/track/6DPrYPPGYK218iVIZDix3i
18,Probl?mes du matin,Ninho,1123466,https://open.spotify.com/track/7oQK4prJZMQfX6FTuehqU2
19,On sait jamais (feat. Niska),PLK,1083484,https://open.spotify.com/track/216QmkNpU3hIjeZtGocb9B
20,Coco,Wejdene,1041126,https://open.spotify.com/track/0KmJlpwFryVrik3YN3PkPz
21,Jolie nana,Aya Nakamura,1020865,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm
22,Jerusalema (feat. Nomcebo Zikode),Master KG,1005347,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
23,Djomb - Bien ou quoi,Bosh,997523,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
24,LIFE LIFE,Damso,981478,https://open.spotify.com/track/4FnWH9l7gxQmrNpfA5AZKP
25,N'y pense plus,Tayc,913422,https://open.spotify.com/track/0RUavidTwACAYUoNhAxNNp
26,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,913243,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
27,COEUR EN MIETTES,Damso,879936,https://open.spotify.com/track/32arZ09m8FH1vTNJn2xdmH
28,Cooler Than Me,Lucky Luke,870653,https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
29,ROCKSTAR (feat. Roddy Ricch),DaBaby,856598,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
30,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,831005,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
31,16,Wejdene,818788,https://open.spotify.com/track/4xjvoMd6pgF1D0NR5Q7IBM
32,C'est mort,PLK,813331,https://open.spotify.com/track/2N9Ms8Xb9aQw63O5jKKM9b
33,Moto,Mac Tyer,808490,https://open.spotify.com/track/5DH03Qs3SSG12TNUCSAzMi
34,WAP (feat. Megan Thee Stallion),Cardi B,787856,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
35,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,783956,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
36,BPM,Damso,778269,https://open.spotify.com/track/2fHZHwEp6TP2ClC1S8ihVN
37,10K,Bol?mvn,753826,https://open.spotify.com/track/07pzk5h8p2qRowPZb3YBKC
38,Lettre ? une femme,Ninho,743815,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
39,Fier,Michou,741124,https://open.spotify.com/track/6TROCg4H1iXdHSRVZGiIUD
40,Savage Love (Laxed - Siren Beat),Jawsh 685,735586,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
41,Jacques Chirac,Lacrim,728334,https://open.spotify.com/track/4b6UABSAlaXm4KZjiQhYtI
42,MEVTR,Damso,720232,https://open.spotify.com/track/7hBJCiMzo1kZzzRfGOpWwE
43,Who's Laughing Now,Ava Max,715027,https://open.spotify.com/track/2ICse7t8MB60EFk6o9aUyw
44,Amour toxic,Dadju,694110,https://open.spotify.com/track/70APCdHsWV5BEsacwjzXmd
45,Rap cat?chisme,Freeze corleone,689331,https://open.spotify.com/track/2J0AJV5DsKyDuX1qEgJngB
46,SENTIMENTAL,Damso,688570,https://open.spotify.com/track/2BKPabEQlWzx7jSs1XWnp1
47,Trixma,Bosh,688267,https://open.spotify.com/track/4dJvs9kg78ZiHVnNr6UUNJ
48,No me ama,Lucenzo,686616,https://open.spotify.com/track/7vdq8RlxxuhB1GFIN9FIlI
49,ROSE MARTHE'S LOVE,Damso,681189,https://open.spotify.com/track/1ktmwAlpfYjFQkrCBHmbPK
50,Watermelon Sugar,Harry Styles,671830,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
51,Carbozo 2.0 - Extrait du projet Carbozo 2020,Carbozo,662545,https://open.spotify.com/track/7LFVUDIK2h3quyDMybadon
52,Blinding Lights,The Weeknd,657670,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
53,Take You Dancing,Jason Derulo,652357,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
54,Mecs de cit?s,Sifax,648517,https://open.spotify.com/track/3nZZkx4lkchcn5eh8DYQD8
55,Control,Zoe Wees,642332,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
56,you broke me first,Tate McRae,639785,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
57,Mais je t'aime,Grand Corps Malade,632103,https://open.spotify.com/track/2twcZTB1udOEzDCPpTiOju
58,Hors ligne,Freeze corleone,628233,https://open.spotify.com/track/0wUC6Pc1BCRJc1aXbF7yxp
59,Goosebumps,HVME,626369,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
