,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Moins un,Dinos,2024086,https://open.spotify.com/track/7xISE22N518t5HLsibFvEC
2,Bande organis?e,13 Organis?,2020432,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
3,Fever,Dua Lipa,1702169,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
4,Joli b?b?,Naza,1672138,https://open.spotify.com/track/1J4oMIhWDUd9cI1urhEyjl
5,9 1 1 3 (feat. SCH),Zola,1465923,https://open.spotify.com/track/0lit1XQsSQe7LKnzL6VMaF
6,Gotaga,Vald,1410110,https://open.spotify.com/track/2diEeH1DjfrYGRlXENLkdY
7,Coffre plein,Koba LaD,1401481,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
8,Plus Jamais (feat. Stormzy),Aya Nakamura,1398344,https://open.spotify.com/track/7iZVBT6LV32t4l00p73VAw
9,Dieu merci,Dadju,1293084,https://open.spotify.com/track/1HDqaIxeJ70BTHgZWEuaeT
10,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1193664,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
11,Parano?aque,Dinos,1181581,https://open.spotify.com/track/5EjRTvSPOnwALpoMM6LkCI
12,Mood (feat. iann dior),24kGoldn,1175242,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
13,Prends soin de toi,Dinos,1170159,https://open.spotify.com/track/0TGWAVx4bRsr8ZRYQtUPDw
14,Diptyque,Dinos,1142360,https://open.spotify.com/track/5AMrauYWppWRQghrh0UeLU
15,Maman m'aime,Dinos,1131287,https://open.spotify.com/track/417aTbQ5C3b0Gu3NEbIs9T
16,93 mesures,Dinos,1128937,https://open.spotify.com/track/626x9ykFfrXQmEeadnhr1f
17,Cabeza,OBOY,1115071,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
18,Je Wanda,Dinos,1070021,https://open.spotify.com/track/0ru41rBEzVgFlIB0KLNYeu
19,Slide,Bosh,1069998,https://open.spotify.com/track/0jUBH6aktBM2KCNnEZfBWJ
20,Tout en Gucci,Ninho,1043122,https://open.spotify.com/track/0i5GJckWb9uCZU4jcGoBca
21,Demain n'existe plus,Dinos,990892,https://open.spotify.com/track/4NcJdWFnDzubpcG31CrDU1
22,Pilote (feat. Hamza),PLK,958918,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
23,Ciel pleure,Dinos,940978,https://open.spotify.com/track/3ki5NTNjfk4EXbesKr77Po
24,? la f?te,UZI,905777,https://open.spotify.com/track/0qARyMVNjA6q1uxxO3nofB
25,C?saire,Dinos,905687,https://open.spotify.com/track/4aitZJoaTKUBwp5Rr7CWi0
26,Millions d'euros,Landy,881757,https://open.spotify.com/track/6OYRUnXFnD7nbtLQvRidh7
27,Macaroni (feat. Ninho),Leto,835382,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
