S,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
60,Promo (feat. Damso),Ninho,544398,https://open.spotify.com/track/1l3WcVBNpaXBIWGYefPV9b
61,SICKO MODE,Travis Scott,541207,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
62,Vaillante,YL,535488,https://open.spotify.com/track/0vUCn7o1ZK4CRtngYRZwPL
63,In Your Eyes,The Weeknd,533067,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
64,Je vous d?teste tous,Lorenzo,530792,https://open.spotify.com/track/7gXKk9AN9WNlMNlNx1hD0y
65,JCVD,Jul,530679,https://open.spotify.com/track/10iesoGb4mCYTcur1QfdO9
66,Calumet,Hornet La Frappe,519479,https://open.spotify.com/track/4hCHnvepjWmpP2kgYuEC7d
67,Say So (feat. Nicki Minaj),Doja Cat,516432,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
68,In Your Eyes (feat. Alida),Robin Schulz,515698,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
69,Don't Start Now,Dua Lipa,515020,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
70,Stuck with U (with Justin Bieber),Ariana Grande,511473,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
71,Ailleurs (feat. Maes),Timal,500258,https://open.spotify.com/track/5rTFwZ5ECdJTcMtm0O8mYS
72,Baian?,Bakermat,498839,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
73,Amarillo,J Balvin,497039,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
74,Calling On Me,Sean Paul,496930,https://open.spotify.com/track/5I4VsjWxOqN1nWfUpFZFM3
75,Dans tes yeux,Kaza,495877,https://open.spotify.com/track/46ZFuxrYY3ar9Jdf6RDMDP
76,HIGHEST IN THE ROOM,Travis Scott,490947,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
77,C?te Ouest,47ter,488911,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW
78,Say So,Doja Cat,488250,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
79,40%,Aya Nakamura,467754,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
80,ROXANNE,Arizona Zervas,464683,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
81,Loin de moi,Naza,462711,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
82,Woin Woin (feat. RK),Larry,459007,https://open.spotify.com/track/0vetigm1cKD8YvB37KCSHu
83,POPOPOP,Gambi,458796,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
84,Dans l'espace (feat. Heuss l'Enfoir?),Gambi,458379,https://open.spotify.com/track/2KAkkba3PaYFegfmYpUITv
85,Maman ne le sait pas (feat. Niska),Ninho,451414,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI
86,B?timent,Niska,450342,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
87,Enfant compliqu?,Larry,446279,https://open.spotify.com/track/2WDPXXLSTnfKzHLVpyUFp5
88,Never Never (feat. Indiiana),Drenchill,442899,https://open.spotify.com/track/40NKYSkaTC4F62QbIVJ8S6
89,Ninja,Soprano,440014,https://open.spotify.com/track/2imLYhuE0rBYnSrhXDOaRX
90,Filon,Ninho,436013,https://open.spotify.com/track/0AvrSFPS8mN8OjUNCwemwa
91,Prends ta monnaie,Bol?mvn,431464,https://open.spotify.com/track/4RyLqHHyenYnML9yKaHPtI
92,Kings & Queens,Ava Max,420108,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
93,Secrets,Regard,416330,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
94,Ma belle,Moha La Squale,415591,https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D
95,Folie,Jul,414807,https://open.spotify.com/track/2yOkdj96Ls3t9SDyPYl9Nc
96,Goutte d'eau,Ninho,412093,https://open.spotify.com/track/0rQbvQpjQ6QeeCAnVRzokf
97,Un peu de haine,PLK,411112,https://open.spotify.com/track/5yYfCoMrhcuxMP9CAmA2rU
98,Before You Go,Lewis Capaldi,402980,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
99,Mec de cit?,Yaro,397493,https://open.spotify.com/track/0ZgS1ThlLDBfoSLwLc8AfO
100,Maman dort,S.Pri Noir,395397,https://open.spotify.com/track/0FOOo8wbVSFQ7YI0ZF8iC7
101,Astroboy,Zola,394311,https://open.spotify.com/track/2ByB9vlVC7p6kDsznT4NYr
102,I Love You (432 Hz) (with Greeicy),Maejor,393900,https://open.spotify.com/track/07Tnke5YAVjGhBx3lJ9oRS
103,In My Bones,Ray Dalton,389857,https://open.spotify.com/track/6yHVyMdC08djbP86mdkP3G
104,Tes parents (feat. Ninho),Leto,386142,https://open.spotify.com/track/0G0ZyEQyc3IBcRnYCvtTwb
105,Silicon?,Niska,385970,https://open.spotify.com/track/4pmQt0EAXwy2SyXOJJ2bPU
106,Boss Bitch,Doja Cat,384873,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
107,Au DD,PNL,379171,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
108,Jamais,Mister V,377483,https://open.spotify.com/track/4jB8td98pbRVvTqtQ7I3MI
109,Elle est bonne sa m?re,Vegedream,376740,https://open.spotify.com/track/7j56bK7gq6iV7zsD6lbP4J
110,La Kichta,Soolking,367152,https://open.spotify.com/track/0Iyt1ZnlZibH8QdEKrGMTR
111,Don't Rush (feat. Headie One),Young T & Bugsey,366265,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
112,Valise,Rim'K,360263,https://open.spotify.com/track/4WNRbKU0oMQUvnGRXKWKoY
113,bad guy,Billie Eilish,358877,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
114,Life Is Good (feat. Drake),Future,357985,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
115,N'attendons pas,Vianney,356838,https://open.spotify.com/track/6l42qNVfFnvygaJTKWf4hv
116,D?sol? pour hier soir XXV - Remix 2020,Tryo,356361,https://open.spotify.com/track/0USQrLiSMnzlaoMKkgIaT6
117,Putana,Ninho,356265,https://open.spotify.com/track/5oePa8PlOTPAlRaGs2OZ3A
118,M.I.L.S 3,Ninho,355051,https://open.spotify.com/track/3CdDFnkFxwd6mPZtTR9JzN
119,"Malheur, malheur",GIMS,351064,https://open.spotify.com/track/1cSaqhkvwepFfxlPFtSoTb
120,Trop beau,Lomepal,350779,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
121,What A Man Gotta Do,Jonas Brothers,350220,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
122,Avant toi,Vitaa,346165,https://open.spotify.com/track/4iNPp0BZ4lBu7bipdWLcWk
123,Avant la douane,Jul,344974,https://open.spotify.com/track/3AwXhQWatI5b1sLIhsnOdP
124,Oui ou non,Ang?le,343930,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
