,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Ne reviens pas,Gradur,3948207,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
2,Moulaga,Heuss L'enfoir?,3035799,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
3,Dance Monkey,Tones And I,2282643,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Blinding Lights,The Weeknd,1772905,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,POPOPOP,Gambi,1659801,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
6,Distant,Maes,1579698,https://open.spotify.com/track/2iuNKcIOuHb9VIplN7NDoa
7,40%,Aya Nakamura,1430890,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
8,Oui ou non,Ang?le,1321130,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
9,MD,Niska,1296802,https://open.spotify.com/track/0fjeOEBCmt1nAdoux2TDKF
10,Loin de moi,Naza,1260959,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
11,Woin Woin,Larry,1244632,https://open.spotify.com/track/5Oh8sPyFYM4gAR3KmmDH7I
12,God Bless (feat. Damso),Hamza,1191563,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg
13,ROXANNE,Arizona Zervas,1156536,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,RITMO (Bad Boys For Life),Black Eyed Peas,1145186,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
15,C?te Ouest,47ter,1118975,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW
16,Que Calor (with J Balvin & El Alfa),Major Lazer,1103044,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
17,H? OH,Gambi,1101327,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
18,Jamais,Mister V,1050511,https://open.spotify.com/track/2MCAs3ttHSuDm1RHL0rqTF
19,Memories,Maroon 5,973420,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
20,Ride It,Regard,963407,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,93% [Tijuana],GLK,961079,https://open.spotify.com/track/45mzuuUWaRRLwIDifDferf
22,B?timent,Niska,913428,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
23,La vie qu'on m?ne,Ninho,904350,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
24,Mayday (feat. Ninho),SCH,890905,https://open.spotify.com/track/1SVuEeerYIwjCRsF5MGzX3
25,Baian?,Bakermat,885817,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
26,Street,Maes,878202,https://open.spotify.com/track/0MtMUDO6tzHq1ux9rwSJhl
27,Ma vie,Dadju,877955,https://open.spotify.com/track/2WFa5RbfyeoBDGNkg3OD7M
28,Dans l'univers,Nekfeu,868436,https://open.spotify.com/track/2PYXOG6GdxF9sUIH2NfOAD
29,Avant toi,Vitaa,861978,https://open.spotify.com/track/4iNPp0BZ4lBu7bipdWLcWk
30,Reste,GIMS,821635,https://open.spotify.com/track/3ebaeB2BdCEgZmwKv7p2r5
31,Se?orita,Shawn Mendes,815414,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
32,Trampoline,SHAED,807156,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS
