,ArtistName,ArtistID,MusicID
66,Various Artists,0LyfQWJT6nXafLPZqxe9Of,01Ub2h3U861zjYENDvsOLB
67,Broederliefde,5GvMLzUp6tMBpaCbr903RN,01UtCcD60it0FCymQN3OPp
68,Jacin Trill,4hKoG9QvxsFDLIntc6tZ0g,01VxpJ4PnQD0JCvwl3hOMQ
69,JOYCA,5AqhBC5pt6b0WVpUAII1Ro,01Xq0gzAC3mUlkkojtAojE
70,Fredo,3rbtPd0NcvhO2AzMfzx90z,01ZIculhpupvh79iH4LSWz
71,Big Toe,18Zq5h68TQ6kurXzRNHJDo,01as9sNALk4rpqgqz9a0n3
72,187 Strassenbande,2j2rh3oQh4QEUnNTDKYSJD,01dCuK62A6QZ8L9ONTyMVo
73,BTS,3Nrfpe0tUJi4K4DXYWgMUX,01dmH2IPkrLNWIMPNXlreE
74,Nekfeu,4LXBc13z5EWsc5N32bLxfH,01dqWNKgM2ujxu7HacaQwI
75,DA Uzi,3xEJ7cDz5rdg6VM8E6Mqhf,01eL1T8iCdN5qK6KI3dAce
76,METRICKZ,2P7AfQW941UU324qq2ggZf,01eVMUiJcYmHqy1HUURwOY
77,Lartiste,6HhnhnxLsowYuuejvku0Bz,01jZO0m1WSPGXriODVKN3U
78,Years & Years,5vBSrE1xujD2FXYRarbAXc,01k24g94i1JvkFLQmVEdCd
79,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,01kOu8BA8yzAHx9LUidTi9
80,Genetikk,41LLNWUptvfbQ9Q7oCefmg,01kz4lRjl4QIk1Hxh88CKN
81,Rooz,22qcssYcY9HKu3mgcXXEGq,01q4ydDZhk4xdVb0M7uvgu
82,LEA,5Yo5iU2nf4H41waPl4ZnS1,01qOl2pM8emx1sxdBQc05g
83,MMZ,20amiDsCI5EwB6xy37h44k,01rtYrk7VtuIgNcVfOaVaN
84,Sam Smith,2wY79sveU1sp5g7SokKOiI,01uk7IzZyFNfQTDBXxx6NB
85,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,01uqI4H13Gsd8Lyl1EYd8H
86,RIN,18ISxWwWjV6rPLoVCXf1dz,01vR5Z7AHinp9D2wu2BNQS
87,Monk,0jEyGu5QKLxQ2tIZVnRbfE,01vXerMeFgboAgQZxUL2m9
88,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,01vv2AjxgP4uUyb8waYO5Y
89,Mac Miller,4LLpKhyESsyAXpc4laK94U,01z2fBGB8Hl3Jd3zXe4IXR
90,Marracash,5AZuEF0feCXMkUCwQiQlW7,020wG4EHTwBy5h2rbpxqvK
91,Future,1RyvyyTE3xzB2ZywiAwp0i,021lWIHJrURZrmvYQ1xcM8
92,Cast Of “Mamma Mia! Here We Go Again”,1yjracK9CNmMgZo5myCuqu,021oUsG0NYI7YuJK6c0ecG
93,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,022k1qYIMWV20yW7tjiBv5
94,Band Aid 20,71UcB6UtI3juKDx2wsOaqn,0247StOpd3AkeBQzANX4Zf
95,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,026IC4Vj88QjLlnIPDExhz
96,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,02EueNTei94HbMKaBB4Clv
97,Katy Perry,6jJ0s89eD6GaHleKKya26X,02FaKXXL7KUtRc7K0k54tL
98,Dylisa,1EZhPZUiU6c52gOAZLIcR2,02Hm1Auu9GelscSyCeO8ac
99,Hef,7ge3QfYPMTjDbMoVLuuIuJ,02IYSENYv8CaBYCRNCBltd
100,Timal,2ptKt4yP4mYRZmvi09JYyi,02LVio44kxb9vSlvbMzEDT
101,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,02LZ1fGJE8fB56yTlCVMEV
102,Le Motif,0HdLXCWPtmK9wgd7CyNuj3,02LwcMgdAIoHdTOMVCWSul
103,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,02MWAaffLxlfxAUY7c5dvx
104,La Synesia,1xAkr1syMoClC66pHMk2Eq,02PBAJJd2EPetkC3fbF3uv
105,Veysel,4VuARVJiWGsH2msKTdsKdQ,02PjrA5rmpjDNocDmTva0H
106,Lil Baby,5f7VJjfbwm532GiveGC0ZK,02RCbjb9czvQKNGBmEmWob
107,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,02VHspkXhhH1QCInRWWIfr
108,K'NAAN,7pGyQZx9thVa8GxMBeXscB,02WDuAXXKumemrvsmrVBvH
109,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,02WacdrRpm4zlP8H7X6bnQ
110,Rohff,32UhRcgdXO6LdLhOpfIdxp,02ZRnYxBuBqUtvfzhvR1x8
111,Novelbright,0jWCX6zp4RjWrmZRxJ2uri,02ZsOeVtenrP80YpRPSonZ
112,Illy,6NFyaN9PMCDZ3LKxGwHAXt,02c4wpeXlXxT7Cekkz3kP3
113,Headie One,6UCQYrcJ6wab6gnQ89OJFh,02dADQ1lF2YLpDYDXLNifI
114,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,02dRkCEc8Q5ch4TTcnLxOn
115,Majoe,1a71mkqZC54WhePSbnq7RK,02dXvglgWs3XX5qdew4cqW
116,Little Mix,3e7awlrlDSwF3iM0WBjGMp,02gj0J38nzyO9lNi9mzi3A
117,2 Chainz,17lzZA2AlOHwCwFALHttmp,02hNDxtMMTpq72rdp1lm6v
118,The Jackson 5,2iE18Oxc8YSumAU232n4rW,02iUVk5hDjUseFNgYXwF9I
119,Tate McRae,45dkTj5sMRSjrmBSBeiHym,02iW5boMzeBDVRI0dRE1Yw
120,Baby Keem,5SXuuuRpukkTvsLuUknva1,02iYJG3KLBJODa5JkQ4O6y
121,RK,2s7fZ34RK8RUJQ2ewsh6I5,02ij9yuZr4jjdTB4qwsFDe
122,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,02itaCXOdC54J0ISjqqFAp
123,Internet Money,6MPCFvOQv5cIGfw3jODMF0,02kDW379Yfd5PzW5A6vuGt
124,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,02mYw61RoS1vXvkD9Q5dpN
125,SALU,2AwGvrbcvOSx5HDwc4OQE3,02qDk0sngobDvg3LUdt9Y0
126,Stormzy,2SrSdSvpminqmStGELCSNd,02t2kfqtYpPW8718hxnBcV
127,Kalash,3J7r4VsNmuWixU0nXvyPd8,02t5gEURbZvQ5q3xlqzBLq
128,ASHE 22,3tTvSeZiFDP3CY5EdPGcR4,02uSh14aUckmfTVj5MEhmg
129,Ali471,2hH16roqnQFy0PdSmgZRSJ,02y8kYqCkzAxVqLEsnIXNS
130,Judy Garland,0hItVPjwJLVZrFqOyIsxPf,030mot3ZKR3oskfMsqDB2R
131,Chillinit,5TUXXyB6ZKCdd0vQx6yR2J,032nvIsMuiCJKeqvj2lLmM
132,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,033if6Adj8fwBYsQzHOfQ8
133,もさを。,71KI7v1YqVU8cIFzBl47dh,034BqEUIVYlkjTZU4CRT9y
134,Boef,0Jsk5iYMr5aNjHury7blm1,034EMd06oEtPZ98wsK4p2t
135,RIN,18ISxWwWjV6rPLoVCXf1dz,034jxfixe0Gogd6p0reMnP
136,Sevn Alias,0HDMwoCS316xhKCZlJPBnc,0362SHfDTYXjWFVa8PPY7I
137,Boef,0Jsk5iYMr5aNjHury7blm1,036HGg6Bs7n15m99zcnPwZ
138,Mula B,6zEaCvF0CqEHs7kFyBkLHi,036NjfC7XOsmhds5tlNWUT
139,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,03B2SfXuvDh1m9F4tqrX07
140,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,03CbQgFxnBFoaaVJTfEqMD
141,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,03ERnTvSV5fy8WAyvA4uNP
