00xBJ1IJSkErFWuuHxLPoP,tru. (Deluxe Edition),0.169,0.533,0.643,0,0.188,-7.593,1,0.0413,85.061,4,0.47
00xiUhvY3j3LOB8mZHWP3m,Chouk (feat. 7Liwa),0.166,0.776,0.66,1.28e-06,0.223,-6.753,0,0.361,145.324,4,0.663
00y6yHW6kv07HqWmodzjGb,NOUVO MODE,0.536,0.841,0.644,3.22e-06,0.091,-5.882,1,0.232,79.006,4,0.307
010sBccFjnvksNaJkW0Az4,Lacrim,0.133,0.801,0.64,1.53e-05,0.17,-7.88,1,0.331,134.049,4,0.469
011NtiyI7P4xlIQHar3p9h,CY-BEAST lvl1,0.249,0.605,0.701,0,0.105,-4.566,1,0.0497,146.049,4,0.244
011ZwIM48eD8ee2UBpG8nK,3.15.20,0.197,0.691,0.524,4.29e-05,0.488,-9.718,1,0.16,164.047,4,0.41
012iHyRvQQquWQGUTYvDxy,Fall Auf,0.307,0.5,0.743,2.68e-05,0.133,-6.648,1,0.0373,166.256,4,0.332
016Mbj2Kfukbgbmr1WB65E,ICH HEBE MEIN GLAS,0.285,0.741,0.767,0.0412,0.108,-3.606,0,0.343,110.06,4,0.357
017PF4Q3l4DBUiWoXk4OWT,Future Nostalgia,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0,0.0884,113.011,4,0.467
01AHLmTHZb7MbkxG6X1UjK,Eerlijk,0.831,0.383,0.453,4.96e-06,0.234,-9.532,0,0.142,177.628,3,0.347
01AXHOcjq5Ikq1mKyNm9bM,CASINO,0.279,0.794,0.489,4.27e-06,0.0966,-8.341,0,0.084,155.945,4,0.542
01DOm09B2AbiTARAbXVI6g,CHopstix (with Travis Scott),0.0391,0.958,0.6,0,0.274,-6.996,0,0.118,127.933,4,0.607
01DaiVsT1zqhmzogYEbEN8,Gnonmi avec lait,0.114,0.676,0.794,0,0.671,-6.131,0,0.308,144.102,4,0.698
01FvQEvHETjWqcDpQDJdTb,Dangerous: The Double Album,0.247,0.555,0.771,7.26e-05,0.149,-5.237,1,0.0282,139.971,4,0.442
01GIr6ziveLJwKBBQGqs9B,Third Avenue,0.0988,0.553,0.542,0,0.097,-9.067,0,0.344,82.997,3,0.3
01GmGxOPy22EdAZGC0X6q1,The Big Day,0.802,0.657,0.644,0,0.101,-5.698,0,0.363,85.283,4,0.567
01H1KnKt2I4zufYTOKnR4i,Or Noir Part 3,0.267,0.898,0.73,0,0.134,-7.421,1,0.264,84.976,4,0.358
01HjWGf8et4JyQk1oHfIY8,Tijdloos,0.189,0.858,0.764,0,0.148,-5.61,0,0.277,134.896,4,0.357
01I9AEz658sQnQzCL3K3QG,HOES UP G'S DOWN,0.0455,0.73,0.777,0.00106,0.0759,-6.375,0,0.29,177.865,4,0.578
01IQ4aQgOf0Kkq3a273hmO,Funky Friday,0.0783,0.975,0.535,0,0.107,-7.227,1,0.196,125.066,4,0.671
01JMnRUs2YOK6DDpdQASGY,My Turn,0.38,0.817,0.513,0,0.109,-6.263,0,0.394,123.029,4,0.177
01MCHGtGZHtYVeVUNqgMbC,De Echte Vent,0.823,0.641,0.349,7.17e-05,0.125,-7.569,1,0.0264,92.445,4,0.412
01NaNxAEmbxcmbfvCFQduv,MEMORIES DON'T DIE,0.331,0.369,0.444,0,0.152,-10.074,0,0.232,89.572,5,0.385
01Qb6dN5suQNu87VJ1mIpf,Did It Again,0.218,0.699,0.575,0,0.112,-9.922,1,0.159,148.767,4,0.234
01QdEx6kFr78ZejhQtWR5m,Fearless (Taylor's Version),0.819,0.546,0.273,0,0.137,-9.208,1,0.0308,118.753,4,0.271
01S5aiC3Q5bt84EiGaCVwP,Santa Sauce 2,0.677,0.693,0.388,0.000201,0.101,-12.188,0,0.0711,160.011,4,0.377
01TnVDiet1DFTsyWKUKovl,?,0.1,0.414,0.416,0.179,0.131,-8.024,0,0.0251,159.91,4,0.196
01Ub2h3U861zjYENDvsOLB,All Eyez On Us,0.774,0.742,0.63,0.0215,0.124,-8.622,0,0.0973,110.0,4,0.214
01UtCcD60it0FCymQN3OPp,Medaille,0.168,0.652,0.858,0,0.0871,-3.955,0,0.105,160.046,4,0.625
01VxpJ4PnQD0JCvwl3hOMQ,Happyland 2.0,0.096,0.884,0.453,0.000218,0.138,-9.692,0,0.458,146.141,4,0.656
01Xq0gzAC3mUlkkojtAojE,Clash Assassins,0.278,0.872,0.608,0,0.163,-7.192,0,0.203,130.05,4,0.713
01ZIculhpupvh79iH4LSWz,All I Ever Wanted (feat. Dave) [Edit],0.188,0.876,0.676,0,0.152,-7.56,1,0.165,120.069,4,0.269
01as9sNALk4rpqgqz9a0n3,Wasser,0.239,0.94,0.787,0.0593,0.0625,-6.885,1,0.102,135.008,4,0.842
01dCuK62A6QZ8L9ONTyMVo,187 Allstars - EP,0.165,0.809,0.688,1.55e-06,0.118,-6.41,0,0.161,123.021,4,0.305
01dmH2IPkrLNWIMPNXlreE,Love Yourself 轉 'Tear',0.214,0.519,0.828,0,0.0571,-5.523,1,0.365,139.413,4,0.929
01dqWNKgM2ujxu7HacaQwI,Les étoiles vagabondes : expansion,0.36,0.776,0.469,0,0.156,-6.375,0,0.423,79.968,4,0.445
01eL1T8iCdN5qK6KI3dAce,Mexico,0.39,0.613,0.761,1.35e-05,0.14,-5.369,0,0.387,134.216,4,0.379
01eVMUiJcYmHqy1HUURwOY,Mufasa,0.0491,0.707,0.642,0,0.184,-5.93,1,0.203,96.021,4,0.373
01jZO0m1WSPGXriODVKN3U,Grandestino,0.332,0.901,0.69,1.6e-05,0.0732,-6.736,0,0.142,104.0,4,0.558
01k24g94i1JvkFLQmVEdCd,If You're Over Me,0.0615,0.647,0.853,0,0.062,-4.516,1,0.0904,103.846,4,0.618
01kOu8BA8yzAHx9LUidTi9,A Love Letter To You 4,0.505,0.445,0.737,0,0.0797,-5.516,0,0.483,74.374,4,0.642
01kz4lRjl4QIk1Hxh88CKN,Y.A.L.A,0.026,0.584,0.772,0,0.361,-5.582,0,0.0714,89.948,4,0.0922
01q4ydDZhk4xdVb0M7uvgu,Immer wieder,0.0341,0.696,0.571,0,0.167,-9.578,0,0.0901,116.034,4,0.413
01qOl2pM8emx1sxdBQc05g,Beifahrersitz,0.346,0.712,0.774,0,0.176,-3.967,0,0.133,159.977,4,0.471
01rtYrk7VtuIgNcVfOaVaN,N'DA,0.1,0.718,0.783,0,0.148,-4.568,0,0.0658,155.093,4,0.652
01uk7IzZyFNfQTDBXxx6NB,The Thrill Of It All (Special Edition),0.367,0.672,0.53,0,0.321,-6.43,1,0.0284,103.326,3,0.485
01uqI4H13Gsd8Lyl1EYd8H,The Heist,0.716,0.688,0.473,4.46e-05,0.104,-9.059,1,0.167,84.958,4,0.299
01vR5Z7AHinp9D2wu2BNQS,UP IN SMOKE,0.235,0.791,0.663,2.13e-05,0.117,-5.655,0,0.153,77.494,4,0.314
01vXerMeFgboAgQZxUL2m9,Loud (feat. Longus Mongus),0.208,0.935,0.371,1.37e-06,0.113,-11.875,0,0.609,130.09,4,0.525
