,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,POPOPOP,Gambi,3698877,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
2,Dance Monkey,Tones And I,2463193,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,H? OH,Gambi,2391211,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
4,Un peu de haine,PLK,1563910,https://open.spotify.com/track/5yYfCoMrhcuxMP9CAmA2rU
5,B?timent,Niska,1249312,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
6,Ma belle,Moha La Squale,1215192,https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D
7,Marie,Koba LaD,1176363,https://open.spotify.com/track/4NcZKLjdfTJLpaCOspAjQn
8,M?chant,Niska,1157975,https://open.spotify.com/track/75bVc27bDSOAhMAL38cXpV
9,Probl?mes,PLK,1146872,https://open.spotify.com/track/6lZbLMHu98qpkOY0t3efUK
10,Memories,Maroon 5,1124783,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
11,Bitch (feat. Vald),Lefa,1112187,https://open.spotify.com/track/4Bg5ufw4skMPjZl95Y7axO
12,Lalala,Y2K,1021314,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
13,Journal perso II,Vald,1008267,https://open.spotify.com/track/1ezjFgjNnCf57TW1sacWBH
14,San Pellegrino,Chily,999847,https://open.spotify.com/track/30Mqfip5b5lCDpCLRvsrTq
15,Tes parents (feat. Ninho),Leto,992613,https://open.spotify.com/track/0G0ZyEQyc3IBcRnYCvtTwb
16,La vie qu'on m?ne,Ninho,985016,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
17,Ride It,Regard,973140,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
18,Baian?,Bakermat,962001,https://open.spotify.com/track/7MUazB4rGIqFFIkjT95rCO
19,Compliqu?,Dadju,957616,https://open.spotify.com/track/2On7uB8PN8JJmBNsms8unQ
20,Dans l'univers,Nekfeu,953466,https://open.spotify.com/track/2PYXOG6GdxF9sUIH2NfOAD
21,Ma vie,Dadju,952898,https://open.spotify.com/track/5eO93haeVLJQPnbazR3bLd
