,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
60,Dans la ville,DTF,619116,https://open.spotify.com/track/6OsqTyesS9pc7pYPCFhlmv
61,M?dicament,Niska,593708,https://open.spotify.com/track/0udmmo0fTwWbm6VqEHAvYF
62,Circles,Post Malone,593231,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
63,Bitch (feat. Vald),Lefa,585047,https://open.spotify.com/track/4Bg5ufw4skMPjZl95Y7axO
64,San Pellegrino,Chily,581817,https://open.spotify.com/track/30Mqfip5b5lCDpCLRvsrTq
65,Putana,Ninho,578268,https://open.spotify.com/track/5oePa8PlOTPAlRaGs2OZ3A
66,Be Honest,Jorja Smith,566858,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs
67,Balance ton quoi,Ang?le,555875,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
68,RR 9.1,Koba LaD,555185,https://open.spotify.com/track/28fP6qcMGPfYOjrx8AOWFn
69,Some Say,Nea,551075,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
70,Adore You,Harry Styles,534419,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
71,Turbo,Rim'K,533738,https://open.spotify.com/track/5cKIAHPEHZ5aGXqvksSrS6
72,Bac +12 (feat. Koba LaD),Hamza,531399,https://open.spotify.com/track/2wCgClGyC7FyXLu5ZVAdey
73,Holly Jolly Christmas,Michael Bubl?,529471,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
74,Summer Is a Curse,The Faim,524828,https://open.spotify.com/track/5WzgYEfub2pFJAAZfrOult
75,Tricheur,Nekfeu,522352,https://open.spotify.com/track/7C7GtWZmyicqjBDbAWPsCp
76,? nos h?ros du quotidien,Soprano,515469,https://open.spotify.com/track/4zKqWCgGqwWlfJTNaj2R19
77,bad guy,Billie Eilish,512928,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
78,Lose Control,MEDUZA,511278,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
79,Pookie,Aya Nakamura,510603,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
80,Sad (feat. Afrojack),Chico Rose,509282,https://open.spotify.com/track/4ESPuOrSsRcBISzcMlzmY5
81,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,507149,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
82,TPB,Dadju,504284,https://open.spotify.com/track/5DWpO5TxxPNQoppN9ub4HU
83,Trop beau,Lomepal,499542,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
84,Khapta,Heuss L'enfoir?,496419,https://open.spotify.com/track/6stxV2bl7xSiPUornxwyNR
85,Birds,Imagine Dragons,489552,https://open.spotify.com/track/6Tvzf3VEi16JMhAgOwdt2y
86,Old Town Road - Remix,Lil Nas X,478607,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
87,Mon b?b? d'amour,Jul,477985,https://open.spotify.com/track/6ONBway3VLMdg9tQMZixT7
88,Never Seen the Rain,Tones And I,468267,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
89,Someone You Loved,Lewis Capaldi,464743,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
90,Les m?chants,Heuss L'enfoir?,460645,https://open.spotify.com/track/0r64LBR8RlnXcdd5HTFubd
91,Turn Me On (feat. Vula),Riton,459739,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
92,Lalala,Y2K,457948,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
93,L'odeur du charbon,Dosseh,455968,https://open.spotify.com/track/6atrzNHhWlXTolcIKAjSq2
94,C'est pas des LOL,Jul,453886,https://open.spotify.com/track/7zzhknA0A39TH81meuX7WA
95,Beuh magique,Jul,448875,https://open.spotify.com/track/2PaktlQ4uhWfR0Cuk0qRtN
96,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,447212,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
97,Papers (feat. Ninho),Zola,447014,https://open.spotify.com/track/3vmoC735YdyvsrF0HtbmGn
98,Alibi,R?my,442082,https://open.spotify.com/track/4iIH0uHA0KI2kHJaKnZN03
99,Soleil,Rom?o Elvis,441953,https://open.spotify.com/track/5SNfvgi4TUwx4Si0lFn3G2
100,Du lundi au lundi,Niska,441722,https://open.spotify.com/track/4vR2zaYAW8CtzwodeFufkI
101,Tout oublier,Ang?le,438685,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71
102,Lose You To Love Me,Selena Gomez,437712,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
103,Ce soir,Doums,435853,https://open.spotify.com/track/458jymYwp103FpfZd8eDNF
104,Petit Papa No?l,Tino Rossi,433676,https://open.spotify.com/track/5FHMtswRpmTObVb9wnZWga
105,Ibiza,Jul,432569,https://open.spotify.com/track/1n7fqc4bQcxIyxZP2IXVbg
106,Beautiful People (feat. Khalid),Ed Sheeran,429699,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
