,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Bande organis?e,Kofs,5461469,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT
2,Macaroni (feat. Ninho),Leto,2796653,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
3,On sait jamais (feat. Niska),PLK,2591910,https://open.spotify.com/track/216QmkNpU3hIjeZtGocb9B
4,Grand bain,Dadju,2262553,https://open.spotify.com/track/1fyVvRQsa095P7QK5Um7xH
5,C'est mort,PLK,1937146,https://open.spotify.com/track/2N9Ms8Xb9aQw63O5jKKM9b
6,Pilote (feat. Hamza),PLK,1811700,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
7,Angela,Hatik,1769845,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
8,Jolie nana,Aya Nakamura,1760593,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm
9,B?nef,PLK,1754646,https://open.spotify.com/track/4pLKXZKr9TsSS5qBQtSIVz
10,Dans les clips,PLK,1710158,https://open.spotify.com/track/3ayqflelDSFQFn1h4Fsz19
11,Chandon et Mo?t (feat. Heuss l'Enfoir?),PLK,1690679,https://open.spotify.com/track/4XEYHjp86yaGfZOGT8CqPV
12,Coco,Wejdene,1650822,https://open.spotify.com/track/593oNiMJ6d9PQkaOLOvIDo
13,Billet d'20,PLK,1589605,https://open.spotify.com/track/0He5zxKoSLLiIiJEdnJ3nk
14,My Salsa,Franglish,1581004,https://open.spotify.com/track/7IJIj326qJJA6oi6EpFCBD
15,Les comptes,PLK,1575621,https://open.spotify.com/track/115DMiJM5Pes4brNvBGlAM
16,? la f?te,UZI,1487174,https://open.spotify.com/track/0qARyMVNjA6q1uxxO3nofB
17,Djomb - Bien ou quoi,Bosh,1455040,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48
18,D?gaine de bandit,PLK,1385492,https://open.spotify.com/track/5VXGxU06D7RRHtNRCn4Vm6
19,Pourtant,PLK,1365696,https://open.spotify.com/track/47wyFDQKlZ4ycYTHYqOelQ
20,Toutes g?n?rations (feat. Rim'K),PLK,1312471,https://open.spotify.com/track/7uKWxxcwpY4f5Tsy3fA6yR
21,Alleluia,PLK,1281831,https://open.spotify.com/track/1VrB3SyOYC55kgCpM4gNoK
22,Mamie,PLK,1255115,https://open.spotify.com/track/6Ni93XERlCTRDLNkbHMEni
23,Savage Love (Laxed - Siren Beat),Jawsh 685,1218904,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
24,ROCKSTAR (feat. Roddy Ricch),DaBaby,1164155,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
25,Moto,Mac Tyer,1161671,https://open.spotify.com/track/5DH03Qs3SSG12TNUCSAzMi
26,Calme,PLK,1138151,https://open.spotify.com/track/75zh5ahRARhfWv2PQHYmkG
27,Au fond d'ma t?te,PLK,1126030,https://open.spotify.com/track/3V2KQy8tTU9AdHxs9FKCAc
28,Terrible,PLK,1116167,https://open.spotify.com/track/7jC1pnESBqDsbGuIq2ZqhZ
29,3 en 1,PLK,1113226,https://open.spotify.com/track/50EgrBo73WiBsnLcb7TtVL
30,N'y pense plus,Tayc,1079849,https://open.spotify.com/track/0RUavidTwACAYUoNhAxNNp
31,La vie c'est marrant,PLK,1035644,https://open.spotify.com/track/46u6O44XHYFWtpcLoCKRUr
32,Jerusalema (feat. Nomcebo Zikode) - Edit,Master KG,1016242,https://open.spotify.com/track/2R7gA9dAHTjASKU0wiTJok
33,MAMACITA,Black Eyed Peas,1002091,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
34,La meilleure,Hatik,976803,https://open.spotify.com/track/2g63GxCZUmhsr4XoKR93F6
35,10K,Bol?mvn,964094,https://open.spotify.com/track/07pzk5h8p2qRowPZb3YBKC
36,Cabeza,OBOY,942826,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
37,Alane,Robin Schulz,933253,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
38,MACINTOSH,Gambi,923023,https://open.spotify.com/track/70yiVJoOUU6cNbdsgL6ADT
39,M?lodie,Leto,908100,https://open.spotify.com/track/3Ba9EGhbj9IY4qVPGJjWRn
40,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,900226,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
41,Charbon (feat. Booba),Leto,885322,https://open.spotify.com/track/6o6ubS6EQANoFFsOG6pY3n
42,Blinding Lights,The Weeknd,881542,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,6.3,Naps,873588,https://open.spotify.com/track/3lTL4LdFKVF51lseI2nk5D
44,Watermelon Sugar,Harry Styles,835799,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
45,Italia,Jul,830823,https://open.spotify.com/track/11Mq1tJwmFOig3BXxjqcQr
46,Anissa,Wejdene,824359,https://open.spotify.com/track/62Pp6exz0ywSlBqvNqiY6Z
47,Lettre ? une femme,Ninho,819238,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
48,Nouveaux riches (feat. Niska),Leto,807594,https://open.spotify.com/track/2Bo6H2j9DR1PoGLG2YCQhH
49,Criminel,Bramsito,782812,https://open.spotify.com/track/6JAezQjLfd5CopZ5klhzHu
50,WAP (feat. Megan Thee Stallion),Cardi B,782171,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
51,Cooler Than Me,Lucky Luke,781241,https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
52,Mais je t'aime,Grand Corps Malade,777059,https://open.spotify.com/track/4dtG1p71E6VPt9BmVYWcY5
53,Paris c'est magique,Leto,771642,https://open.spotify.com/track/7Ix1venpJ6FKP039WQvRL7
