,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,HAINE&SEX,Gazo,2421958,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
2,MONTERO (Call Me By Your Name),Lil Nas X,2411867,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,La kiffance,Naps,2359674,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
4,Vroum Vroum,Moha K,1733623,https://open.spotify.com/track/6sRPU30pj9A6G1pBXqzQkM
5,Le temps,Tayc,1614607,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
6,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,1512627,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
7,Mona Lisa,Booba,1361673,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
8,Mon poto - Extrait de la BO de ? En Passant P?cho ?,Kore,1356334,https://open.spotify.com/track/5qFOdxS3v8Dny9T4p2CUIy
9,É∞. MOROSE,Damso,1249376,https://open.spotify.com/track/0fukO3WYYUHaXOrvEohpEG
10,Mode Akimbo (feat. Jul),SCH,1210646,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
11,ÉÆ. VANTABLACK,Damso,1207608,https://open.spotify.com/track/2n3dCM1RqyhzH5FZQW4jxA
12,Je tÅfaime de ouf,Wejdene,1194358,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
13,La Sele?ao,Alonzo,1142659,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
14,La danse des bandits,Naps,1103219,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
15,Casanova,Were-vana,1082002,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
16,ÉØ. DOSE,Damso,1076085,https://open.spotify.com/track/0pU7enpfjSu21LwCb1708u
17,Champion,Serge Ibaka,1038024,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
18,É≠. OG,Damso,1037681,https://open.spotify.com/track/63ALxy05IGeKrfOjvGG7lO
19,Goosebumps - Remix,Travis Scott,1032584,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
20,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,1022132,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
21,É≤. 2 DIAMANTS,Damso,1013118,https://open.spotify.com/track/1swQocGVyXMAamWDjNzoLx
22,É±. CHIALER,Damso,1004455,https://open.spotify.com/track/3xkB3FONm2ZZKUpo5NRYGa
23,Fever,Dua Lipa,990695,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
24,D?KITI,Bad Bunny,960891,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
25,GIRL LIKE ME,Black Eyed Peas,935713,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
26,É≥. THEVIE RADIO,Damso,927939,https://open.spotify.com/track/4URf8X1z0ZGaPemh0dKx2M
27,Wasted Love (feat. Lagique),Ofenbach,912073,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
28,Bande organis?e,13 Organis?,905025,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
29,Mannschaft (feat. Freeze Corleone),SCH,897816,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
30,Astronaut In The Ocean,Masked Wolf,893927,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
31,Save Your Tears,The Weeknd,879370,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
32,Et? 90,Therapie TAXI,875554,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54
33,Éµ. PASSION,Damso,860657,https://open.spotify.com/track/7cg10lYnXMynfGg8K06rzL
34,Elles ont trop jou? avec mon c?ur,Jok'air,848711,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
35,Tout en Gucci,Ninho,833247,https://open.spotify.com/track/0i5GJckWb9uCZU4jcGoBca
36,"1,2,3",Amel Bent,831629,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
37,É¥. ZWAAR,Damso,822220,https://open.spotify.com/track/2MH75OFe8QGguBKeh0esLj
38,Your Love (9PM),ATB,778066,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
39,Jolie madame (feat. Ronisia),Jo? Dw?t Fil?,775682,https://open.spotify.com/track/2uj7OACDZUQIvAfKAwtHES
40,Del Mar,Ozuna,775007,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
41,É∂. VIVRE UN PEU,Damso,753464,https://open.spotify.com/track/5UNFWkGaEJgQFqoJxZWMzm
42,Allo,Marwa Loud,747830,https://open.spotify.com/track/3IWsDAFAwPNVnnTeQyUj7w
43,KASSAV (feat. Tiakola),Gazo,729063,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
44,Kiss Me More (feat. SZA),Doja Cat,706230,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
45,Rasputin,Majestic,702671,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
46,March? noir,SCH,683319,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
47,Kimono (feat. SCH et Ninho),Sadek,667043,https://open.spotify.com/track/54rHJPDt8DUE2RtSg6Bsrf
48,911,Damso,665544,https://open.spotify.com/track/2chIkORxBLpPVgruGiMY8k
49,Leave The Door Open,Bruno Mars,660857,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
50,Bailamos,Lucenzo,659507,https://open.spotify.com/track/0mAinALNSl5TurTs9ZPUMp
51,YOUVOI,Damso,649340,https://open.spotify.com/track/1BhUyJoaS9iVvssrLx9oTD
52,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,638201,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
53,? c?ur ouvert,Djadja & Dinaz,636471,https://open.spotify.com/track/1j9kCQ1R2mh2AAieXmZOZ5
54,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,633890,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
55,Cabeza,OBOY,629350,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
56,Girls Like Us,Zoe Wees,605753,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
57,Blinding Lights,The Weeknd,599868,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
58,DEUX TOILES DE MER,Damso,593826,https://open.spotify.com/track/7yN9Qx1HtE4c1fhakBz8Ay
59,Daddy,SDM,590763,https://open.spotify.com/track/2iPFEYnitXLl4lSxvqZI3m
60,Crack,SCH,573621,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
61,Runaway,AURORA,570755,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
62,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,563114,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
63,Selfish Love (with Selena Gomez),DJ Snake,561913,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
64,Follow You,Imagine Dragons,553339,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
65,Iko Iko,Justin Wellington,547491,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
66,Memories (feat. Kid Cudi) - 2021 Remix,David Guetta,541137,https://open.spotify.com/track/59o6ojGNGJOYiVJSzC6Lsa
67,Arcade,Duncan Laurence,540677,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
68,Coffre plein,Koba LaD,527138,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
69,LIFE LIFE,Damso,521240,https://open.spotify.com/track/4FnWH9l7gxQmrNpfA5AZKP
70,Floating Through Space,Sia,515283,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
