,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Madrina,Maes,1750653,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH
2,R?ves bizarres (feat. Damso),Orelsan,1522051,https://open.spotify.com/track/7lhuM9WUqdThw72dCBRmQW
3,KYLL,M?dine,1379135,https://open.spotify.com/track/1VYTP4prOc62xQe1KWf3S5
4,Jaloux,Dadju,1329355,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT
5,Tout oublier,Ang?le,1142432,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71
6,J'voulais,Maes,1098524,https://open.spotify.com/track/1JmVHDcU1ipRKFj4HeHyPn
7,Billets verts,Maes,1076715,https://open.spotify.com/track/3uTNli5uz5rNOqD6qZFi8L
8,Copines,Aya Nakamura,1039227,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1017535,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
10,Ramenez la coupe ? la maison,Vegedream,834904,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
11,"thank u, next",Ariana Grande,831653,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
12,Mauvais,GLK,828187,https://open.spotify.com/track/3ABwQntK8i49EGOd3SSj7Q
13,Mama,Maes,823810,https://open.spotify.com/track/3XbxOKMhF5DnOYue7JMsYm
14,Air Max,Rim'K,811807,https://open.spotify.com/track/6qk9lEM6UIxNbAuI0PpOLu
15,La dot,Aya Nakamura,810675,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG
16,Shallow,Lady Gaga,786681,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
17,Avenue Montaigne,Maes,730895,https://open.spotify.com/track/6NNtJ7QHF0PzhNK736iwyF
18,Bella,MHD,722624,https://open.spotify.com/track/0O4XHiuVt3dBaOzSI49BtF
19,Sucette (feat. Niska),Aya Nakamura,716980,https://open.spotify.com/track/3qHs2PoiJMPvdxgyRSvqAl
20,LDS,Maes,700960,https://open.spotify.com/track/1NfmjmrsVCsNRqBOgbwlKd
21,Weed,Maes,686117,https://open.spotify.com/track/5qNoStht8VZlb0cg7ttmQB
22,Say My Name,David Guetta,675300,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
23,Charg?,GLK,673502,https://open.spotify.com/track/71chDzMntV8pjuOaLuDPaY
24,Zipette,Maes,666406,https://open.spotify.com/track/7tx5GjRyu3AnnjSuhzMlXl
25,Ma 6t a craqu? (feat. Ninho),Kpoint,647977,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
26,Dalida,Soolking,632283,https://open.spotify.com/track/7vSQVx20cqaYOVAVJwj00p
27,Bae,RK,624567,https://open.spotify.com/track/5as5HurTt4u7BuFIT5j8am
28,In My Mind,Dynoro,617032,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
29,Moonlight,XXXTENTACION,610608,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
30,TIC TOC,6ix9ine,605251,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
31,Sale mood,Bramsito,601443,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm
32,Mula,Maes,600287,https://open.spotify.com/track/16D4613VA9RHe72Jq2VnOs
33,Fumer,Maes,590118,https://open.spotify.com/track/2UkLrrYuDlnVTWPOqVt5uI
34,Vue,Maes,584098,https://open.spotify.com/track/5J3XCWnWJYLnpH5gQNhysf
35,Ta reine,Ang?le,582859,https://open.spotify.com/track/3iXhLi33EpUfcOwasC8un1
36,Happier,Marshmello,580928,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
37,Oula,Aya Nakamura,571941,https://open.spotify.com/track/3yKHE0h9BUxpHZe1EqmJnX
38,? nos souvenirs,Trois Caf?s Gourmands,567436,https://open.spotify.com/track/4h3SqMd5F16XJVdGp5fsZG
39,BB,Booba,566873,https://open.spotify.com/track/0YCMh9HQkRpAtkj0i1sZqH
40,MIA (feat. Drake),Bad Bunny,563488,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
41,KIKA,6ix9ine,561290,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
42,Le code,SCH,561060,https://open.spotify.com/track/4EHacNxfg1CVjRUX9YMLH4
43,Promises (with Sam Smith),Calvin Harris,560573,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
44,Natural,Imagine Dragons,553012,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
45,Je te le donne (en duo avec Slimane),Vitaa,549500,https://open.spotify.com/track/4yjqpsuyrbjyXHB6rC0mWo
46,Depardieu,Maes,534263,https://open.spotify.com/track/5rOxVHDRjkdhn6aKhpmKvg
47,Panamera,Maes,531765,https://open.spotify.com/track/0Qjis1ImpONgbuDxAIzOlX
48,Djadja,Aya Nakamura,531180,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
49,Train de vie,Koba LaD,530773,https://open.spotify.com/track/6FqNHDHEsUTKqVWXBkMd9y
50,Adieu bient?t,Columbine,529552,https://open.spotify.com/track/17y8kqTbNDd9QM3j6yln4g
51,Thunderclouds,Sia,527422,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
52,Rolls (feat. Lacrim),Hornet La Frappe,524649,https://open.spotify.com/track/3iYv5nIthPXesF0DeuhmVL
53,Sur le drapeau,Supr?me NTM,524506,https://open.spotify.com/track/42Xesu4U4nM3CCjMk5X3kM
54,Paradise (feat. Benjamin Ingrosso),Ofenbach,509335,https://open.spotify.com/track/50SEeQXOJgaXPv2S0v7ded
55,A chaque jour...,Dosseh,508164,https://open.spotify.com/track/0Vi7aOPdOU683VUfZ79c0d
56,Feu de bois,Damso,503880,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
57,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,503007,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
58,Rise,Jonas Blue,492274,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
59,Mon?gasque,PLK,492214,https://open.spotify.com/track/7C7l4I5OZHEO1Vbx8SGJC2
