,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,Bruises,"Lewis Capaldi",742204,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
55,Crown,Stormzy,704191,https://open.spotify.com/track/1hxE8xAp7CrBsdpiRpiWFy
56,"The London (feat. J. Cole & Travis Scott)","Young Thug",675776,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
57,"Cruel Summer","Taylor Swift",648916,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
58,"Slide Away","Miley Cyrus",648623,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
59,"I Could Get Used To This","Becky Hill",647106,https://open.spotify.com/track/6u8epWzzk3CsJ05sqExF6T
60,"Doin' Time","Lana Del Rey",645623,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
61,"SOS (feat. Aloe Blacc)",Avicii,637422,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
62,"Hate Me (with Juice WRLD)","Ellie Goulding",627933,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
63,"Fashion Week (feat. AJ Tracey & MoStack)","Steel Banglez",620584,https://open.spotify.com/track/78KyOmqWmqLkQcXO1cA7MO
64,"Mr. Brightside","The Killers",613593,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
65,"Antisocial (with Travis Scott)","Ed Sheeran",612514,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
66,"My One (feat. Tory Lanez, Kranium & Dappy)",Wiley,610271,https://open.spotify.com/track/3zgKEF4I4ILmTTSBvtiRlJ
67,"Mocking It",JAY1,607170,https://open.spotify.com/track/2hN5zu0d36ccHGHINeo1Mg
68,"Don't Call Me Up",Mabel,606960,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
69,"It's You","Ali Gatie",600183,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
70,Shallow,"Lady Gaga",596619,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
71,Shotgun,"George Ezra",593164,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
72,"Guten Tag","Hardy Caprio",592317,https://open.spotify.com/track/0SErNy2An0gCpYFRUNWwNT
73,Wow.,"Post Malone",590293,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
74,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",587938,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
75,Grace,"Lewis Capaldi",587743,https://open.spotify.com/track/0pEkK8MqbmGSX7fT8WLMbR
76,Options,NSG,587602,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
77,"Never Really Over","Katy Perry",578741,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
78,XTC,Solardo,578314,https://open.spotify.com/track/7CN6ZYIX338ekn7pb2CpQp
79,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",552636,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
80,Teeth,"5 Seconds of Summer",548528,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
81,"I Spy (feat. Headie One & K-Trap)","Krept & Konan",547482,https://open.spotify.com/track/0TJxxb5DmfwwAJndnAuzEn
82,"Fuck it I love you","Lana Del Rey",544981,https://open.spotify.com/track/7MtVPRGtZl6rPjMfLoI3Lh
83,"Change (feat. DigDat)",Deno,544197,https://open.spotify.com/track/0azSeNc3H1uS3nDCbsaoJY
84,"Sweet but Psycho","Ava Max",543366,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
85,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",543294,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
86,"London Boy","Taylor Swift",541752,https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw
87,"What I Like About You (feat. Theresa Rex)","Jonas Blue",539525,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
88,"Takeaway (feat. Lennon Stella)","The Chainsmokers",538779,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
89,"SICKO MODE","Travis Scott",538050,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
90,"I Forgot That You Existed","Taylor Swift",532928,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
91,Sucker,"Jonas Brothers",530085,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
92,"Better Now","Post Malone",518334,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
