,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",55582612,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",51159543,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",32132548,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",29760433,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Leave The Door Open","Bruno Mars",24591479,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"Kiss Me More (feat. SZA)","Doja Cat",24193588,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Save Your Tears","The Weeknd",24151714,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"drivers license","Olivia Rodrigo",23898171,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,Fiel,"Los Legendarios",23515311,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Heartbreak Anniversary",Giveon,23116338,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
11,telepatía,"Kali Uchis",22528500,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,"deja vu","Olivia Rodrigo",21973678,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,"Levitating (feat. DaBaby)","Dua Lipa",21612708,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Blinding Lights","The Weeknd",19449898,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Hold On","Justin Bieber",18314235,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,DÁKITI,"Bad Bunny",18215339,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"The Business",Tiësto,18094569,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,Up,"Cardi B",17819426,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,17447086,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",16141519,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
21,"Calling My Phone","Lil Tjay",15744280,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
22,"WITHOUT YOU","The Kid LAROI",14539568,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,"Mood (feat. iann dior)",24kGoldn,14279412,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,Bandido,"Myke Towers",14108679,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
25,Streets,"Doja Cat",14099196,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
26,Arcade,"Duncan Laurence",13694625,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
27,"Watermelon Sugar","Harry Styles",12669465,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
28,"Heat Waves","Glass Animals",12647047,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,"Your Love (9PM)",ATB,12545079,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
30,911,Sech,12386567,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
31,Dynamite,BTS,12371343,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
32,Runaway,AURORA,12260578,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
33,"LA NOCHE DE ANOCHE","Bad Bunny",12163840,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
34,"Love Story (Taylor’s Version)","Taylor Swift",12026971,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
35,"Goosebumps - Remix","Travis Scott",11942957,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
36,"Someone You Loved","Lewis Capaldi",11608549,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",11423789,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
38,"Ella No Es Tuya - Remix","Rochy RD",11243580,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",11170135,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
40,"Don't Start Now","Dua Lipa",10921845,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Good Days",SZA,10914875,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
42,Anyone,"Justin Bieber",10885041,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
