,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
59,KK,KASIMIR1441,958988,https://open.spotify.com/track/6IwbgA2lca6IZZvo2wCL6Q
60,Some Say - Felix Jaehn Remix,Nea,947233,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
61,Before You Go,Lewis Capaldi,931119,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
62,Nur wegen dir,Nimo,921629,https://open.spotify.com/track/0ui2kVwPZKHaZxGhdIzBrp
63,"Alone, Pt. II",Alan Walker,914681,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
64,Tilidin,Capital Bra,904318,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
65,Keine Liebe,RIN,901251,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
66,Life Is Good (feat. Drake),Future,898306,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
67,bad guy,Billie Eilish,898024,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
68,Someone You Loved,Lewis Capaldi,897165,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
69,Schüsse im Regen,Samra,896136,https://open.spotify.com/track/3RgJvQlTg7tp5mXtylDXYx
70,Never Seen the Rain,Tones And I,895470,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
71,Ausgehen,AnnenMayKantereit,886676,https://open.spotify.com/track/3Ve0ag71EeiQalsl7Ha4Dw
72,everything i wanted,Billie Eilish,884725,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
73,Moral of the Story,Ashe,882267,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
74,6AM.........,Dardan,862384,https://open.spotify.com/track/36J10AwMabBYxgNrV2S8gd
75,You should be sad,Halsey,846916,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
76,Drake & Rihanna,Pietro Lombardi,843778,https://open.spotify.com/track/0qcEUQUl7kuDGAkxAhJIZT
77,No Time To Die,Billie Eilish,842575,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
78,Circles,Post Malone,822968,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
79,Doch in der Nacht,Apache 207,818505,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
80,Ich hol dich ab,Jamule,811141,https://open.spotify.com/track/2rWnTpXD0jq5lymyg4xIKQ
81,Dior,Pop Smoke,799738,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
82,Blueberry Faygo,Lil Mosey,794966,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
83,Schlafen,Ufo361,789215,https://open.spotify.com/track/7cV5zRs2cXP0H9e29UMI7Z
84,Kein Problem,Apache 207,789049,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s
85,Fingertips,Tom Gregory,777676,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
86,Tusa,KAROL G,775341,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
87,Ayy Macarena,Tyga,763996,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
88,Lose Control,MEDUZA,761633,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
89,Play With Fire,Nico Santos,756010,https://open.spotify.com/track/240BX4w7PFkHptDrSVZgbA
90,Egal,Michael Wendler,753918,https://open.spotify.com/track/7rjW2CVIOmmQ7U5CGiZcnG
91,hot girl bummer,blackbear,752394,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
92,The Passenger (LaLaLa) [feat. MOKABY],LUM!X,748447,https://open.spotify.com/track/2A0CxheiQGQdCiKtOR7jMP
93,KEIN SCHLAF,Nimo,743046,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
94,Boss Bitch,Doja Cat,740571,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
95,Para,Veysel,738992,https://open.spotify.com/track/1UjEKkdgoOwJhqSZqBrpO0
96,Wieder Lila,Samra,723757,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
97,RITMO (Bad Boys For Life),Black Eyed Peas,722683,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
98,Memories,Maroon 5,703416,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
99,Alles was ich hab,Fynn Kliemann,699105,https://open.spotify.com/track/1GHgDIODujliWFayEhHx1n
100,Shababs botten,Pashanim,688166,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
101,COLT,Samra,688150,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
102,CASINO,Katja Krasavice,687827,https://open.spotify.com/track/5rywC2PH49hTpJLXxwGlpE
103,Verkackt,Gzuz,687723,https://open.spotify.com/track/0C6bsQq58Ue1XfL5PKTO6D
104,Señorita,Shawn Mendes,681653,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
105,Stupid Love,Lady Gaga,650092,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
106,Light,Jerome,646905,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
107,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,642878,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
108,"Para, Money, E's",JIGGO,642157,https://open.spotify.com/track/7sVQVuy2cdPfMIHDH9IKaP
109,Mary,Bausa,637015,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV
110,500 PS,Bonez MC,635870,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
111,Honda Civic,The Cratez,633947,https://open.spotify.com/track/7nkN1tnFIZIIS4P5q4Krmb
112,CASINO ROYAL,Kianush,620247,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
113,Sex mit dir,Apache 207,619923,https://open.spotify.com/track/0PEwVF6TStGXMTnQMAk9kl
114,Bin da,Veysel,619522,https://open.spotify.com/track/2fzPZOozISzcAU7FSwkN7g
115,Für Mich,CÉLINE,619030,https://open.spotify.com/track/7DvTrDWYytzKkKP5WfyhxU
116,Revenge,Elias,618006,https://open.spotify.com/track/0VLwCyZ3QIvPXhPXhaiZfk
