,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Blueberry Faygo","Lil Mosey",9172034,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
54,"my ex's best friend (with blackbear)","Machine Gun Kelly",9167308,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
55,"Go Crazy","Chris Brown",9155040,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
56,"Rain On Me (with Ariana Grande)","Lady Gaga",9142920,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
57,Runnin,"21 Savage",8826439,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
58,Circles,"Post Malone",8814262,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
59,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",8542404,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
60,"Stuck with U (with Justin Bieber)","Ariana Grande",8519823,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
61,Daisy,Ashnikko,8491295,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
62,goosebumps,"Travis Scott",8405268,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
63,Señorita,"Shawn Mendes",8377880,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
64,"Mad at Disney","salem ilese",8355652,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
65,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",8337417,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
66,"Parce (feat. Justin Quiles)",Maluma,8248818,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
67,Memories,"Maroon 5",8182042,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
68,"The Box","Roddy Ricch",8097521,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
69,"Adore You","Harry Styles",8055902,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
70,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,8024007,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
71,"Kings & Queens","Ava Max",7997052,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
72,"Lucid Dreams","Juice WRLD",7993282,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,Sofia,Clairo,7980285,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
74,"Levitating (feat. DaBaby)","Dua Lipa",7947919,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
75,"ily (i love you baby) (feat. Emilee)","Surf Mesa",7928499,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
76,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",7912264,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
77,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",7903155,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
78,"GREECE (feat. Drake)","DJ Khaled",7671172,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
