,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
37,Lose Control,0.129,0.598,0.526,0.0,0.14,-8.659,0,0.0415,123.935,4,0.529,655001,Australia,7CHi4DtfK4heMlQaudCuHK
38,Ik Sta Jou Beter,0.0915,0.705,0.728,0.0,0.282,-5.299,0,0.0774,100.924,4,0.376,649787,Australia,12k0NUMsOO9SK7CnY5ABkU
39,Goodbyes (Feat. Young Thug),0.447,0.58,0.653,0.0,0.111,-3.818,1,0.0745,150.231,4,0.175,626333,Australia,6vBdBCoOhKHiYDDOcorfNo
40,Ritual,0.157,0.647,0.726,0.0,0.0844,-4.389,0,0.0552,114.996,4,0.767,624334,Australia,3M9Apu4OZfylLTFKvgEtKa
41,Only Human,0.108,0.795,0.496,0.0,0.0645,-5.883,1,0.0722,94.01,4,0.874,623325,Australia,0DiDStADDVh3SvAsoJAFMk
42,Waarom Zoeken Naar Liefde,0.364,0.603,0.596,1.41e-05,0.107,-5.953,0,0.163,187.512,3,0.568,593625,Australia,7xprYJg18VvGOXqg8RgHau
43,Higher Love,0.0151,0.693,0.678,5.71e-06,0.101,-7.159,1,0.0324,103.952,4,0.404,584607,Australia,6oJ6le65B3SEqPwMRNXWjY
44,Leven (feat. Ashafar),0.138,0.751,0.819,0.0,0.117,-5.99,0,0.078,100.001,4,0.324,583970,Australia,6K6GcKKZuK9IsOtS93DFZp
45,hot girl bummer,0.128,0.778,0.559,0.0,0.399,-7.109,0,0.0776,129.989,1,0.678,583666,Australia,7aiClxsDWFRQ0Kzk5KI5ku
46,4 Life,0.0824,0.933,0.47,0.000375,0.078,-8.263,0,0.222,105.041,4,0.136,579781,Australia,4BV8ZyGLSNpt12q3OiZlOX
47,God Is A Dancer (with Mabel),0.0241,0.774,0.747,6.11e-06,0.342,-3.908,0,0.082,119.964,4,0.833,556989,Australia,6fenHIxXuuzKB55wY4WCHP
48,You Say,0.682,0.494,0.632,0.0,0.0869,-6.89,1,0.0342,147.873,4,0.0797,548924,Australia,6Up545NUflOiXo8cEraH49
49,Dwars Door Me Heen,0.113,0.51,0.587,0.0,0.354,-9.383,1,0.365,147.355,4,0.347,531647,Australia,2OFSjBfW1zwvaIwlRnJ2ZE
50,Nice To Meet Ya,0.0119,0.591,0.841,0.0,0.395,-4.351,0,0.0304,109.034,4,0.392,502370,Australia,3cphb8kdsjElYR7r5icK3H
51,Vaarwater,0.51,0.598,0.485,4.67e-06,0.246,-7.82,0,0.149,90.11,4,0.488,476149,Australia,6LjACOg9P3HzAQFifhAPAn
52,"One, Two, Three",0.25,0.549,0.652,5e-06,0.183,-7.37,1,0.0866,121.321,5,0.381,474741,Australia,5fhUPk0f690DCzV7kz1QOZ
53,Bidden In De Jeep,0.00306,0.691,0.734,0.0,0.243,-4.466,0,0.292,159.833,4,0.485,470903,Australia,6RKVbvilqMVJxWgMyoQ3jT
54,Chardonnay,0.222,0.628,0.564,0.000872,0.0875,-7.401,0,0.301,185.997,4,0.627,456504,Australia,7kB1i3ODipGQE5OTViQKUG
55,I Don't Care (with Justin Bieber),0.0902,0.798,0.676,0.0,0.0894,-5.041,1,0.0442,101.956,4,0.843,453827,Australia,0hVXuCcriWRGvwMV1r5Yn9
56,#Skakelen,0.0534,0.828,0.845,0.0557,0.29,-5.643,0,0.164,123.054,4,0.425,444907,Australia,74HB8husrIF08RD1rmNWBa
57,Used To Love (with Dean Lewis),0.458,0.651,0.693,0.0,0.335,-4.722,1,0.0375,118.97,4,0.392,439383,Australia,7pWK1kMgHy5lNNiIfuRbkP
58,Roller Coaster,0.51,0.4,0.383,0.00763,0.121,-10.048,1,0.0279,96.944,4,0.285,439139,Australia,7rO7Pc5dkC2EIW1OKsCJtQ
59,3 Nights,0.223,0.815,0.518,0.0,0.104,-6.594,0,0.0897,151.891,4,0.877,437117,Australia,1tNJrcVe6gwLEiZCtprs1u
60,Schuif,0.038,0.916,0.61,7.04e-05,0.0761,-7.297,1,0.231,108.001,4,0.687,432994,Australia,0SEzUzbEk1v6aFsfW73Ojt
61,Graveyard,0.231,0.667,0.583,4.48e-05,0.181,-5.127,0,0.0747,92.043,4,0.187,431362,Australia,6V9fHiv84WlVTg7CSnIVY2
62,Kapitein,0.141,0.897,0.558,4.53e-06,0.0901,-10.583,1,0.352,91.955,4,0.762,428581,Australia,3bLjcyOGYEAJeTzDS1gTce
63,Jij En Ik Tegen De Wereld,0.402,0.82,0.447,1.64e-05,0.0901,-8.202,0,0.0876,96.048,4,0.644,422979,Australia,6W6ZgrjEyPzb1tENsKrGtS
64,Global,0.181,0.722,0.681,0.0,0.264,-8.887,0,0.271,129.914,4,0.671,419932,Australia,2nbOFOPDLL6wkqsBPnRVEM
65,24/7,0.0363,0.785,0.605,0.0298,0.32,-6.332,0,0.332,202.115,4,0.567,405957,Australia,2bgogItBMKZTKZiEupORki
