,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams
53,Lost In Japan - Remix,0.0911,0.706,0.855,0.0,0.347,-5.377,1,0.215,107.184,4,0.293,396604
54,when the party's over,0.979,0.498,0.104,7.86e-05,0.0895,-14.08,0,0.0621,124.001,3,0.205,394924
55,REMEDY,0.269,0.601,0.775,0.0,0.0883,-4.612,1,0.0473,119.964,4,0.483,393749
56,IJskoud,0.0434,0.668,0.73,0.0109,0.368,-6.573,1,0.0476,98.024,4,0.146,385494
57,Mijn Schuld,0.107,0.886,0.792,0.0,0.271,-6.453,1,0.0917,89.978,4,0.789,385046
58,Bozoo,0.0129,0.826,0.914,0.0,0.0787,-2.925,1,0.266,93.532,4,0.687,380823
59,Jackie Chan,0.374,0.747,0.834,0.0,0.0586,-2.867,0,0.045,128.005,4,0.687,379506
60,Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.0,0.13,-6.825,1,0.0505,124.959,4,0.448,374517
61,J'ai Déconné,0.262,0.709,0.746,1.84e-05,0.0879,-6.177,0,0.0392,121.917,4,0.623,363783
62,Hey Meisje,0.329,0.756,0.808,0.0183,0.0652,-2.557,0,0.073,95.087,4,0.889,357240
63,Voorwoord,0.0961,0.661,0.704,0.0,0.109,-6.181,0,0.409,81.882,4,0.547,356230
64,Love Someone,0.172,0.538,0.409,0.0,0.11,-6.581,0,0.0505,171.838,4,0.265,348644
65,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0,0.11,123.994,4,0.592,342839
66,New Light,0.325,0.828,0.689,0.0384,0.0808,-7.878,1,0.0326,123.931,4,0.853,340791
67,Natuur,0.054,0.807,0.857,0.0,0.0819,-7.258,0,0.397,160.059,4,0.779,335707
68,Solo (feat. Demi Lovato),0.0441,0.737,0.636,6.66e-05,0.35,-4.546,0,0.0437,105.005,4,0.565,326150
69,Hoe Je Bent,0.153,0.811,0.85,0.000744,0.0959,-5.939,1,0.0982,125.95,4,0.722,325702
70,In My Feelings,0.0589,0.835,0.626,6e-05,0.396,-5.833,1,0.125,91.03,4,0.35,323322
71,Burn Out (feat. Dewain Whitmore),0.0156,0.594,0.722,0.0,0.0667,-5.751,0,0.0398,127.877,4,0.407,318783
72,LA VIDA LOCA,0.239,0.857,0.702,0.0,0.137,-6.835,0,0.271,104.966,4,0.651,317418
73,LIT,0.0166,0.913,0.772,0.0,0.251,-8.009,1,0.363,100.076,4,0.681,316535
74,Liefde In De Lucht,0.138,0.748,0.699,0.0,0.106,-6.457,1,0.117,81.013,4,0.849,313828
75,breathin,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,1,0.0433,100.049,4,0.364,308885
76,Copines,0.27,0.701,0.787,0.0,0.105,-3.941,0,0.0855,180.027,4,0.904,308625
77,Chemistry (feat. Mula B),0.15,0.809,0.521,3.06e-06,0.109,-7.043,0,0.232,92.97,4,0.857,307276
78,Fils De Pute (feat. Mula B),0.277,0.636,0.783,1.38e-06,0.105,-9.303,1,0.422,149.142,4,0.534,306635
79,Suncity (feat. Empress Of),0.107,0.695,0.639,0.000657,0.118,-6.897,0,0.153,90.027,4,0.344,306013
80,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,298117
