,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
37,TKN (feat. Travis Scott),0.192,0.776,0.509,1.49e-06,0.115,-6.266,0,0.467,94.634,4,0.485,10892987,Global,4w47S36wQGBhGg073q3nt7
38,Lose Somebody,0.344,0.58,0.586,0.0,0.0755,-6.883,1,0.0357,147.988,4,0.507,10875676,Global,1sgDyuLooyvEML4oHspNza
39,Yo Perreo Sola,0.021,0.86,0.758,6.54e-05,0.344,-5.16,1,0.0695,97.014,4,0.453,10842873,Global,0SqqAgdovOE24BzxIClpjw
40,Adore You,0.0237,0.676,0.771,7e-06,0.102,-3.675,1,0.0483,99.048,4,0.569,10691443,Global,3jjujdWJ72nww5eGnfs2E7
41,Be Kind (with Halsey),0.00776,0.63,0.633,0.0,0.0541,-7.088,1,0.0457,93.995,4,0.452,10650816,Global,3Z8FwOEN59mRMxDCtb8N0A
42,Kings & Queens,0.00775,0.638,0.688,0.0,0.126,-4.056,0,0.0407,129.856,4,0.434,10596641,Global,76nqCfJOcFFWBJN32PAksn
43,TROLLZ (with Nicki Minaj),0.0319,0.744,0.422,0.00011,0.11,-8.946,1,0.294,180.006,4,0.493,10559974,Global,3dVvWnj4D8JGkKvo6Hucso
44,Memories,0.837,0.764,0.32,0.0,0.0822,-7.209,1,0.0546,91.019,4,0.575,10283220,Global,2b8fOow8UzyDFAE27YhOZM
45,Safaera,0.0103,0.607,0.829,0.0,0.107,-4.074,1,0.379,96.172,4,0.685,10236650,Global,2DEZmgHKAvm41k4J3R2E9Y
46,Señorita,0.0392,0.759,0.548,0.0,0.0828,-6.049,0,0.029,116.967,4,0.749,10228081,Global,6v3KW9xbzN5yKLt9YKDYA2
47,HIGHEST IN THE ROOM,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0,0.0317,76.469,4,0.0605,10164544,Global,3eekarcy7kvN4yt5ZFzltW
48,ROXANNE,0.0522,0.621,0.601,0.0,0.46,-5.616,0,0.148,116.735,5,0.457,10034964,Global,696DnlkuDOXcMAnKlTgXXK
49,Life Is Good (feat. Drake),0.067,0.795,0.574,0.0,0.15,-6.903,0,0.487,142.053,4,0.537,9844836,Global,1K5KBOgreBi5fkEHvg5ap3
50,SICKO MODE,0.00513,0.834,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446,9551580,Global,2xLMifQCjDGFmkHkpNLD9h
51,bad guy,0.328,0.701,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562,9270571,Global,2Fxmhks0bxGSBdJ92vM42m
52,Sunflower - Spider-Man: Into the Spider-Verse,0.533,0.755,0.522,0.0,0.0685,-4.368,1,0.0575,89.96,4,0.925,9129218,Global,0RiRZpuVRbi7oqRdSMwhQY
53,After Party,0.00981,0.629,0.692,0.331,0.603,-8.045,1,0.0376,162.948,4,0.453,9041177,Global,527k23H0A4Q0UJN3vGs0Da
54,Sour Candy (with BLACKPINK),0.0604,0.752,0.87,1.12e-05,0.489,-3.812,0,0.0623,120.006,4,0.784,8724756,Global,1IWNylpZ477gIVUDpJL66u
55,Tommy Lee (feat. Post Malone),0.218,0.457,0.621,0.0,0.0944,-5.923,1,0.138,85.359,3,0.634,8663210,Global,5QZKcQDp0tCcvMdyqEciBV
