,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
38,紅蓮華,0.00321,0.541,0.977,5.13e-05,0.0796,-2.828,0,0.157,134.938,4,0.263,792871,Japan,0qMip0B2D4ePEjBJvAtYre
39,正しくなれない,0.036,0.648,0.679,5.46e-06,0.127,-3.959,1,0.0361,118.67,4,0.484,774775,Japan,2FHexlZenTsS3lsjUYHiDx
40,snow jam,0.185,0.583,0.627,0.0,0.159,-5.842,1,0.201,172.016,4,0.805,768975,Japan,6uUtmCz8XXep7n1QmC1jJG
41,点描の唄,0.447,0.502,0.632,0.0,0.103,-4.612,1,0.0273,152.014,4,0.308,748384,Japan,1sIIlVrnPhrvmTrHtzM7tV
42,silent,0.434,0.43,0.62,0.0,0.209,-5.274,1,0.0419,176.14,4,0.424,742636,Japan,6c5k0VC9TBzlcKwtjpzFW2
43,ただ君に晴れ,0.343,0.679,0.834,5.74e-06,0.119,-3.223,1,0.032,139.996,4,0.962,734671,Japan,3wJHCry960drNlAUGrJLmz
44,Stay Gold,0.0892,0.723,0.634,0.0,0.0787,-5.415,1,0.0542,129.017,4,0.582,729648,Japan,3Ys2PYl1wyPKQIwyqhP9cQ
45,マリーゴールド,0.0452,0.545,0.745,0.0,0.0907,-3.098,1,0.0286,106.094,4,0.413,729477,Japan,2cKiHG16JBiqHdi7Llq0r7
46,恋人ごっこ,0.124,0.438,0.646,0.0,0.0603,-5.301,1,0.0361,102.033,4,0.745,723396,Japan,2SihT7AVMiI2VtaAyVIcnO
47,Life Goes On,0.00691,0.566,0.716,0.0,0.37,-5.733,1,0.0424,81.068,4,0.45,702209,Japan,249gnXrbfmV8NG6jTEMSwD
48,香水,0.824,0.85,0.34,0.0,0.0882,-7.37,1,0.042,121.759,4,0.774,698363,Japan,786dSB84yrSaICJwCT7VxP
49,インフェルノ,0.00894,0.533,0.918,0.0,0.643,-2.095,1,0.0616,92.504,4,0.662,668522,Japan,2vOAHp8PBBFYqvQUWSoITY
50,ツキミソウ,0.413,0.481,0.611,0.0,0.255,-4.248,1,0.0354,155.788,4,0.436,538002,Japan,0UWTRBGWfOp709f6rxd63R
51,ピーターパン,0.0357,0.629,0.91,0.0,0.11,-3.463,0,0.0507,111.965,4,0.426,517900,Japan,0Ic9yiyHCoRCSvPoqTagat
52,あの夢をなぞって,0.334,0.534,0.794,0.00093,0.159,-3.738,1,0.0402,179.976,4,0.711,497893,Japan,5ptl2PXkiSth54HCuGO7vN
