,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Someone You Loved","Lewis Capaldi",3450868,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
2,"Giant (with Rag'n'Bone Man)","Calvin Harris",2830857,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
3,"Don't Call Me Up",Mabel,2435599,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
4,"break up with your girlfriend, i'm bored","Ariana Grande",2321204,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
5,Sucker,"Jonas Brothers",2260264,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
6,"7 rings","Ariana Grande",2120573,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
7,Wow.,"Post Malone",2086417,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
8,"Disaster (feat. J Hus)",Dave,1850354,https://open.spotify.com/track/3rqmxZNh2BRgJ3BiCPFTSG
9,"Just You and I","Tom Walker",1845622,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
10,"Location (feat. Burna Boy)",Dave,1843962,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
11,Options,NSG,1838477,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
12,"Dancing With A Stranger (with Normani)","Sam Smith",1838392,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
13,"i'm so tired...",Lauv,1770247,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1610843,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
15,Streatham,Dave,1568930,https://open.spotify.com/track/59PUOc7B0WCNNx8Nr4qaA4
16,Shallow,"Lady Gaga",1453613,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
17,"Sweet but Psycho","Ava Max",1424962,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
18,"Murder On My Mind","YNW Melly",1363346,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
19,"Here With Me",Marshmello,1297211,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
20,Talk,Khalid,1292374,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
21,"bury a friend","Billie Eilish",1264113,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
22,"Don’t Feel Like Crying",Sigrid,1225499,https://open.spotify.com/track/1ABvDz0JnQGO8M8NYjRNMp
23,"thank u, next","Ariana Grande",1158025,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
24,"Going Bad (feat. Drake)","Meek Mill",1124880,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
25,Happier,Marshmello,1066710,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
26,"MIDDLE CHILD","J. Cole",1062743,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
27,"Walk Me Home",P!nk,1056246,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
28,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1043007,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
29,Shotgun,"George Ezra",1039375,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
30,"Please Me","Cardi B",1023785,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
31,Black,Dave,1022894,https://open.spotify.com/track/0J43IKwcofdlTQPjcbHxCM
32,Advice,Cadet,1018478,https://open.spotify.com/track/1fp2uoWXPca3mIdxRHIgQm
33,"High Hopes","Panic! At The Disco",1003993,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
34,Thotiana,Blueface,966357,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
35,"SICKO MODE","Travis Scott",915132,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
36,"Screwface Capital",Dave,911471,https://open.spotify.com/track/65TggCitjPK0sUXtwgOkN9
37,"Eastside (with Halsey & Khalid)","benny blanco",897567,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
38,Psycho,Dave,882777,https://open.spotify.com/track/0FWAIRd9Uz5uNek7cALYNC
39,"Without Me",Halsey,881984,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
40,"Better Now","Post Malone",868258,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
41,"wish you were gay","Billie Eilish",863153,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
42,"Funky Friday",Dave,860163,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
43,"Kitchen Kings","D-Block Europe",833547,https://open.spotify.com/track/1RJHieKAxYz9qbREvOR5eA
44,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",826647,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
45,Robbery,"Juice WRLD",813941,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
46,"Boasty (feat. Idris Elba)",Wiley,806879,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn
47,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,795756,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
48,Grace,"Lewis Capaldi",795078,https://open.spotify.com/track/4eQBL0cuF3ismYCzBff2Ii
49,"Body (feat. brando)","Loud Luxury",788020,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
50,"Bohemian Rhapsody - Remastered 2011",Queen,766609,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
51,"Promises (with Sam Smith)","Calvin Harris",758726,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
52,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",743713,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
53,"My Bad",Khalid,735681,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
54,"How It Is (feat. Roddy Ricch, Chip & Yxng Bane)","The Plug",688664,https://open.spotify.com/track/1ogmtYEsS4ywfLIhMee5bu
55,"Lucid Dreams","Juice WRLD",672576,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
56,Voices,Dave,672007,https://open.spotify.com/track/3un8AsY9s9YyEv2tqTrxVv
57,"Taste (feat. Offset)",Tyga,659347,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
58,Fast,"Juice WRLD",652494,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
59,2002,Anne-Marie,649598,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
60,"So Am I","Ava Max",649575,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
61,"Let Me Down Slowly","Alec Benjamin",648721,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
62,"rockstar (feat. 21 Savage)","Post Malone",640699,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
63,Paradise,"George Ezra",635229,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
64,"Who Do You Love","The Chainsmokers",630709,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
65,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",629231,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
66,"Think About Us (feat. Ty Dolla $ign)","Little Mix",618193,https://open.spotify.com/track/18n2GdCpsHYzkbMKPavE7Y
67,"Mr. Brightside","The Killers",611465,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
68,"Hello My Love",Westlife,602944,https://open.spotify.com/track/4EtIza2cKMmR2XP7idebXG
69,Play,"Jax Jones",600661,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5
70,"Bet (feat. Skepta & Michael Phantom)",Octavian,588427,https://open.spotify.com/track/1TULEHv0wpIZYI7zqmhzEg
71,"Leave a Light On","Tom Walker",587241,https://open.spotify.com/track/4iVVU8DyQvOVsKafv3KWIF
72,Environment,Dave,583964,https://open.spotify.com/track/7l1P6WtVtq1zQMq6qazNA4
73,lovely,"Billie Eilish",580295,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
74,"One Drink","Picture This",579036,https://open.spotify.com/track/7ITXKzRU7eqcRwF2YXZj8b
75,SAD!,XXXTENTACION,575648,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
76,"when the party's over","Billie Eilish",575121,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
77,"Almost (Sweet Music)",Hozier,569148,https://open.spotify.com/track/7uttm8Iurm5uK67Vr9G2Sp
78,"Hold My Girl","George Ezra",568634,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu
79,"Psych Out!","AJ Tracey",566862,https://open.spotify.com/track/0S8DTkU0iMopIw1Uq1nQ49
80,"Leave Me Alone","Flipp Dinero",562734,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
81,"This Is Me","Keala Settle",559078,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
82,Nonstop,Drake,546845,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
83,"Pure Water (with Migos)",Mustard,546688,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
84,"Look Back at It","A Boogie Wit da Hoodie",545907,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
85,Bally,Swarmz,542678,https://open.spotify.com/track/1AvLAAXMtq7IGi48x9TrD7
86,"One Kiss (with Dua Lipa)","Calvin Harris",541068,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
87,"Last Hurrah","Bebe Rexha",540530,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
88,Better,Khalid,538360,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
89,Bruises,"Lewis Capaldi",537972,https://open.spotify.com/track/7x91w5f5x7UayENcGAP5i2
90,"R.I.P. (feat. Rita Ora & Anitta)","Sofía Reyes",531386,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
91,"Butterflies (feat. Not3s)","AJ Tracey",527122,https://open.spotify.com/track/4hGsbyf3p0U5mlJTJwiUTq
92,"Back & Forth",MK,526348,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA
93,"Be Alright","Dean Lewis",524552,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
94,"Let You Love Me","Rita Ora",523720,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
95,"a lot","21 Savage",523320,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
96,"The Greatest Show","Hugh Jackman",523204,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
97,"Don't Stop Me Now - Remastered 2011",Queen,520152,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
98,"I Fall Apart","Post Malone",519629,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
99,"Ruin My Life","Zara Larsson",519104,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
100,Sponsored,"Hardy Caprio",518655,https://open.spotify.com/track/4v1aMar2KI6FkE8soih1YO
101,"Just Got Paid",Sigala,516047,https://open.spotify.com/track/5CpkVOosLFc83LbwqO6hnI
102,"Con Calma","Daddy Yankee",512626,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
103,BABY,Giggs,511999,https://open.spotify.com/track/0LiIvnK432UKVCPOkSUnJJ
104,"I'll Be There","Jess Glynne",510413,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ
105,Youngblood,"5 Seconds of Summer",508154,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
106,"God's Plan",Drake,507519,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
107,"Nice For What",Drake,504011,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
108,"Mo Bamba","Sheck Wes",503313,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
109,"Psycho (feat. Ty Dolla $ign)","Post Malone",499855,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
110,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",498012,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
111,"In My Mind",Dynoro,497906,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
112,"Woman Like Me (feat. Nicki Minaj)","Little Mix",495696,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
113,"no tears left to cry","Ariana Grande",492863,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
114,"Lost Without You","Freya Ridings",492165,https://open.spotify.com/track/6EelrDeZGS0Z81NhXevtrJ
115,"Saturday Nights",Khalid,491507,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
116,needy,"Ariana Grande",483421,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
117,Budapest,"George Ezra",481861,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
118,Moonlight,XXXTENTACION,481026,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
119,"In My Feelings",Drake,479278,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
120,"Rewrite The Stars","Zac Efron",478017,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
121,"Lesley (feat. Ruelle)",Dave,475805,https://open.spotify.com/track/5F0Bf5M5lTO8SwfRQai4or
122,"Hear Me Calling","Juice WRLD",474750,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
123,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",474294,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
124,"Another One Bites The Dust - Remastered 2011",Queen,465418,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
125,Breathe,CamelPhat,464548,https://open.spotify.com/track/6TR0FGw4zhlGbQALN065AI
126,"Best Life","Hardy Caprio",462784,https://open.spotify.com/track/3wAyZwtyyLMsJNG7Mb17ky
