,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sweet but Psycho","Ava Max",3147292,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
2,"thank u, next","Ariana Grande",2602802,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,Wow.,"Post Malone",2370657,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2319246,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,"Without Me",Halsey,2200851,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1732392,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
7,"SICKO MODE","Travis Scott",1576937,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"18HUNNA (feat. Dave)","Headie One",1495022,https://open.spotify.com/track/0G1GIn5gGoe5iLHvVC5FM0
9,"Ruin My Life","Zara Larsson",1425649,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
10,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1419926,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
11,"Eastside (with Halsey & Khalid)","benny blanco",1338534,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
12,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1318502,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
13,Play,"Jax Jones",1285574,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5
14,Shotgun,"George Ezra",1283479,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
15,"Going Bad (feat. Drake)","Meek Mill",1266344,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
16,Shallow,"Lady Gaga",1222558,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
17,"Promises (with Sam Smith)","Calvin Harris",1152334,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
18,"when the party's over","Billie Eilish",1144141,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
19,"Funky Friday",Dave,1135328,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
20,Happier,Marshmello,1128677,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
21,"High Hopes","Panic! At The Disco",1107029,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
22,imagine,"Ariana Grande",1099177,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
23,"This Is Me","Keala Settle",1081012,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
24,"Woman Like Me (feat. Nicki Minaj)","Little Mix",1059916,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
25,Thursday,"Jess Glynne",1055121,https://open.spotify.com/track/3ji4bcQugJj5B6NRGYDNwP
26,"Mo Bamba","Sheck Wes",1016493,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
27,Better,Khalid,1003456,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
28,"The Greatest Show","Hugh Jackman",994693,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
29,"Better Now","Post Malone",972446,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
30,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",956084,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
31,"Body (feat. brando)","Loud Luxury",938974,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
32,"Taste (feat. Offset)",Tyga,922490,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
33,"Rewrite The Stars","Zac Efron",919862,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
34,"Saturday Nights",Khalid,918931,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
35,"A Million Dreams","Ziv Zaifman",900702,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
36,"Let You Love Me","Rita Ora",892891,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
37,"Kiss and Make Up","Dua Lipa",882703,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
38,Options,NSG,874784,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
39,"Empty Space","James Arthur",859957,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
40,"Lucid Dreams","Juice WRLD",859945,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
41,KIKA,6ix9ine,830779,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
42,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",828137,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
43,"Never Enough","Loren Allred",828055,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
44,SAD!,XXXTENTACION,820165,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
45,Grace,"Lewis Capaldi",815316,https://open.spotify.com/track/4eQBL0cuF3ismYCzBff2Ii
