,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
38,Lundi,0.434,0.809,0.791,0.0,0.119,-5.151,0,0.27,118.006,4,0.424,476483,France,5RQ3ZyfOfJJ2qLKOZTmLiB
39,La pluie (feat. Stromae),0.0756,0.694,0.759,0.0,0.255,-5.231,0,0.124,86.037,4,0.777,476017,France,4cYFep5SECqb4EsSkF82e0
40,Guerilla,0.426,0.731,0.787,0.0,0.0914,-4.827,0,0.118,140.16,4,0.381,463173,France,3w8yBGCi5jm2rKsrsHJpdD
41,Leave a Light On,0.0153,0.586,0.624,1.78e-06,0.133,-5.946,1,0.113,68.976,4,0.267,460878,France,6lOWoTqVnAWXchddtTH31W
42,Compl?tement sonn?,0.139,0.81,0.677,0.000889,0.117,-5.771,0,0.0672,107.019,4,0.731,459047,France,4bZOVCf1wiNELuCH34rFDl
43,Arrivant,0.121,0.726,0.591,0.0,0.112,-8.088,0,0.389,171.885,4,0.212,456480,France,6dN7nkvH6HaRxVQETt6agT
44,"My Life Is Going On (Cecilia Krull vs. Gavin Moss) [M?sica Original de la Serie de TV ""La Casa de Papel""]",0.0164,0.598,0.652,2.89e-05,0.417,-8.646,0,0.0516,112.868,4,0.319,456265,France,5ljDRYaFEZy9INmM8Fl81e
45,Favela,0.414,0.865,0.703,0.000157,0.107,-7.505,0,0.0539,122.014,4,0.945,450895,France,1xZA0qvWfCcsNlzZXmCnJh
46,Snow,0.804,0.801,0.534,0.0,0.0874,-4.858,1,0.459,84.708,4,0.499,442801,France,1nnrzx8IOX0kuPMpCVnWgO
47,Remind Me to Forget,0.158,0.689,0.505,0.0,0.138,-6.389,1,0.0933,99.017,4,0.312,434933,France,6xTU6B6nFwKKTSZ9ySXS80
48,This Is America,0.117,0.854,0.463,0.0,0.354,-6.159,1,0.137,120.024,4,0.549,416588,France,0b9oOr2ZgvyQu88wzixux9
49,Fendi,0.149,0.456,0.697,0.0,0.164,-7.132,0,0.49,70.09,4,0.344,403676,France,7BtAkqRFQjvOYOq5k5mlCb
50,Love Lies (with Normani),0.0956,0.708,0.648,0.0,0.134,-5.626,1,0.0449,143.955,4,0.338,399924,France,45Egmo7icyopuzJN0oMEdk
51,Bendero,0.418,0.729,0.848,0.0,0.306,-3.057,1,0.339,90.253,4,0.932,394349,France,3suGeDJB3BJahpUVLMncWt
52,Bonnie & Clyde,0.641,0.736,0.825,0.0,0.127,-4.174,1,0.323,123.956,4,0.383,393885,France,0XXCBAt3V7cTmGvf6NDb5H
53,Coffrer,0.32,0.625,0.564,0.0,0.149,-7.833,0,0.267,181.515,3,0.327,387729,France,6PvouhcF7NDx18gVoEzs14
54,Casa de papel,0.543,0.866,0.438,0.0,0.125,-8.83,0,0.397,145.979,4,0.42,382793,France,7yJ2B2cvNY4sYLkTf8iB1o
55,Tourner,0.783,0.696,0.773,0.0,0.107,-5.288,0,0.465,89.846,3,0.282,382763,France,0kw6jwPUyBtvEIWRPYwATQ
56,Crazy,0.432,0.7,0.763,9.55e-05,0.104,-5.07,1,0.163,115.1,4,0.449,377844,France,2hqy4QmpvMeVz6zeolDeLQ
