,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Bande organis?e,0.117,0.901,0.939,0.0,0.0643,-2.762,1,0.274,142.948,4,0.805,2269308,France,6YzQOngfcV0W9F8UOTnEEK
1,Plus Jamais (feat. Stormzy),0.373,0.605,0.419,0.0,0.128,-9.032,1,0.0342,152.161,4,0.291,2171882,France,7iZVBT6LV32t4l00p73VAw
2,Fever,0.0597,0.868,0.693,0.00399,0.106,-7.052,0,0.181,114.999,4,0.396,1893276,France,3F1P0QzdXtBz0MXy7KIO5w
3,Joli b?b?,0.586,0.689,0.623,0.0,0.103,-7.206,0,0.129,154.95,4,0.26,1827052,France,1J4oMIhWDUd9cI1urhEyjl
4,Coffre plein,0.093,0.758,0.56,0.0,0.104,-6.69,0,0.0639,149.893,4,0.606,1590992,France,70pkwEEG7nDTXBFqoGQkH0
5,Doudou,0.136,0.773,0.609,0.0,0.0729,-5.855,0,0.244,98.071,4,0.697,1501290,France,3V6NCwBywAwpAlAyGL7h0p
6,Pr?f?r? (feat. OBOY),0.0175,0.758,0.74,0.0,0.0601,-7.467,1,0.0925,173.862,4,0.631,1467931,France,49IzWufYtbt3tgUN8ORNe0
7,Tchop,0.12,0.845,0.69,3.06e-05,0.148,-6.873,0,0.241,97.97,4,0.257,1287505,France,3eS2Xx32pVsYj66a3TACh3
8,Mood (feat. iann dior),0.221,0.7,0.722,0.0,0.272,-3.558,0,0.0369,90.989,4,0.756,1284906,France,3tjFYV6RSFtuktYl3ZtYcq
9,Dieu merci,0.398,0.731,0.523,0.0,0.215,-7.183,0,0.0611,133.961,4,0.83,1247849,France,1HDqaIxeJ70BTHgZWEuaeT
10,Tout en Gucci,0.548,0.776,0.662,5.1e-06,0.117,-7.586,0,0.233,121.987,4,0.5,1219519,France,0i5GJckWb9uCZU4jcGoBca
11,Cabeza,0.123,0.884,0.566,3.25e-06,0.106,-7.398,0,0.046,106.983,4,0.565,1194797,France,66tNDqYNR2S6Svwgm3BMi9
