,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",1696793,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,"4/5 - From “Patser""","Ronnie Flex",1556212,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,1182679,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River (feat. Ed Sheeran)",Eminem,1166659,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",973507,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Coño,Puri,910859,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
7,Wolves,"Selena Gomez",889234,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,rockstar,"Post Malone",883566,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
9,"I Miss You (feat. Julia Michaels)","Clean Bandit",845800,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,Vervloekt,Frenna,811253,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
11,Perfect,"Ed Sheeran",769579,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
12,"In Amsterdam","Sevn Alias",759977,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
13,"New Rules","Dua Lipa",730301,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
14,"Him & I (with Halsey)",G-Eazy,721308,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
15,Stargazing,Kygo,699930,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
16,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",677065,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
17,"Finesse - Remix; feat. Cardi B","Bruno Mars",673217,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
18,Merry,"Nafthaly Ramona",662591,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
19,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",662312,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
20,Zoutelande,BLØF,658162,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
21,"Too Good At Goodbyes","Sam Smith",657841,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
