,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Good News","Mac Miller",435103,https://open.spotify.com/track/3ClBKQkKoaUQ6UOhe2xlJK
57,"I’m in the Ghetto","Figo Gang",431427,https://open.spotify.com/track/22O6utQ4Aaz35CA88vXZ6o
58,"Love Don’t Hate It","Duncan Laurence",431019,https://open.spotify.com/track/3WpCAAxdEOY5L4tT6Dt2H8
59,"How Do You Sleep?","Sam Smith",421145,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
60,"Zo Kan Het Dus Ook",Maan,419997,https://open.spotify.com/track/0ZDkMMdWTw9ykmmIGUVnrS
61,"Alone, Pt. II","Alan Walker",416231,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
62,"Nice To Meet Ya","Niall Horan",413945,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
63,"Only Human","Jonas Brothers",411977,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
64,Vroeger,Josylvio,411185,https://open.spotify.com/track/7KKHNdUNO1AqOxnFUHnfdf
65,"Nu Heb Ik Paper",Glades,407901,https://open.spotify.com/track/7I7ak5BECCYw6yQ11wLG6C
66,"Blauwe Dag","Suzan & Freek",401746,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
67,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",391976,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
68,"I Don't Care (with Justin Bieber)","Ed Sheeran",383284,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
69,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",380998,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
70,"The Last Time","The Script",380166,https://open.spotify.com/track/600oiqLkQIJ85HvQGIQWvO
71,Teeth,"5 Seconds of Summer",379984,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
72,Family,"The Chainsmokers",376714,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
73,"Lucid Dreams","Juice WRLD",371787,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
74,"You should be sad",Halsey,343928,https://open.spotify.com/track/2usxQITOSDqvkYiI0oIwao
75,"Trampoline (with ZAYN)",SHAED,343811,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
76,Plankgas,Snelle,343326,https://open.spotify.com/track/2aPEzxqs3LorV1ZqIE7If7
77,Kofferbak,Boef,338973,https://open.spotify.com/track/5srlU62BkGl2VxfuuEgOYi
78,"Als Het Avond Is","Suzan & Freek",336768,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
79,"Beautiful People (feat. Khalid)","Ed Sheeran",335456,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
80,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")","Bebe Rexha",334378,https://open.spotify.com/track/1i3z3GR1JtLswOSJNO0BQw
81,Scars,Snelle,326289,https://open.spotify.com/track/3s3LHm3AI7jazWk0Rdg6Q3
82,"Zij Weet Het - Studio Versie","Tino Martin",318270,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
83,"No Idea","Don Toliver",313142,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
84,"Watermelon Sugar","Harry Styles",312313,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
85,"HIGHEST IN THE ROOM","Travis Scott",306110,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
86,"God Is A Dancer (with Mabel)",Tiësto,305647,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
87,Suicidal,"YNW Melly",305394,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
88,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,301231,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
89,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",300029,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
