,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"One Kiss (with Dua Lipa)","Calvin Harris",1603759,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
2,"Hey Meisje",Esko,1349622,https://open.spotify.com/track/1c7Kh2uMMxG7k4QqNjjg95
3,"Pull Up",Dyna,1250258,https://open.spotify.com/track/40Jfl936Y8gYHU0klKu3SN
4,"Back To You","Selena Gomez",1215690,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
5,"Lil Craney","Kraantje Pappie",1201360,https://open.spotify.com/track/6mhojtIauujcoXxlGsihh1
6,"Better Now","Post Malone",1137974,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
7,"no tears left to cry","Ariana Grande",1021307,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
8,Flames,"David Guetta",989682,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
9,"Liefde In De Lucht","Kraantje Pappie",987289,https://open.spotify.com/track/3xbLeZAtP6yVnsgP3EGlie
10,Dura,"Daddy Yankee",955616,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
11,"Altijd Op Tijd",Vic9,906530,https://open.spotify.com/track/1bh7gzZI3zD3dXNRB6xR1D
12,"Leave a Light On","Tom Walker",904209,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
13,Youngblood,"5 Seconds of Summer",860473,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
14,Shutdown,SFB,851141,https://open.spotify.com/track/5e7W7nBD5KG2KHCnazm1Hz
15,Gedrag,SBMG,813165,https://open.spotify.com/track/3lfrBNAXuQfWIYVSXj1wRL
16,"In My Blood","Shawn Mendes",793876,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
17,"Nog Steeds (feat. 3robi & Idaly)",LouiVos,787789,https://open.spotify.com/track/2UMPNNnKfqNHz2TNv91ACh
18,"Jackie Chan",Tiësto,785371,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
19,X,"Nicky Jam",771994,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
20,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,758810,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
21,"Ze Willen Mee",Hardwell,749120,https://open.spotify.com/track/2zW8y5ry4YudAPnLmagr1c
22,"Remind Me to Forget",Kygo,725242,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
23,"Girls Like You (feat. Cardi B)","Maroon 5",721473,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
24,Nevermind,"Dennis Lloyd",718067,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
25,"Youth feat. Khalid","Shawn Mendes",700263,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
26,Spijt,Maan,696710,https://open.spotify.com/track/1Hh8NGpjEtsvSsItUMG2JB
27,FRIENDS,Marshmello,677864,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
28,"Solo (feat. Demi Lovato)","Clean Bandit",664720,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
29,Loco,"Yung Felix",653152,https://open.spotify.com/track/0DCxNJg7yquzAHORClrP3e
30,Therapy,"Armin van Buuren",644158,https://open.spotify.com/track/7yN5w9qB7Km1Fqx96ZnG5W
31,"Draai Het Om",Boef,644104,https://open.spotify.com/track/13mBTIxi1V5IoWuApMFRU1
32,"The Middle",Zedd,635164,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
33,"Know You Better",FÄIS,633730,https://open.spotify.com/track/6TxyH9fi1yV4QMVw4cV4Nv
