,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
61,Compl?tement sonn?,KeBlack,511283,https://open.spotify.com/track/4bZOVCf1wiNELuCH34rFDl
62,Moscow,RK,510127,https://open.spotify.com/track/6tdd3zR2Q8p1VgqvsGvtju
63,Bad Boy,Marwa Loud,499916,https://open.spotify.com/track/0N90EmHdOXLnTYDoeLwsmr
64,Chambre 122,Koba LaD,499627,https://open.spotify.com/track/3dmSfpPj9OdlU0Mbbs7p6m
65,Jalousie,Ang?le,496249,https://open.spotify.com/track/3U5x1rplpJNKR3Xg88EfLi
66,Luna,Moha La Squale,495084,https://open.spotify.com/track/55PyQALchJn43CGeN6XHAN
67,Oy?,Koba LaD,490925,https://open.spotify.com/track/1K6idVTyVwb5DIEkCEf06y
68,Balance ton quoi,Ang?le,490564,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
69,Juste pour voir,S.Pri Noir,486270,https://open.spotify.com/track/0JOJx8jx0dWZk33MsvRZrB
70,Thunderclouds,Sia,479494,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
71,Guerilla,Soolking,467711,https://open.spotify.com/track/6pJMDcYj8jHDGdEVWNwBMH
72,SAD!,XXXTENTACION,458023,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
73,J'en parlerai au diable,Johnny Hallyday,457859,https://open.spotify.com/track/4GeYOwrJB98urYYmij5M2S
74,Entre les murs (feat. Ninho),DA Uzi,455987,https://open.spotify.com/track/3eiuxHgjBs0ZHYgyapxD4d
75,ZEZE (feat. Travis Scott & Offset),Kodak Black,454200,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
76,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,452483,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
77,24 carats,RK,439170,https://open.spotify.com/track/1leeEohWV02ifmrJPC8vNY
78,Demain - Bigflo & Oli X Petit Biscuit,Bigflo & Oli,436839,https://open.spotify.com/track/79m95shJaTK0aSogeQQTyD
79,High On Life (feat. Bonn),Martin Garrix,435790,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
80,Djadja,Aya Nakamura,430768,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
81,Iencli,Vald,429026,https://open.spotify.com/track/2iVvukpWd7OX1n1LwUF5Rs
82,Habitu?,Dosseh,428750,https://open.spotify.com/track/76HlSm9QxyXxpks5HTYS0F
83,Lucid Dreams,Juice WRLD,423185,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
84,Je te le donne (en duo avec Slimane),Vitaa,422331,https://open.spotify.com/track/4yjqpsuyrbjyXHB6rC0mWo
85,Cache-Cache,Columbine,420575,https://open.spotify.com/track/6pbCwd97Z68YM9PUpMVyHG
86,Interlude - Beretta 92FS,SCH,417557,https://open.spotify.com/track/1hgaT5YkQXuiZ6Hfiv4qe0
87,Tierquar,RK,416494,https://open.spotify.com/track/6d5zcYtRiTu6MLgWh7HKOc
88,Intro - Le d?luge,SCH,405438,https://open.spotify.com/track/7pqHZ0Jas4n7sZkl0T5jiq
