,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,MONTERO (Call Me By Your Name),Lil Nas X,2712693,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,Vroum Vroum,Moha K,2278615,https://open.spotify.com/track/6sRPU30pj9A6G1pBXqzQkM
3,La kiffance,Naps,2211793,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
4,Le temps,Tayc,1980272,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
5,Mon poto - Extrait de la BO de ? En Passant P?cho ?,Kore,1708020,https://open.spotify.com/track/1SelxYHPb04GjUy0oYV1Jw
6,Je tÅfaime de ouf,Wejdene,1604814,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
7,Mona Lisa,Booba,1553165,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
8,Mannschaft (feat. Freeze Corleone),SCH,1417034,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
9,Mode Akimbo (feat. Jul),SCH,1390714,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
10,HAINE&SEX,Gazo,1357704,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
11,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,1217573,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
12,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,1212655,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
13,GIRL LIKE ME,Black Eyed Peas,1157444,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
14,Champion,Serge Ibaka,1144765,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
15,D?KITI,Bad Bunny,1111692,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,La danse des bandits,Naps,1102991,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
17,Fever,Dua Lipa,1082387,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
18,March? noir,SCH,1079449,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
19,Casanova,Were-vana,1077614,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
20,Bande organis?e,13 Organis?,1059435,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
21,La Sele?ao,Alonzo,1045607,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
22,Goosebumps - Remix,Travis Scott,1024108,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
23,Crack,SCH,1020968,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
24,Allo,Marwa Loud,993564,https://open.spotify.com/track/3IWsDAFAwPNVnnTeQyUj7w
25,Save Your Tears,The Weeknd,968510,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
