,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Habitu?,Dosseh,1563386,https://open.spotify.com/track/5N2IdMvsijo5D0Jl3iz6yu
2,Ips?it?,Damso,1260108,https://open.spotify.com/track/2cqIyMApTDUOo6VO5VFQsH
3,Mafiosa (feat. Caroliina),Lartiste,1249639,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
4,Djadja,Aya Nakamura,1235542,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
5,"Va Bene - Extrait de la BOF de ""Taxi 5""",L'Alg?rino,1036637,https://open.spotify.com/track/7qibGVhkRyQ4kgYwzZu7iG
6,La m?me,GIMS,1032600,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
7,X,Nicky Jam,1019866,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
8,One Kiss (with Dua Lipa),Calvin Harris,1014892,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
9,Un Poco,Ninho,905993,https://open.spotify.com/track/3MVTefqbeNX5yHFOmnHy3X
10,D?saccord?,Vald,863956,https://open.spotify.com/track/0FYpW0zBO7cht8qGRY41Mz
11,God's Plan,Drake,845510,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
12,Bob Marley,Dadju,806216,https://open.spotify.com/track/6L6yn9GeVqnlWX1npp6rAK
13,FRIENDS,Marshmello,794791,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
14,Bella ciao - HUGEL Remix,El Profesor,785947,https://open.spotify.com/track/2dQzfKRaMKUCQgMpOtpLTh
15,"Bella ciao (feat. Ma?tre Gims, Vitaa, Dadju & Slimane)",Naestro,762958,https://open.spotify.com/track/1XcnxfOeLvLPGh2Drr2yNb
16,Hit Sale (feat. Rom?o Elvis),Therapie TAXI,756977,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
17,Flames,David Guetta,669288,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
18,M.I.L.S 2.0,Ninho,663023,https://open.spotify.com/track/1qRZfv2ZbAZGPnfbIV3YvD
19,Nevermind,Dennis Lloyd,661026,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
20,Fallait pas,Marwa Loud,660952,https://open.spotify.com/track/0fACF9oFLE2IOaEyRvRTrL
21,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,651466,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
22,no tears left to cry,Ariana Grande,618277,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
23,Mad Love,Sean Paul,572234,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
24,Santana,Alonzo,565630,https://open.spotify.com/track/0G0WC5ghZRRH6LJNNXtK1W
25,I Like It,Cardi B,555137,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,Country,Niska,549975,https://open.spotify.com/track/7k5HgarMbFipRP0y1Ko8Fc
27,Nice For What,Drake,547809,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
28,Like I Do,David Guetta,537011,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
