,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Bande organis?e,13 Organis?,4694448,https://open.spotify.com/track/6YzQOngfcV0W9F8UOTnEEK
2,Joli b?b?,Naza,2417361,https://open.spotify.com/track/6ARJHbYGKNatxHVghTkWWp
3,L'?toile sur le maillot,13 Organis?,2159828,https://open.spotify.com/track/27TFzldNvbEHjUGhmPtwB3
4,13 balles,13 Organis?,1761942,https://open.spotify.com/track/6SI92k6CZQAgVf7fq1rSpx
5,Mood (feat. iann dior),24kGoldn,1622743,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,Cabeza,OBOY,1590983,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
7,Pilote (feat. Hamza),PLK,1505396,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
8,? la f?te,UZI,1492928,https://open.spotify.com/track/0qARyMVNjA6q1uxxO3nofB
9,Grand bain,Dadju,1457009,https://open.spotify.com/track/1fyVvRQsa095P7QK5Um7xH
10,Macaroni (feat. Ninho),Leto,1380169,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
11,Combien,13 Organis?,1359764,https://open.spotify.com/track/1JSSZf4TDUfVbXK8CQxRAB
12,BXL ZOO,Damso,1342359,https://open.spotify.com/track/7BO3y8lmogACezwHqZ1HTB
13,Je suis Marseille,13 Organis?,1257818,https://open.spotify.com/track/4664mS3Oui4LszStyITQm8
14,Ma gadji,13 Organis?,1131498,https://open.spotify.com/track/4Ml8QaigkCv84Ayfun64y2
15,Angela,Hatik,1125835,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
16,War Zone,13 Organis?,1095724,https://open.spotify.com/track/4ZmXwpAnxsp4zk8wGNj91y
17,Doudou,Aya Nakamura,1084715,https://open.spotify.com/track/30WpoaLVDKtlnNnzoEcN2p
18,DEUX TOILES DE MER,Damso,1069874,https://open.spotify.com/track/7yN9Qx1HtE4c1fhakBz8Ay
19,Coco,Wejdene,1060240,https://open.spotify.com/track/0KmJlpwFryVrik3YN3PkPz
20,My Salsa,Franglish,1057365,https://open.spotify.com/track/7IJIj326qJJA6oi6EpFCBD
