,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Dans l'espace (feat. Heuss l'Enfoir?),Gambi,2818001,https://open.spotify.com/track/2KAkkba3PaYFegfmYpUITv
2,Ne reviens pas,Gradur,2541360,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
3,Distant,Maes,2425921,https://open.spotify.com/track/1Sb7QJRawbARgpMqyYNMkT
4,Jamais,Mister V,2367716,https://open.spotify.com/track/4jB8td98pbRVvTqtQ7I3MI
5,Blanche,Maes,2360471,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
6,Gang,Mister V,2264715,https://open.spotify.com/track/10luKmtlbA2PO8tH3kurlJ
7,Dybala,Maes,2259065,https://open.spotify.com/track/4Nfak8iMF4kQfQ6Pa8Z79m
8,Pirelli,Mister V,2235684,https://open.spotify.com/track/7FZoYJcmCB22N0lAg52nZG
9,Blinding Lights,The Weeknd,2026308,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,Moulaga,Heuss L'enfoir?,1965820,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
11,MD (feat. Niska),4Keus,1831417,https://open.spotify.com/track/7HnZCmNXgva6N3kZiK0NTn
12,Dance Monkey,Tones And I,1724418,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,The Box,Roddy Ricch,1598367,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
14,Facetime,Mister V,1538995,https://open.spotify.com/track/1pmyTzRjcz1qAowK5jYEEd
15,93% [Tijuana],GLK,1398676,https://open.spotify.com/track/45mzuuUWaRRLwIDifDferf
16,Tudo Bem,Mister V,1368563,https://open.spotify.com/track/4wdJ33LQeaYBdXLKYVHxrE
17,Vice City,Mister V,1348495,https://open.spotify.com/track/2mkfbff7LNN4SUbZ298AvK
18,40%,Aya Nakamura,1336430,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
19,Calumet,Hornet La Frappe,1325569,https://open.spotify.com/track/4hCHnvepjWmpP2kgYuEC7d
20,Tout est cal? (feat. Koba LaD),Chily,1325442,https://open.spotify.com/track/3iFaIzKkI6R3Zy3AAgwvvy
21,Street,Maes,1324958,https://open.spotify.com/track/7x3kHHEczVkeuuFkUKjUv7
22,Woin Woin (feat. RK),Larry,1263774,https://open.spotify.com/track/0vetigm1cKD8YvB37KCSHu
23,Clinton,Mister V,1242896,https://open.spotify.com/track/5uQh7IFaZNi5yjmevppS4V
24,Falling,Trevor Daniel,1226382,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
25,POPOPOP,Gambi,1193946,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
26,Imparfait,Maes,1148445,https://open.spotify.com/track/2oA44GF1ypyWTH18HGLXIS
27,Loin de moi,Naza,1142406,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
28,Boogie,Mister V,1116546,https://open.spotify.com/track/7r9g9kVnLkCgKdF8ZQNqU6
29,Femme de m?nage,Mister V,1115581,https://open.spotify.com/track/0OkMZx36jAnr9epv0gS4ND
30,C?te Ouest,47ter,1105604,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW
31,Oui ou non,Ang?le,1088521,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
32,Roses - Imanbek Remix,SAINt JHN,1065710,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
33,Souris verte,Naza,1061020,https://open.spotify.com/track/6VB70i0iZ76npVKwWVVUYx
34,ROXANNE,Arizona Zervas,1060890,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
35,Miami Heat,Mister V,1025330,https://open.spotify.com/track/4FsEfCGYJXzJESGAxzTfXw
36,Don't Start Now,Dua Lipa,1024817,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
37,Vert,Mister V,1007121,https://open.spotify.com/track/41Du6AWKUayH5Toup76iM4
38,Some Say,Nea,1004910,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
39,Lidl,Mister V,996510,https://open.spotify.com/track/1ShUAG9m58Yw2E3bMCUeIN
40,RITMO (Bad Boys For Life),Black Eyed Peas,992323,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
41,Titanic,Mister V,946298,https://open.spotify.com/track/2fd8ZAAbAMZTo8HsF3rntH
42,Avant toi,Vitaa,925779,https://open.spotify.com/track/4iNPp0BZ4lBu7bipdWLcWk
43,Ride It,Regard,925116,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
44,Baian?,Bakermat,905081,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
45,Menace,Mister V,901443,https://open.spotify.com/track/4B6qth6BKGrsY9cKEZPGjW
46,God Bless (feat. Damso),Hamza,878303,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg
47,Question r?ponse,Larry,866543,https://open.spotify.com/track/4scsnWPP80tJmlKczE0BJF
48,Elvira,Maes,865326,https://open.spotify.com/track/3VxDCnNHD1mtXFGFDPqhe4
49,La vie qu'on m?ne,Ninho,849865,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
50,?veill?,Damso,838203,https://open.spotify.com/track/6RhvzmN2NRZSc24hF2R9lf
51,everything i wanted,Billie Eilish,836869,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
52,Kungfu,Mister V,827496,https://open.spotify.com/track/4aNCUK7i0ABpjpsSSqH2Lh
53,Payakaroon,Mister V,805223,https://open.spotify.com/track/6OyfuxskfmNDAR713AZ3eh
54,Dragovic,Maes,803199,https://open.spotify.com/track/3wSdpAUYB0UuNekEcDdnjN
55,Yummy,Justin Bieber,802568,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
56,M?moire,Maes,795188,https://open.spotify.com/track/6KKVQRfk2pRAXrOt08SfpL
57,H? OH,Gambi,781313,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
58,Memories,Maroon 5,772855,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
59,Police,Maes,767226,https://open.spotify.com/track/7hrZQ1Z5Cyw9Y8LghrckoZ
60,Moulin rouge,Mister V,765828,https://open.spotify.com/track/4XA6ljkohSvK12p6HKlwtE
61,B?timent,Niska,757729,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
