,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
50,Reste,0.52,0.745,0.537,0.0,0.103,-7.335,0,0.0503,99.987,4,0.68,762139,France,3ebaeB2BdCEgZmwKv7p2r5
51,RR 9.1,0.0703,0.942,0.564,0.0,0.078,-6.293,1,0.407,126.069,4,0.393,753091,France,28fP6qcMGPfYOjrx8AOWFn
52,Ride It,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0,0.0874,117.948,4,0.884,747849,France,2tnVG71enUj33Ic2nFN6kZ
53,Higher Love,0.0151,0.693,0.678,5.71e-06,0.101,-7.159,1,0.0324,103.952,4,0.404,739190,France,6oJ6le65B3SEqPwMRNXWjY
54,La Guenav,0.0337,0.877,0.558,0.0,0.139,-8.22,1,0.347,99.935,4,0.262,735674,France,0kH4ZE0SewdiPUUgbQNVSU
55,Sankhara #4 (Chic),0.295,0.751,0.72,0.0,0.337,-4.86,1,0.304,140.041,4,0.761,722083,France,6mKLhdZIMaHpZ9kbmq9SOS
56,Soldat,0.409,0.699,0.559,0.0,0.118,-6.21,1,0.0416,99.82,4,0.472,718063,France,7JLz24ZQtl7tIb0ePwlBfI
57,Flou,0.697,0.682,0.52,5.44e-06,0.265,-9.623,0,0.0589,112.965,4,0.468,712671,France,3b89BehicGUgc60pLBo092
58,Memories,0.837,0.764,0.32,0.0,0.0822,-7.209,1,0.0546,91.019,4,0.575,711201,France,2b8fOow8UzyDFAE27YhOZM
59,Putana,0.313,0.717,0.774,0.0,0.129,-6.927,0,0.0515,103.849,4,0.511,690860,France,5oePa8PlOTPAlRaGs2OZ3A
60,Goutte d'eau,0.647,0.683,0.693,0.0,0.121,-6.441,0,0.127,137.826,4,0.322,690266,France,0rQbvQpjQ6QeeCAnVRzokf
61,L'odeur du charbon,0.576,0.813,0.524,0.0,0.24,-8.66,1,0.118,133.974,4,0.612,686976,France,6atrzNHhWlXTolcIKAjSq2
62,Silicon?,0.0582,0.775,0.664,0.0,0.179,-5.286,0,0.307,76.999,4,0.6,684401,France,4pmQt0EAXwy2SyXOJJ2bPU
63,Nique la BAC,0.0374,0.952,0.891,0.0,0.0862,-5.719,0,0.337,116.054,4,0.701,675552,France,4VzalpjiHHK5cKSgrZuNjg
64,Veni qui,0.651,0.762,0.76,0.0,0.147,-5.394,0,0.167,94.01,4,0.577,674012,France,77sPeNPRGmp1pEY2E0sFIw
65,Aristocrate,0.268,0.935,0.613,3.1e-06,0.0956,-6.241,0,0.0662,116.943,4,0.626,646241,France,7gNlaZaMIjRUfnAYd9Dvmt
66,Birds,0.0146,0.649,0.517,1.63e-06,0.145,-7.428,0,0.0297,119.997,4,0.35,630926,France,6Tvzf3VEi16JMhAgOwdt2y
67,Stup?fiant (feat. Maes),0.0856,0.544,0.6,0.0,0.119,-8.281,1,0.466,178.971,3,0.331,627954,France,3PlTbqRFK8xmkCzJWrF3XF
68,Que Calor (with J Balvin & El Alfa),0.0372,0.795,0.885,0.00754,0.285,-4.129,1,0.0716,126.038,4,0.46,618662,France,1G2CAJeP7rCwOZjlSJ0Zw3
69,Someone You Loved,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,109.891,4,0.446,614424,France,7qEHsqek33rTcFNT9PFqLf
70,Mr Sal,0.231,0.827,0.678,0.0,0.0977,-6.244,0,0.071,147.993,4,0.633,610440,France,6P1FUURjn1CXB4y74paDOK
71,China,0.0846,0.786,0.808,0.000289,0.0822,-3.702,1,0.0882,105.027,4,0.609,608850,France,2ksOAxtIxY8yElEWw8RhgK
72,Soldi,0.0361,0.729,0.589,0.0,0.305,-9.871,0,0.0483,95.065,4,0.349,608719,France,4szQkW1CDHqbRZGltXJdd3
73,Never Go Back,0.0135,0.421,0.653,0.0,0.114,-4.85,0,0.398,78.6,4,0.733,604134,France,2QrXzOqLCVDRZHkToA0tSR
74,Papers (feat. Ninho),0.431,0.896,0.532,1.35e-05,0.221,-6.823,1,0.257,133.904,4,0.614,601672,France,3vmoC735YdyvsrF0HtbmGn
75,Atlas,0.874,0.731,0.569,0.0,0.111,-6.227,0,0.0956,99.966,4,0.477,594132,France,4f6ujVHsT8JUglIMuOWmp3
76,Beautiful People (feat. Khalid),0.124,0.64,0.647,0.0,0.0801,-8.114,0,0.186,92.979,4,0.546,589098,France,70eFcWOvlMObDhURTqT4Fv
77,Instagram,0.125,0.765,0.906,0.0,0.423,-2.097,0,0.0965,96.071,4,0.95,587330,France,0U6bQIAh6MCGo1xjbIIx2S
78,Toute l'ann?e (feat. Timal),0.534,0.734,0.664,1.48e-06,0.0838,-6.424,0,0.0781,140.946,4,0.711,578522,France,5PlemGdKGymY91Emm5xDbr
