,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
38,YES or YES,0.0514,0.702,0.913,3.71e-06,0.166,-2.977,1,0.0374,137.982,4,0.735,124506,Japan,184XtKkzoAl83quIarUAJP
39,新宝島,0.00118,0.557,0.917,0.00914,0.419,-3.426,0,0.0757,158.0,4,0.653,122213,Japan,6ODZT1FGTE2q4two05giS1
40,NAO,0.491,0.561,0.422,0.0,0.197,-6.602,1,0.0292,75.982,4,0.255,122178,Japan,2PeCrMLUayMPZnLZPkJxOJ
41,高嶺の花子さん,0.066,0.54,0.923,0.0,0.124,-2.838,1,0.0623,137.977,4,0.343,121281,Japan,2jdbZGFp8KVTuk0YxDNL4l
42,蜜の月 -for the film-,0.0729,0.587,0.703,0.0172,0.174,-7.328,1,0.0289,123.969,4,0.693,121223,Japan,2p4BoXg0Km9NUY9lIzpjWo
43,3月9日,0.335,0.487,0.422,0.000887,0.174,-7.729,1,0.027,77.969,4,0.433,121107,Japan,2U0RKuknHTQPIuKw2gDTHI
44,Bohemian Rhapsody - Remastered 2011,0.271,0.414,0.404,0.0,0.3,-9.928,0,0.0499,71.105,4,0.224,118350,Japan,4u7EnebtmKWzUH433cf5Qv
45,生きていたんだよな,0.244,0.601,0.901,0.0,0.0711,-2.516,1,0.0353,111.035,4,0.53,116262,Japan,69jrtjVjyzRyPCDg0dHYCX
46,仰げば青空,0.0348,0.501,0.503,0.0,0.284,-6.109,1,0.0264,153.955,4,0.313,115568,Japan,0r4ZEc2sbj3xQBAa0pdRU6
47,チェリー,0.207,0.652,0.806,5.53e-05,0.135,-3.203,1,0.0277,97.053,4,0.732,114056,Japan,5Tj1wsJ6wE3Mf1MD0uKGnu
48,Wasted Nights,0.0156,0.556,0.833,0.0,0.0659,-5.29,1,0.0402,125.07,4,0.374,113884,Japan,39LyUQIy7idLxPdsjyZsxe
49,Please Me,0.0642,0.747,0.57,0.0,0.0832,-6.711,1,0.081,133.992,4,0.65,109178,Japan,0PG9fbaaHFHfre2gUVo7AN
50,Kuroi Hitsuji,0.557,0.508,0.943,0.0,0.566,-2.869,1,0.0872,102.94,4,0.399,108365,Japan,7sJgtz5Te1pA09ot2UEHWs
51,AM11:00,0.035,0.601,0.688,0.0,0.0978,-5.255,1,0.0288,98.015,4,0.252,102371,Japan,6YcvfXy4wTvjaIniIBuh30
52,"break up with your girlfriend, i'm bored",0.0421,0.726,0.554,0.0,0.106,-5.29,0,0.0917,169.999,4,0.335,101162,Japan,4kV4N9D1iKVxx1KLvtTpjS
53,さくら,0.308,0.713,0.838,4.54e-06,0.235,-4.111,1,0.0257,119.992,4,0.848,100368,Japan,5rfUCmoI7axj6mjpu1Rto5
54,Rise,0.327,0.687,0.785,0.0,0.203,-4.65,1,0.0333,106.046,4,0.655,99467,Japan,3KLygy1YWhmrQx0GRs7IOx
55,ロマンチシズム,0.00505,0.606,0.881,0.0,0.0412,-3.141,1,0.0647,125.479,4,0.886,95202,Japan,7BwkDMUfGl0yttRXS13SAO
56,Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913,93742,Japan,3KkXRkHbMCARz0aVfEt68P
57,달라달라 (DALLA DALLA),0.00116,0.79,0.853,4.23e-05,0.329,-4.564,0,0.0665,124.998,4,0.713,92289,Japan,0GU5GuJQQEnnREO2FxnVPT
58,Stay,0.253,0.69,0.622,0.0,0.113,-5.025,0,0.063,102.039,4,0.543,91614,Japan,0I20rLT2MJDhcF96AjbNYo
59,あした世界が終わるとしても,0.0877,0.563,0.67,0.0,0.0984,-3.46,1,0.0313,99.022,4,0.568,91285,Japan,4cKEW1EDlagnqmExM6lVcm
60,君に届け,0.0162,0.449,0.872,0.0,0.188,-4.744,1,0.0747,144.128,4,0.523,90632,Japan,0kA7SWxWPYqSyIbMl51X5b
61,What is Love?,0.0846,0.573,0.91,0.0,0.266,-1.578,1,0.064,169.982,4,0.602,90029,Japan,5Ek40FyMPprcvtyZDjqylX
62,青と夏,0.00184,0.31,0.887,0.0,0.291,-1.654,1,0.0463,184.91,4,0.745,89901,Japan,0a3587n25Xhw098UeEbeJq
63,i'm so tired...,0.176,0.599,0.733,0.0,0.242,-7.058,1,0.203,102.211,4,0.534,89335,Japan,7COXchtUOMd6uIT6HvmRaI
64,CROWN,0.0505,0.622,0.8,0.0,0.0619,-5.819,1,0.0425,110.977,4,0.58,89151,Japan,32h6yQGn4oAhZ0HRsTMX26
65,Stand By You,0.00423,0.593,0.849,0.0,0.229,-4.833,1,0.0439,154.074,4,0.541,89021,Japan,0XvOvUbvflmXxU8yqnF8Cp
66,innocent world,0.158,0.612,0.664,0.0,0.278,-6.525,1,0.0267,119.826,4,0.662,86393,Japan,70xcWRujaf34LOu0Vdubtp
67,ハナミズキ,0.451,0.49,0.451,0.0,0.343,-5.47,1,0.0288,139.722,4,0.299,86143,Japan,4PqDkR6YM80Sy590Qsy6mm
68,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,86098,Japan,7BKLCZ1jbUBVqRi2FVlTVw
69,ヒロイン,0.209,0.431,0.598,0.0,0.218,-3.733,1,0.0296,76.18,4,0.356,84776,Japan,3hBAYbAECEix9raaTq8S3H
70,Symphony (feat. Zara Larsson),0.239,0.715,0.605,1.41e-05,0.189,-5.128,0,0.0428,122.956,4,0.454,84651,Japan,72gv4zhNvRVdQA0eOenCal
71,プレゼント,0.0125,0.422,0.878,6.5e-06,0.337,-3.006,1,0.0381,116.543,4,0.659,84567,Japan,1i6F01jxN0Qy7xFk3EldRO
72,WanteD! WanteD!,0.025,0.559,0.806,0.0,0.0433,-2.461,1,0.0498,160.019,4,0.632,84297,Japan,7M3TZDUNvaNBo0qtWVaZif
73,Who Do You Love,0.00791,0.51,0.835,0.0,0.219,-4.673,1,0.0447,140.024,4,0.435,84264,Japan,11cDEev79fPKi6uJCjUhu8
74,帰り道は遠回りしたくなる,0.461,0.51,0.857,0.0,0.0793,-2.716,1,0.0404,138.064,4,0.684,84122,Japan,08XBLK5BlN5ZBLukMO49jy
75,The Beginning,8.83e-05,0.36,0.983,0.0,0.111,-2.352,1,0.101,182.058,4,0.279,84042,Japan,4f3nDjgqXurMryYBSp0TZD
76,HOME,0.0197,0.577,0.618,0.0,0.102,-4.07,1,0.0282,79.993,4,0.577,83628,Japan,5PF0IW8iHqOcTWAyRqiDzb
77,ノーダウト,0.0585,0.574,0.936,0.0,0.336,-3.185,1,0.0701,149.954,4,0.792,83575,Japan,5DMEvbg3gUmiR5HIBWdveV
78,2002,0.0372,0.697,0.683,0.0,0.137,-2.881,0,0.117,96.133,4,0.603,83496,Japan,2BgEsaKNfHUdlh97KmvFyo
79,二人だけの国,0.674,0.698,0.459,0.000344,0.0399,-4.633,1,0.0279,83.991,4,0.664,83462,Japan,47ykT7pfFgvjCpk0c2MxBI
80,Slumberland,0.144,0.664,0.791,0.0,0.533,-6.683,0,0.0896,100.015,4,0.77,83356,Japan,1Q5l8ZfVn6kYwLJkGrBwZP
81,カタオモイ,0.78,0.619,0.534,0.0,0.331,-5.974,1,0.0344,96.986,4,0.792,82627,Japan,6g93YtKKHU2H1qIqhLIL0Y
82,ふたりの世界,0.015,0.365,0.748,0.0,0.106,-5.066,1,0.0387,197.951,4,0.509,82071,Japan,5xJgF12zKoxMqayN8YldLB
83,花束,0.0178,0.519,0.713,0.0,0.353,-3.612,1,0.0324,159.963,4,0.505,81659,Japan,3QIAwtEEDOrv0g5NKCGrXZ
84,Shallow,0.371,0.572,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323,81156,Japan,2VxeLyX666F8uXCJ0dZF8B
85,RAIN,0.206,0.527,0.741,1.16e-06,0.299,-3.855,1,0.027,97.938,4,0.5,80791,Japan,1mZWjML2zStB9lMOpU9vx4
86,Yes we are,0.00437,0.631,0.83,0.0,0.339,-5.886,0,0.074,127.897,4,0.717,80077,Japan,2LTD3HZawOhBaj0je219aA
