,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
38,モス,0.0404,0.501,0.92,3.07e-05,0.321,-3.229,0,0.0359,157.968,4,0.954,224559,Japan,4FdpXwtpJfRltvFuTcpNL6
39,鱗(うろこ),0.074,0.442,0.748,0.0,0.1,-5.448,1,0.0302,89.956,4,0.493,223604,Japan,4IubwxgmXeZtDtYjTaT9gN
40,真夏の夜の匂いがする,0.0566,0.474,0.86,3.57e-06,0.14,-2.022,1,0.0921,202.937,4,0.729,223239,Japan,34s49nvRfQy1kzx7DBqVRC
41,奏(かなで),0.553,0.519,0.666,0.000169,0.0948,-6.163,1,0.0262,149.839,4,0.461,222432,Japan,5RbMlPFL4gVyEHW2lEOuzG
42,リブート,0.0223,0.629,0.804,0.000565,0.0729,-2.546,0,0.0573,139.842,4,0.581,216740,Japan,5bTgpL0eRxUX8BLl0ZlGpL
43,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,216595,Japan,7qiZfU4dY1lWllzX7mPBI3
44,I Don't Care (with Justin Bieber),0.0902,0.798,0.676,0.0,0.0894,-5.041,1,0.0442,101.956,4,0.843,212454,Japan,0hVXuCcriWRGvwMV1r5Yn9
45,Beautiful People (feat. Khalid),0.124,0.64,0.647,0.0,0.0801,-8.114,0,0.186,92.979,4,0.546,210340,Japan,70eFcWOvlMObDhURTqT4Fv
46,君に届け,0.0162,0.449,0.872,0.0,0.188,-4.744,1,0.0747,144.128,4,0.523,209424,Japan,0kA7SWxWPYqSyIbMl51X5b
47,貴方解剖純愛歌〜死ね〜,0.0028,0.422,0.918,0.0,0.0409,-3.347,1,0.069,168.029,4,0.469,206352,Japan,2H3bOGOE50qEo5wAYoJiwL
48,Kimiga Kureta Natsu,0.31,0.51,0.615,0.0,0.117,-4.207,1,0.0283,169.814,4,0.463,206222,Japan,4bK6qPvD4xB8npRkZa1a55
49,恋音と雨空,0.0512,0.625,0.86,0.0,0.408,-4.456,1,0.0314,129.064,4,0.533,202830,Japan,46gSY0U7ZZCmd7EuJuo15N
50,点描の唄,0.447,0.502,0.632,0.0,0.103,-4.612,1,0.0273,152.014,4,0.308,165510,Japan,1sIIlVrnPhrvmTrHtzM7tV
51,bad guy,0.328,0.701,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562,165255,Japan,2Fxmhks0bxGSBdJ92vM42m
52,Rat-tat-tat,0.0517,0.582,0.944,0.0,0.088,-2.269,0,0.302,148.988,3,0.783,163595,Japan,5qqWTGgelCt5gqAfvkj6gG
53,CHEERS,0.072,0.636,0.807,0.0,0.265,-3.762,1,0.0509,133.049,4,0.594,160804,Japan,3VfcTMAgdty9VYOgeuyqiN
54,WanteD! WanteD!,0.025,0.559,0.806,0.0,0.0433,-2.461,1,0.0498,160.019,4,0.632,157820,Japan,7M3TZDUNvaNBo0qtWVaZif
55,バッドフォーミー,0.0153,0.497,0.8,0.0,0.253,-3.755,1,0.0299,167.073,4,0.578,156699,Japan,6rH3dc5bGzqrJv6ZARFfJX
56,丸ノ内サディスティック,0.113,0.425,0.916,0.000398,0.108,-2.909,1,0.118,199.694,4,0.659,148620,Japan,1mWN1USPKg632qQXG9sfDL
57,Wasted Nights,0.0156,0.556,0.833,0.0,0.0659,-5.29,1,0.0402,125.07,4,0.374,148076,Japan,39LyUQIy7idLxPdsjyZsxe
58,花束,0.0178,0.519,0.713,0.0,0.353,-3.612,1,0.0324,159.963,4,0.505,146690,Japan,3QIAwtEEDOrv0g5NKCGrXZ
59,Lights,0.112,0.625,0.663,0.0,0.105,-5.115,1,0.0302,98.998,4,0.398,144842,Japan,44vXWYTcdrejrIQZEoHzl8
60,Memories,0.837,0.764,0.32,0.0,0.0822,-7.209,1,0.0546,91.019,4,0.575,144605,Japan,2b8fOow8UzyDFAE27YhOZM
61,明日も,0.0142,0.415,0.857,0.0,0.0772,-1.696,1,0.048,178.919,4,0.663,142019,Japan,2GICOigS4ByugDisRegs3M
