,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,マリーゴールド,0.0452,0.545,0.745,0.0,0.0907,-3.098,1,0.0286,106.094,4,0.413,452614,Japan,2cKiHG16JBiqHdi7Llq0r7
1,Pretender,0.0406,0.526,0.86,0.0,0.129,-3.37,1,0.027,91.955,4,0.403,381133,Japan,5LkWXxDxUTwEVHL0pfKL55
2,白日,0.67,0.606,0.901,0.0,0.289,-2.552,1,0.11,93.012,4,0.748,333693,Japan,0mNO3xUzjsI17GXO1DRFCH
3,君はロックを聴かない,0.00135,0.524,0.687,0.0,0.169,-4.039,1,0.0267,99.919,4,0.619,319311,Japan,59eluCMn0XbOWqeWQ91FTM
4,I Don't Care (with Justin Bieber),0.0912,0.798,0.675,0.0,0.0894,-5.041,1,0.0442,101.956,4,0.842,294840,Japan,3HVWdVOQ0ZA45FuZGSfvns
5,今夜このまま,0.0254,0.441,0.852,0.0,0.0862,-3.595,1,0.0383,104.855,4,0.64,286700,Japan,6kKvmT4i0Dercz6f3kftg3
6,ハルノヒ,0.263,0.591,0.673,0.0,0.109,-2.445,1,0.0294,106.956,4,0.525,255163,Japan,7GYGVDPbi0zQUBIkuOPAY0
7,HANABI,0.156,0.638,0.766,0.0,0.124,-5.541,1,0.0268,112.0,4,0.595,220963,Japan,77lmDcPPyY6kK907gdgC6i
8,愛を伝えたいだとか,0.0345,0.673,0.85,1.14e-05,0.0943,-5.021,1,0.0337,100.008,4,0.793,215965,Japan,0N8Xztr4pBHJ7V0moJWhbO
9,小さな恋のうた,0.00465,0.403,0.87,0.0,0.139,-1.871,1,0.0474,115.398,4,0.549,213081,Japan,7swIKcU4tFRk4iFJpi12Fg
10,Wasted Nights,0.0156,0.556,0.833,0.0,0.0659,-5.29,1,0.0402,125.07,4,0.374,208629,Japan,39LyUQIy7idLxPdsjyZsxe
11,If I Can't Have You,0.524,0.692,0.809,0.0,0.147,-4.198,1,0.0602,123.911,4,0.864,206728,Japan,6LsAAHotRLMOHfCsSfYCsz
12,打上花火,0.288,0.625,0.668,0.0,0.107,-4.315,1,0.0249,95.968,4,0.292,206711,Japan,4IouQaO9GkaHC7AtMErdSa
13,ノーダウト,0.0585,0.574,0.936,0.0,0.336,-3.185,1,0.0701,149.954,4,0.792,203872,Japan,5DMEvbg3gUmiR5HIBWdveV
14,Boy With Luv (feat. Halsey),0.0923,0.645,0.862,0.0,0.192,-4.757,0,0.0965,119.991,4,0.798,203464,Japan,5KawlOMHjWeUjQtnuRs22c
15,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,198431,Japan,7qiZfU4dY1lWllzX7mPBI3
16,FANCY,0.0122,0.697,0.874,0.0,0.627,-2.15,0,0.045,132.022,4,0.775,197015,Japan,2FXd6kKCtBIc6UfN1gH1pA
17,bad guy,0.328,0.701,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562,196142,Japan,2Fxmhks0bxGSBdJ92vM42m
18,ワタリドリ,0.00141,0.508,0.964,0.0,0.197,-4.077,1,0.0831,134.982,4,0.609,194750,Japan,0ve9Tpz8Yw0I4eXhWsy21o
19,366日,0.675,0.378,0.426,0.0,0.207,-7.314,1,0.0308,152.03,4,0.184,194206,Japan,22aZD7yaGYfhgCYazL4nbc
20,クリスマスソング,0.128,0.404,0.705,0.0,0.123,-3.324,1,0.0315,154.02,4,0.42,192267,Japan,5P8ZvBQoCrujjNcLAxO3Su
21,高嶺の花子さん,0.066,0.54,0.923,0.0,0.124,-2.838,1,0.0623,137.977,4,0.343,189965,Japan,2jdbZGFp8KVTuk0YxDNL4l
22,さよならエレジー,0.00333,0.466,0.934,0.0,0.277,-2.739,1,0.0539,154.966,4,0.62,188874,Japan,0QKmcZNAST4GytJYmkN05D
23,ME! (feat. Brendon Urie of Panic! At The Disco),0.0291,0.614,0.839,0.0,0.112,-4.143,1,0.0702,182.123,4,0.657,187794,Japan,4MsUsFfWseB9M2plGJyuIw
24,愛をこめて花束を,0.151,0.37,0.8,3.33e-06,0.089,-3.403,1,0.0436,161.934,4,0.451,187614,Japan,7CmWXD3w1xOO53AAO4LRVQ
25,ハッピーエンド,0.047,0.359,0.648,2.43e-06,0.16,-3.36,0,0.0373,78.308,4,0.336,182518,Japan,0ssEfLe9aqPhMmLXKqBw6J
26,愛唄,0.0839,0.505,0.791,0.0,0.187,-3.729,1,0.0308,169.964,4,0.425,177551,Japan,7iXHLtPosbHvglVSJ4rxLq
27,Kill This Love,0.32,0.738,0.861,0.00175,0.325,-4.141,1,0.237,131.974,4,0.58,164736,Japan,4pUCKHjJ4Ijewc37rRrvHn
28,Wherever you are,0.0286,0.379,0.69,0.0,0.335,-4.79,1,0.0549,173.716,4,0.288,164472,Japan,0YAMQSmHk6BSUGTYpaoqTJ
29,貴方解剖純愛歌〜死ね〜,0.0028,0.422,0.918,0.0,0.0409,-3.347,1,0.069,168.029,4,0.469,163227,Japan,2H3bOGOE50qEo5wAYoJiwL
30,奏(かなで),0.553,0.519,0.666,0.000169,0.0948,-6.163,1,0.0262,149.839,4,0.461,162674,Japan,5RbMlPFL4gVyEHW2lEOuzG
31,青と夏,0.00184,0.31,0.887,0.0,0.291,-1.654,1,0.0463,184.91,4,0.745,162199,Japan,0a3587n25Xhw098UeEbeJq
32,Stand By You,0.00423,0.593,0.849,0.0,0.229,-4.833,1,0.0439,154.074,4,0.541,160786,Japan,0XvOvUbvflmXxU8yqnF8Cp
33,トリコ,0.0851,0.63,0.8,0.0,0.0618,-3.427,1,0.036,90.02,4,0.717,159165,Japan,7H5uStZMOGpcVw7eW0eyTi
34,恋音と雨空,0.0512,0.625,0.86,0.0,0.408,-4.456,1,0.0314,129.064,4,0.533,155055,Japan,46gSY0U7ZZCmd7EuJuo15N
35,SOS,0.272,0.802,0.645,0.0,0.119,-6.181,0,0.0715,100.001,4,0.376,153850,Japan,6nDKrPlXdpomGBgAlO7UdP
36,鱗(うろこ),0.074,0.442,0.748,0.0,0.1,-5.448,1,0.0302,89.956,4,0.493,152602,Japan,4IubwxgmXeZtDtYjTaT9gN
37,新宝島,0.00118,0.557,0.917,0.00914,0.419,-3.426,0,0.0757,158.0,4,0.653,151212,Japan,6ODZT1FGTE2q4two05giS1
38,Here With Me,0.0623,0.791,0.565,0.0,0.156,-3.933,0,0.0439,99.961,4,0.181,147503,Japan,5icOoE6VgqFKohjWWNp0Ac
39,Stand Out Fit In,0.0178,0.615,0.841,0.0,0.133,-5.352,1,0.0416,126.026,4,0.316,142469,Japan,4zXRMjTaeflesB3Ih4eHnJ
40,Story,0.427,0.586,0.632,0.0,0.109,-4.714,1,0.0268,125.94,4,0.391,141748,Japan,0V2axJ946WH1vt9t5SGMLV
41,キセキ,0.0932,0.641,0.618,0.0,0.155,-4.269,1,0.0259,90.032,4,0.338,137000,Japan,7ztdl6cnbJgHRdMkKldkts
42,Cross Me (feat. Chance the Rapper & PnB Rock),0.214,0.746,0.787,0.0,0.0669,-6.373,1,0.12,95.005,4,0.607,134412,Japan,543bCW2ruMPmxUBWirQ3MR
43,Sucker,0.0427,0.842,0.734,0.0,0.106,-5.065,0,0.0588,137.958,4,0.952,133873,Japan,4y3OI86AEP6PQoDE6olYhO
44,満月の夜なら,0.0107,0.547,0.949,0.0,0.377,-3.039,1,0.0841,97.041,4,0.783,133725,Japan,7DW5Dro8AHE7x19COl26E3
45,U.S.A.,0.0144,0.71,0.988,0.0,0.102,-1.594,1,0.0641,139.56,4,0.929,129740,Japan,5HXCP7b8k64WdZ1G0Bbc13
46,生きていたんだよな,0.244,0.601,0.901,0.0,0.0711,-2.516,1,0.0353,111.035,4,0.53,128311,Japan,69jrtjVjyzRyPCDg0dHYCX
47,アイノカタチ,0.0241,0.39,0.654,0.0,0.196,-6.247,1,0.0335,180.043,4,0.304,124492,Japan,76flsS3UnNr7UQIz6JmVT3
48,Change,0.00225,0.493,0.729,0.0,0.37,-5.157,1,0.0434,90.134,4,0.34,123768,Japan,0BOHIMI5EvhGuZSkWLwxIP
49,チェリー,0.207,0.652,0.806,5.53e-05,0.135,-3.203,1,0.0277,97.053,4,0.732,119798,Japan,5Tj1wsJ6wE3Mf1MD0uKGnu
50,Remember Me,0.00393,0.542,0.848,0.0,0.0848,-4.302,1,0.0496,125.991,4,0.381,111197,Japan,2urQz0oHV4icwbBDa6GYmA
51,My Boo,0.307,0.719,0.718,0.000178,0.0846,-4.996,1,0.0316,153.937,4,0.693,109345,Japan,2gasr6aemUqZIBBN05EO03
52,花束,0.0178,0.519,0.713,0.0,0.353,-3.612,1,0.0324,159.963,4,0.505,107400,Japan,3QIAwtEEDOrv0g5NKCGrXZ
53,ヒロイン,0.209,0.431,0.598,0.0,0.218,-3.733,1,0.0296,76.18,4,0.356,102955,Japan,3hBAYbAECEix9raaTq8S3H
54,君に届け,0.0162,0.449,0.872,0.0,0.188,-4.744,1,0.0747,144.128,4,0.523,102446,Japan,0kA7SWxWPYqSyIbMl51X5b
55,YES or YES,0.0514,0.702,0.913,3.71e-06,0.166,-2.977,1,0.0374,137.982,4,0.735,102310,Japan,184XtKkzoAl83quIarUAJP
56,WanteD! WanteD!,0.025,0.559,0.806,0.0,0.0433,-2.461,1,0.0498,160.019,4,0.632,100450,Japan,7M3TZDUNvaNBo0qtWVaZif
57,115万キロのフィルム,0.00345,0.516,0.791,0.0,0.141,-1.927,1,0.0318,96.921,4,0.48,99321,Japan,278JqkBGkjDovOYAwE8TW7
58,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",0.381,0.591,0.705,0.000116,0.131,-6.519,0,0.079,121.799,4,0.27,97553,Japan,3y3brCCecHC3Db18aIOnny
59,Slumberland,0.144,0.664,0.791,0.0,0.533,-6.683,0,0.0896,100.015,4,0.77,97120,Japan,1Q5l8ZfVn6kYwLJkGrBwZP
60,BLUE SAPPHIRE,0.0621,0.644,0.788,0.0,0.231,-7.295,0,0.0507,98.99,4,0.794,97028,Japan,4WkWq05mOmxDibjt10VrNi
61,7 rings,0.592,0.778,0.317,0.0,0.0881,-10.732,0,0.334,140.048,4,0.327,95765,Japan,6ocbgoVGwYJhOv1GgI9NsF
62,AM11:00,0.035,0.601,0.688,0.0,0.0978,-5.255,1,0.0288,98.015,4,0.252,93776,Japan,6YcvfXy4wTvjaIniIBuh30
63,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,93755,Japan,7BKLCZ1jbUBVqRi2FVlTVw
64,ら、のはなし,0.0814,0.568,0.802,2.17e-06,0.14,-4.5,1,0.0317,124.147,4,0.562,93624,Japan,2tgWF9EZzqiq4Qzdzeow1A
65,パプリカ,0.137,0.746,0.773,0.0,0.771,-5.04,1,0.0442,100.993,4,0.733,92420,Japan,0bdYJCO9clK9ew61Z7GqMf
66,The Beginning,8.83e-05,0.36,0.983,0.0,0.111,-2.352,1,0.101,182.058,4,0.279,92082,Japan,4f3nDjgqXurMryYBSp0TZD
67,だから僕は音楽を辞めた,0.36,0.65,0.88,0.00369,0.23,-5.326,1,0.0283,124.985,4,0.921,91870,Japan,5j7ixaLeGTGSv4DzKs0pCM
68,何度でも,0.213,0.551,0.768,0.0,0.253,-5.147,1,0.0386,100.037,4,0.35,91511,Japan,6Qq8UOS6QzeSYFUVXC5wEB
69,カタオモイ,0.78,0.619,0.534,0.0,0.331,-5.974,1,0.0344,96.986,4,0.792,90873,Japan,6g93YtKKHU2H1qIqhLIL0Y
70,Symphony (feat. Zara Larsson),0.239,0.715,0.605,1.41e-05,0.189,-5.128,0,0.0428,122.956,4,0.454,90717,Japan,72gv4zhNvRVdQA0eOenCal
71,Vinyl,0.0597,0.661,0.892,0.0,0.174,-3.83,1,0.111,90.018,4,0.728,90157,Japan,2zbWCme3Dvp8071b4R4nkY
72,Stay,0.253,0.69,0.622,0.0,0.113,-5.025,0,0.063,102.039,4,0.543,89837,Japan,0I20rLT2MJDhcF96AjbNYo
73,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,89618,Japan,2dpaYNEQHiRxtZbfNsse99
74,The Middle,0.171,0.753,0.657,0.0,0.112,-3.061,1,0.0449,107.01,4,0.437,88972,Japan,09IStsImFySgyp0pIQdqAc
75,ただ君に晴れ,0.343,0.679,0.834,5.74e-06,0.119,-3.223,1,0.032,139.996,4,0.962,88504,Japan,3wJHCry960drNlAUGrJLmz
76,Prayer X,0.423,0.527,0.752,0.0,0.181,-6.006,0,0.28,174.114,4,0.542,88498,Japan,6FMelWDNGnYBva29R4d0tq
77,丸ノ内サディスティック,0.113,0.425,0.916,0.000398,0.108,-2.909,1,0.118,199.694,4,0.659,88211,Japan,1mWN1USPKg632qQXG9sfDL
78,2002,0.0372,0.697,0.683,0.0,0.137,-2.881,0,0.117,96.133,4,0.603,88187,Japan,2BgEsaKNfHUdlh97KmvFyo
79,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.179,0.661,0.723,1.23e-05,0.14,-6.976,0,0.0566,113.778,4,0.316,88023,Japan,7Feaw9WAEREY0DUOSXJLOM
80,Easier,0.489,0.505,0.428,0.0,0.0977,-5.604,1,0.221,175.813,4,0.618,87962,Japan,4tNXntkAzQ5A2dfYRYGIIQ
81,光榮之橋,0.787,0.557,0.388,0.0,0.104,-6.509,1,0.0275,82.051,4,0.201,87302,Japan,5evI7NxwuZh8ktb5TtrxFs
82,Ca Va?,0.0507,0.732,0.888,1.26e-06,0.0654,-5.427,1,0.0761,111.012,4,0.389,87253,Japan,0nFV5hKjn1tOPfvtI8okQC
83,Sing Out!,0.489,0.52,0.822,2.38e-06,0.326,-4.515,1,0.0367,89.957,4,0.7,87088,Japan,6vSdQaCEnVrGoBaOL2dOzG
84,Kimiga Kureta Natsu,0.31,0.51,0.615,0.0,0.117,-4.207,1,0.0283,169.814,4,0.463,86537,Japan,4bK6qPvD4xB8npRkZa1a55
85,ロビンソン,0.586,0.636,0.81,0.0,0.151,-3.985,0,0.0277,111.053,4,0.622,86168,Japan,5YP52gnoypy9H1jg5RIwUW
86,What is Love?,0.0846,0.573,0.91,0.0,0.266,-1.578,1,0.064,169.982,4,0.602,86143,Japan,5Ek40FyMPprcvtyZDjqylX
87,ロマンチシズム,0.00505,0.606,0.881,0.0,0.0412,-3.141,1,0.0647,125.479,4,0.886,85837,Japan,7BwkDMUfGl0yttRXS13SAO
88,Pray,0.0058,0.58,0.636,0.0,0.337,-5.825,1,0.0293,89.871,4,0.268,85103,Japan,182OyyWbwrYpOgV2F5F01C
89,Rise,0.327,0.687,0.785,0.0,0.203,-4.65,1,0.0333,106.046,4,0.655,84688,Japan,3KLygy1YWhmrQx0GRs7IOx
90,EARFQUAKE,0.23,0.554,0.498,5.98e-06,0.795,-8.866,1,0.0685,79.635,4,0.413,84019,Japan,5hVghJ4KaYES3BFUATCYn0
91,あした世界が終わるとしても,0.0877,0.563,0.67,0.0,0.0984,-3.46,1,0.0313,99.022,4,0.568,83894,Japan,4cKEW1EDlagnqmExM6lVcm
92,TOKYO,0.000937,0.326,0.756,0.000157,0.105,-3.39,1,0.0351,81.232,4,0.538,81447,Japan,5BWGc0gLdrFpAwfn0dMdPT
93,In the Stars (feat. Kiiara),0.446,0.597,0.785,0.0,0.0821,-4.115,1,0.0617,157.974,4,0.193,81440,Japan,3VESewT7ERH2wtE5OyuKWH
94,ひまわりの約束,0.188,0.523,0.445,0.0,0.18,-6.359,1,0.0329,78.957,4,0.336,79899,Japan,45jGOHwYKgsRYbAJ8DR61d
95,Wonderland,0.325,0.724,0.829,0.000979,0.0855,-5.759,1,0.033,95.006,4,0.528,79887,Japan,3DMz5XiVasCKSHXgYrSc9i
96,獣ゆく細道,0.00496,0.4,0.908,1.46e-06,0.246,-2.352,0,0.0591,124.484,4,0.51,79699,Japan,1b8tkaZy5pnsrKj5ettPPf
97,帰り道は遠回りしたくなる,0.461,0.51,0.857,0.0,0.0793,-2.716,1,0.0404,138.064,4,0.684,78545,Japan,08XBLK5BlN5ZBLukMO49jy
98,"thank u, next",0.229,0.717,0.653,0.0,0.101,-5.634,1,0.0658,106.966,4,0.412,78035,Japan,3e9HZxeyfWwjeyPAMmWSSQ
99,Not Ok,0.0292,0.618,0.66,2.07e-06,0.325,-8.14,0,0.0372,105.0,4,0.408,77858,Japan,6aoGtdWXBkYQ2O2wnyIz2x
100,さくら,0.308,0.713,0.838,4.54e-06,0.235,-4.111,1,0.0257,119.992,4,0.848,77777,Japan,5rfUCmoI7axj6mjpu1Rto5
101,innocent world,0.158,0.612,0.664,0.0,0.278,-6.525,1,0.0267,119.826,4,0.662,77281,Japan,70xcWRujaf34LOu0Vdubtp
102,NAO,0.491,0.561,0.422,0.0,0.197,-6.602,1,0.0292,75.982,4,0.255,76336,Japan,2PeCrMLUayMPZnLZPkJxOJ
103,三日月,0.293,0.496,0.476,0.0,0.0771,-5.077,1,0.0266,143.758,4,0.405,76265,Japan,5SDVaYU4nfaIV0rNSlWSCa
104,I LOVE YOU,0.579,0.303,0.452,0.0,0.0847,-5.877,1,0.0341,71.409,3,0.253,76166,Japan,0mf82mK5aeZm4vN9HM2InQ
105,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.0337,0.664,0.708,0.0,0.0841,-4.154,1,0.0474,103.07,4,0.742,75496,Japan,5Gu0PDLN4YJeW75PpBSg9p
106,明日も,0.0142,0.415,0.857,0.0,0.0772,-1.696,1,0.048,178.919,4,0.663,75352,Japan,2GICOigS4ByugDisRegs3M
107,僕のこと,0.0151,0.436,0.705,0.0,0.142,-3.808,1,0.0538,159.972,4,0.439,75153,Japan,27VzBf5TfcPrhoylqxQ46v
108,Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913,74897,Japan,3KkXRkHbMCARz0aVfEt68P
109,Ambitious,0.00745,0.486,0.801,0.000346,0.123,-4.334,1,0.0386,131.874,4,0.413,74876,Japan,6Ch42vMAxSrEWPeZ5UKP6h
110,バッドフォーミー,0.0588,0.462,0.783,0.0,0.285,-2.799,1,0.031,167.011,4,0.462,74684,Japan,5bIqpSL4zYypm5yhsOy7wX
111,Old Town Road (feat. Billy Ray Cyrus) - Remix,0.0533,0.878,0.619,0.0,0.113,-5.56,1,0.102,136.041,4,0.639,73752,Japan,6u7jPi22kF8CTQ3rb9DHE7
112,3月9日,0.335,0.487,0.422,0.000887,0.174,-7.729,1,0.027,77.969,4,0.433,73633,Japan,2U0RKuknHTQPIuKw2gDTHI
113,100万回の「I love you」,0.175,0.566,0.886,0.0,0.254,-3.588,1,0.0425,113.966,4,0.537,73484,Japan,082OJUNr9ZO4cApGqYouUx
114,Dancing With A Stranger (with Normani),0.45,0.741,0.52,1.97e-06,0.222,-7.513,1,0.0656,102.998,4,0.347,73482,Japan,6Qs4SXO9dwPj5GKvVOv8Ki
115,Sugar,0.0553,0.744,0.783,0.0,0.086,-7.077,1,0.0337,120.042,4,0.885,72866,Japan,0ljEFYEFuqspdPCWn75FPP
116,Talk (feat. Disclosure),0.0516,0.9,0.4,0.0,0.0599,-8.575,1,0.127,135.984,4,0.346,72401,Japan,6TqXcAFInzjp0bODyvrWEq
117,桜,0.531,0.462,0.414,0.0,0.119,-7.392,1,0.0251,83.474,4,0.342,71839,Japan,5Hi4IAtdFZzg6IfAVMd6lZ
118,Wake Me Up,0.0038,0.532,0.783,0.0012,0.161,-5.697,1,0.0523,124.08,4,0.643,71637,Japan,4h8VwCb1MTGoLKueQ1WgbD
119,どんなときも。,0.344,0.691,0.809,0.000479,0.0893,-7.417,1,0.0291,123.827,4,0.915,71374,Japan,4feDzcxtXRU8clyOluco5Y
120,Shake It Off,0.0647,0.647,0.8,0.0,0.334,-5.384,1,0.165,160.078,4,0.942,71190,Japan,0cqRj7pUJDkTCEsJkx8snD
121,シンクロニシティ,0.603,0.571,0.923,0.0,0.0585,-3.64,1,0.04,135.941,4,0.468,71164,Japan,77m6PiiPEQGUxjNELzMyiF
122,ヒーロー,0.0502,0.622,0.818,0.0,0.392,-4.101,1,0.0324,120.974,4,0.572,71126,Japan,5iSNxrAoctBnFfyz8J9bDO
123,FAKE LOVE,0.00267,0.557,0.719,0.0,0.306,-4.515,0,0.0372,77.501,4,0.344,70947,Japan,3aW0ds4A4tSQDIp75FqWTo
124,ハナミズキ,0.451,0.49,0.451,0.0,0.343,-5.47,1,0.0288,139.722,4,0.299,70536,Japan,4PqDkR6YM80Sy590Qsy6mm
125,Silent Majority,0.266,0.583,0.952,0.0,0.314,-2.491,1,0.0803,123.029,4,0.812,70302,Japan,7b7U8EnH4gB3a9qphGYVoj
126,RAIN,0.206,0.527,0.741,1.16e-06,0.299,-3.855,1,0.027,97.938,4,0.5,70279,Japan,1mZWjML2zStB9lMOpU9vx4
127,楓,0.198,0.419,0.726,0.708,0.0916,-4.443,1,0.0332,80.011,4,0.367,70171,Japan,73xYYths9kvmFvYsd9gC9Z
128,ヒカリヘ,0.322,0.563,0.908,1.05e-05,0.52,-2.528,1,0.0319,132.023,4,0.343,69860,Japan,7mlHSPccMPEiGYxWUqEURC
129,さよならの前に,0.0364,0.545,0.853,0.0,0.117,-4.699,1,0.029,98.02,4,0.525,69486,Japan,7vwXjDrZT2mqiFynlEwwgG
130,HOME,0.0197,0.577,0.618,0.0,0.102,-4.07,1,0.0282,79.993,4,0.577,69248,Japan,5PF0IW8iHqOcTWAyRqiDzb
131,Who Do You Love,0.00791,0.51,0.835,0.0,0.219,-4.673,1,0.0447,140.024,4,0.435,69059,Japan,5QiNbIilmMiMBXvaAlf7lN
132,Wolves,0.124,0.724,0.804,0.0,0.204,-4.614,0,0.0448,124.987,4,0.306,68873,Japan,0tBbt8CrmxbjRP0pueQkyU
133,ふたりの世界,0.015,0.365,0.748,0.0,0.106,-5.066,1,0.0387,197.951,4,0.509,68725,Japan,5xJgF12zKoxMqayN8YldLB
134,Nightmare,0.0188,0.611,0.622,0.0,0.359,-5.075,0,0.0734,146.11,4,0.538,68506,Japan,340UVheS8z3ncW9TTUhAbc
135,The hole,0.655,0.51,0.445,0.0,0.11,-6.014,0,0.0255,75.012,4,0.111,68350,Japan,6aPDcQqxHILkKLqDdtIKu7
136,"A Whole New World (End Title) - From ""Aladdin""",0.0575,0.302,0.414,0.0,0.0861,-8.16,1,0.0319,110.508,4,0.105,68327,Japan,1iWHabUgUuuKLBa0TzTHfk
137,Sweet but Psycho,0.0691,0.719,0.704,0.0,0.166,-4.724,1,0.0476,133.002,4,0.628,68283,Japan,25sgk305KZfyuqVBQIahim
138,にじいろ,0.121,0.643,0.569,0.0,0.0752,-4.401,1,0.0232,91.966,4,0.62,67721,Japan,3JrxNi0sQ1Lnx8eGonp3Ma
139,みんな空の下,0.39,0.514,0.58,0.0,0.234,-5.269,1,0.0291,151.83,4,0.475,67223,Japan,5jc5WQlrri3B5MkLByPsuv
140,What Do You Mean?,0.59,0.845,0.567,0.00142,0.0811,-8.118,0,0.0956,125.02,4,0.793,66438,Japan,4B0JvthVoAAuygILe3n4Bs
