,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Angst,Loredana,5409842,https://open.spotify.com/track/3R3rQ7FbTJdsi5She10YvI
2,Sip,Luciano,3612132,https://open.spotify.com/track/4D4tA2ara3ihoOvjupr8cG
3,Matrix,Apache 207,3525814,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
4,Blinding Lights,The Weeknd,3484828,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,6 Uhr,Samra,3276234,https://open.spotify.com/track/57e7dy1hUpKVg1aUvKkx5R
6,100k Cash,Capital Bra,2904774,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8
7,D A YYY T O N A,Dardan,2725925,https://open.spotify.com/track/5Bj9rLRVpf5xxQwhlyOOeh
8,Roller,Apache 207,2670478,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
9,Baby,Joker Bra,2609760,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
10,Breaking Me,Topic,2484747,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,Dance Monkey,Tones And I,2196573,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,The Box,Roddy Ricch,2193207,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,Kein Wort,Juju,2174492,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
14,Mios mit Bars,Luciano,2170241,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
15,U23 (feat. Z),Mert,2119367,https://open.spotify.com/track/1iGM29PpHTyrra18Ft0w7O
16,Roses - Imanbek Remix,SAINt JHN,2089549,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
17,Lass los,Dhurata Dora,1955026,https://open.spotify.com/track/0K5vPCPPPQYzrKHc17qB1I
18,Rich Rich,Ufo361,1849854,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
19,Weiss,Samra,1804988,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
20,In Your Eyes (feat. Alida),Robin Schulz,1760721,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
21,Karakol,Capo,1664627,https://open.spotify.com/track/0rl7zpqNO7xPbe2CDvyoks
22,GRIND,Fler,1663586,https://open.spotify.com/track/0oFrTaO9UIgqu6MuzkFu7B
23,Remember,Nimo,1642861,https://open.spotify.com/track/3yXXNEh8zkNo8hxDjr1tLj
24,Falling,Trevor Daniel,1598793,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
25,Don't Start Now,Dua Lipa,1546075,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
26,Zu Ende,Samra,1504573,https://open.spotify.com/track/0Vl4eICpXMjtiK0RhdaWov
27,200 km/h,Apache 207,1468086,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
28,Schüsse im Regen,Samra,1457776,https://open.spotify.com/track/3RgJvQlTg7tp5mXtylDXYx
29,Treppenhaus,LEA,1407828,https://open.spotify.com/track/3l72nWivgNKYMFC7OwMEO0
30,Close Your Eyes,Felix Jaehn,1373827,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
31,AUF WIEDERSEHEN,Mozzik,1322796,https://open.spotify.com/track/6JZrs7FFUkTpinCxM1DG3E
32,Para,Veysel,1301890,https://open.spotify.com/track/1UjEKkdgoOwJhqSZqBrpO0
33,What If I Told You That I Love You,Ali Gatie,1298357,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
34,Intentions (feat. Quavo),Justin Bieber,1286949,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
35,110,Capital Bra,1282737,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
36,Godzilla (feat. Juice WRLD),Eminem,1262613,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
37,Alien,RIN,1238598,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
38,Skifahren (feat. Joshi Mizu),The Cratez,1206679,https://open.spotify.com/track/7qwWwsa6otLM0UOEamls4s
39,No Time To Die,Billie Eilish,1179442,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
40,Donuts,Gzuz,1176566,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo
41,KRIMINELL,Kianush,1174067,https://open.spotify.com/track/3ecKtWMr8HK99YOs7L6Ps3
42,Mon Ami,Samra,1171863,https://open.spotify.com/track/1R4xkZXQUQ8QJtAdwHkSgC
43,Nur wegen dir,Nimo,1157293,https://open.spotify.com/track/0ui2kVwPZKHaZxGhdIzBrp
44,Schlafen,Ufo361,1151381,https://open.spotify.com/track/7cV5zRs2cXP0H9e29UMI7Z
45,Ride It,Regard,1122014,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
46,Wieso tust Du dir das an?,Apache 207,1093172,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
47,2002,Sido,1087575,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
48,Vermissen (feat. Henning May),Juju,1070206,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
49,ROXANNE,Arizona Zervas,1042473,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
50,Moral of the Story,Ashe,1023073,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
51,Physical,Dua Lipa,1010896,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
52,Hauseingang,Pashanim,1001899,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
53,Turn Me On (feat. Vula),Riton,987392,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
54,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,965933,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
55,6AM.........,Dardan,962684,https://open.spotify.com/track/36J10AwMabBYxgNrV2S8gd
56,Passt mir so gar nicht,Joker Bra,959881,https://open.spotify.com/track/7AUPR6VYsmTu8LwDuJVgCe
57,Ausgehen,AnnenMayKantereit,958102,https://open.spotify.com/track/3Ve0ag71EeiQalsl7Ha4Dw
58,death bed (coffee for your head),Powfu,953431,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
59,everything i wanted,Billie Eilish,952930,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
60,Life Is Good (feat. Drake),Future,949634,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
61,Keine Liebe,RIN,947377,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
62,Say So,Doja Cat,947356,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
63,Tilidin,Capital Bra,939876,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
64,Mashkal,JURI,935355,https://open.spotify.com/track/40Mv1ga6Ue4zOYRR1RYU9P
65,bad guy,Billie Eilish,934434,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
66,CYBERPUNK,Kianush,932627,https://open.spotify.com/track/36hWOly5M1ZpbXPXAlKNjH
67,Revenge,Elias,926070,https://open.spotify.com/track/0VLwCyZ3QIvPXhPXhaiZfk
68,"Alone, Pt. II",Alan Walker,913493,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
69,Before You Go,Lewis Capaldi,912023,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
70,Someone You Loved,Lewis Capaldi,908582,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
71,RITMO (Bad Boys For Life),Black Eyed Peas,907002,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
72,Verkackt,Gzuz,898501,https://open.spotify.com/track/0C6bsQq58Ue1XfL5PKTO6D
73,Doch in der Nacht,Apache 207,895385,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
74,Lose Control,MEDUZA,888719,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
75,Ayy Macarena,Tyga,886923,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
76,You should be sad,Halsey,878458,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
77,Ich hol dich ab,Jamule,875989,https://open.spotify.com/track/2rWnTpXD0jq5lymyg4xIKQ
78,COLT,Samra,861791,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
79,Kein Problem,Apache 207,843754,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s
80,CHING CHING CHING,Farid Bang,834162,https://open.spotify.com/track/32ojM1s5NBAmuSzkJhS8aP
81,KEIN SCHLAF,Nimo,821408,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
82,Circles,Post Malone,801498,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
83,Sunday Best,Surfaces,801203,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
84,Never Seen the Rain,Tones And I,792746,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
85,Egal,Michael Wendler,780123,https://open.spotify.com/track/7rjW2CVIOmmQ7U5CGiZcnG
86,Alles was ich hab,Fynn Kliemann,778048,https://open.spotify.com/track/1GHgDIODujliWFayEhHx1n
87,Play With Fire,Nico Santos,766658,https://open.spotify.com/track/240BX4w7PFkHptDrSVZgbA
88,CASINO ROYAL,Kianush,766537,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
89,Tusa,KAROL G,758235,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
90,Stupid Love,Lady Gaga,736903,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
91,Shababs botten,Pashanim,734777,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
92,hot girl bummer,blackbear,726804,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
93,Wieder Lila,Samra,725784,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
94,Run Run Run (feat. Yung Kafa & Kücük Efendi) - Remix,Capo,715215,https://open.spotify.com/track/0tkLWl3McmxUhh72cdCdT1
95,Bin da,Veysel,710602,https://open.spotify.com/track/2fzPZOozISzcAU7FSwkN7g
96,Blueberry Faygo,Lil Mosey,706649,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
97,Salt,Ava Max,704528,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
98,Ey Hawar,Eno,698526,https://open.spotify.com/track/26rsUvXxz1wtraMXXcAxpE
99,Memories,Maroon 5,696382,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
100,CASINO,Katja Krasavice,685236,https://open.spotify.com/track/5rywC2PH49hTpJLXxwGlpE
101,Sex mit dir,Apache 207,683140,https://open.spotify.com/track/0PEwVF6TStGXMTnQMAk9kl
102,KK,KASIMIR1441,682757,https://open.spotify.com/track/6IwbgA2lca6IZZvo2wCL6Q
103,Some Say - Felix Jaehn Remix,Nea,664184,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
104,That Way - Bonus Track,Lil Uzi Vert,663541,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
105,Light,Jerome,661340,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
106,Señorita,Shawn Mendes,661004,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
107,"Para, Money, E's",JIGGO,649554,https://open.spotify.com/track/1CbFX5cBnMVVwBBI4ssF2G
108,The Passenger (LaLaLa) [feat. MOKABY],LUM!X,643917,https://open.spotify.com/track/2A0CxheiQGQdCiKtOR7jMP
109,Eiskalt,Loredana,639009,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU
110,Honda Civic,The Cratez,638912,https://open.spotify.com/track/7nkN1tnFIZIIS4P5q4Krmb
111,Mary,Bausa,635623,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV
112,500 PS,Bonez MC,635116,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
113,Supalonely,BENEE,626251,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
114,Yummy,Justin Bieber,623288,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
115,Kommunikation,Eno,623017,https://open.spotify.com/track/2LyG4XgcCVljU2BZpRpxYX
116,KARMA - REMIX,Nimo,612641,https://open.spotify.com/track/61aoSsRb1W9R1ed5GZjz4K
117,Monster,LUM!X,612010,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
118,Boss Bitch,Doja Cat,609561,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
119,AMEX BLACK,Joker Bra,604188,https://open.spotify.com/track/0dv22i02nk3o8JwmK6BwjI
120,Letzte Träne,Kontra K,602725,https://open.spotify.com/track/1FuJKBi6XdFyf8Yzmck468
121,KARMA,Nimo,596401,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t
122,I Love Me,Demi Lovato,595774,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
123,HIGHEST IN THE ROOM,Travis Scott,595348,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
124,After Hours,The Weeknd,593675,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
125,What A Man Gotta Do,Jonas Brothers,592620,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
126,Better,Lena,583296,https://open.spotify.com/track/3jCMdvc8bFOKChETbFV9Zc
127,lovely (with Khalid),Billie Eilish,572622,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
128,Sag Wieso,Lil Lano,570043,https://open.spotify.com/track/5TELAde0F3gYZF4l2m6RXp
129,Fingertips,Tom Gregory,569508,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
130,Sandmann,le Shuuk,565355,https://open.spotify.com/track/7AO4SbDUqGQ3vY6SQYEFRZ
131,Dior,Pop Smoke,558359,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
132,Vor der Tür,Gzuz,554390,https://open.spotify.com/track/0LPRq5I35z8FoqYo84xn48
133,WAS'N TYP,Moe Phoenix,553761,https://open.spotify.com/track/3psaDy7UhAPVFjq5q5Kyep
134,gENAuSo,Dardan,553514,https://open.spotify.com/track/5nmVf5dSgH4A25qsev28Mi
135,God Is A Dancer (with Mabel),Tiësto,548373,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
136,Feel Me,Selena Gomez,544809,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
137,Adore You,Harry Styles,534678,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
138,P2,Lil Uzi Vert,530788,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
139,Der Bratan bleibt der gleiche,Capital Bra,530446,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
140,Es tut schon wieder weh,Pietro Lombardi,520313,https://open.spotify.com/track/3C0clLWH3HLuZy0bX5ie3U
141,Castles,Freya Ridings,516705,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
142,Stars,VIZE,515319,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet
143,PHANTOM (feat. Summer Cem),reezy,514488,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU
144,To Die For,Sam Smith,507388,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
145,Piece Of Your Heart,MEDUZA,505446,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
146,Hi Babe,Juju,499439,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs
147,Big Drip,Ufo361,496185,https://open.spotify.com/track/4qOesAYiMiMFiZrn2wfkl6
148,I Don't Care (with Justin Bieber),Ed Sheeran,495997,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
149,Summer Cem (feat. Luciano),Summer Cem,495701,https://open.spotify.com/track/1hrHUEYoVBC1hNCXkX7tIA
150,Benzo,Elias,494763,https://open.spotify.com/track/2eAtC4umRoDcvRcsyFzGL9
151,Hoch,Tim Bendzko,493615,https://open.spotify.com/track/7gqefhSJfWyN1qQ2huvEze
152,Maschine,RAF Camora,491537,https://open.spotify.com/track/0C6NMPWYqsLIuuYSNP8KqE
153,My Oh My (feat. DaBaby),Camila Cabello,488680,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
154,Thank You [Not So Bad],VIZE,487788,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
155,Blei (feat. Veysel),Kontra K,487207,https://open.spotify.com/track/0Cy2x4vkNHiZ2Z3XiZE5Yu
156,Beautiful People (feat. Khalid),Ed Sheeran,484513,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
157,Baby Pluto,Lil Uzi Vert,478192,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
158,Adriana,RAF Camora,472086,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt
159,Nur zur Info,Ufo361,471345,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi
160,Lucid Dreams,Juice WRLD,469845,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
161,Huracan,Samra,469032,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
162,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,468693,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
163,2 Minuten,Apache 207,468257,https://open.spotify.com/track/1u5jYTx2WdptYWYpwqcE9n
164,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,466160,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
165,Puta Madre - Bonustrack,RAF Camora,463457,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO
166,Bro,Kalazh44,463312,https://open.spotify.com/track/0toxV1s9VQxeDQPhSoB1YG
167,WHATS POPPIN,Jack Harlow,461773,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
168,Ohne mein Team,Bonez MC,460672,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
169,Genick,Loredana,459618,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
170,Underdog,Alicia Keys,457535,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
171,Brot nach Hause,Apache 207,455570,https://open.spotify.com/track/5e0bzcsI1khimLSJhddHdS
172,Dior 2001,RIN,452723,https://open.spotify.com/track/6WusSsncC0Oo9sFHKwQii6
173,Kein Plan,Loredana,451679,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
174,Alge,Knossi,449746,https://open.spotify.com/track/69nrq6NeLYbKJIv21ORgQ4
175,Rescue Me,OneRepublic,448818,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
176,Seele,Azet,446382,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx
177,Jetzt rufst du an,Loredana,445905,https://open.spotify.com/track/46QHfb0an5B7cgHRfuDHas
178,T-Shirt,KASIMIR1441,445507,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
179,Himmel grau,Kontra K,444523,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
180,Gimme! Gimme! Gimme!,GAMPER & DADONI,444189,https://open.spotify.com/track/4zLSkwZaiMfzzapPCbdG90
181,Viva la Dealer,SDP,442420,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
182,CITY OF ANGELS,24kGoldn,440331,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
183,Sweet but Psycho,Ava Max,439556,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
184,Forever (feat. Post Malone & Clever),Justin Bieber,436223,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
185,In My Mind,Dynoro,431767,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
186,Erfolg ist kein Glück,Kontra K,431764,https://open.spotify.com/track/4xuVfUXkHe1YZZZWNICGcV
187,rockstar (feat. 21 Savage),Post Malone,431007,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
188,La Difícil,Bad Bunny,430924,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
189,Blockparty,Symba,430266,https://open.spotify.com/track/1MkDGQvM8CRrMIcHxjTni5
190,Warnung,Kontra K,429406,https://open.spotify.com/track/2FPkRkjYQ4S8g1gVBslCfU
191,Pyramiden,Sido,429057,https://open.spotify.com/track/7BQPDR1Zze52cysgBnUC3X
192,Unnormal,RAF Camora,427584,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI
193,Higher Love,Kygo,426157,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
194,1000 Hits,Jamule,425693,https://open.spotify.com/track/2L0hkkXKyXOlxQNJkn8k4Y
