,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Ayy Macarena",Tyga,8883283,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
55,"Look At Her Now","Selena Gomez",8838709,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
56,"Into the Unknown","Idina Menzel",8711295,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
57,"Yellow Hearts","Ant Saunders",8631681,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
58,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,8615169,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
59,"Mean It",Lauv,8536243,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
60,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",8457215,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
61,Aventura,Lunay,8444583,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
62,"Holly Jolly Christmas","Michael Bublé",8368170,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
63,"Old Town Road - Remix","Lil Nas X",8363507,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
64,"It's You","Ali Gatie",8268559,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
65,Shallow,"Lady Gaga",8185172,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
66,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",8175998,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
67,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,8166053,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
68,"7 rings","Ariana Grande",8141345,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
69,"Up All Night",Khalid,8108093,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
70,"lovely (with Khalid)","Billie Eilish",8107035,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
71,"Der Bratan bleibt der gleiche","Capital Bra",7909105,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
72,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",7839092,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
73,"when the party's over","Billie Eilish",7810964,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
74,Indeciso,Reik,7788540,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
75,"Si Te Vas",Sech,7783128,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
76,Quizas,"Rich Music LTD",7776616,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
77,"LOYAL (feat. Drake)",PARTYNEXTDOOR,7762254,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
78,"Underneath the Tree","Kelly Clarkson",7654743,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
79,"Feliz Navidad","José Feliciano",7517050,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
80,"Hola - Remix",Dalex,7481957,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
81,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",7465470,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
82,"Yo x Ti, Tu x Mi",ROSALÍA,7372721,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
83,Graveyard,Halsey,7286914,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
84,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",7190131,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
85,"Truth Hurts",Lizzo,7072070,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
86,Happier,Marshmello,7032791,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
87,Tutu,Camilo,7017981,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
88,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",6977896,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
89,"Driving Home for Christmas - 2019 Remaster","Chris Rea",6930566,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
90,"Money In The Grave (Drake ft. Rick Ross)",Drake,6918318,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
91,Fantasía,Ozuna,6692952,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
92,"Follow God","Kanye West",6678278,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
93,"Piece Of Your Heart",MEDUZA,6670729,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
94,"223's (feat. 9lokknine)","YNW Melly",6664824,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
95,"Bohemian Rhapsody - Remastered 2011",Queen,6663611,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
96,"Soltera - Remix",Lunay,6638573,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
97,"No Guidance (feat. Drake)","Chris Brown",6608084,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
98,"Without Me",Halsey,6568029,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
99,Woah,"Lil Baby",6541722,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
100,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",6535564,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
101,Believer,"Imagine Dragons",6475087,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"White Christmas","Bing Crosby",6460800,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
103,Wow.,"Post Malone",6426566,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
104,"No Idea","Don Toliver",6380903,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
105,Sucker,"Jonas Brothers",6377966,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
106,"Ballin' (with Roddy Ricch)",Mustard,6274804,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
107,Candy,"Doja Cat",6235278,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
