,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",64681075,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,DÁKITI,"Bad Bunny",28696860,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"Blinding Lights","The Weeknd",22885490,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Mood (feat. iann dior)",24kGoldn,21809952,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Good Days",SZA,20809013,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
6,BICHOTA,"KAROL G",20480781,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
7,positions,"Ariana Grande",19623916,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
8,"WITHOUT YOU","The Kid LAROI",19164739,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,Bandido,"Myke Towers",18916804,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
10,"Save Your Tears","The Weeknd",18909322,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,Whoopty,CJ,18234437,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
12,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",17011524,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
13,Dynamite,BTS,16857254,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
14,Anyone,"Justin Bieber",16820159,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
15,"LA NOCHE DE ANOCHE","Bad Bunny",16324670,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
16,"Levitating (feat. DaBaby)","Dua Lipa",16257265,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,"Hecha Pa' Mi",Boza,16112250,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
18,34+35,"Ariana Grande",16062347,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,"Lo Vas A Olvidar (with ROSALÍA)","Billie Eilish",15707778,https://open.spotify.com/track/0psS4i5YooJrXfDnGvWRLi
20,"The Business",Tiësto,15353388,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
21,Streets,"Doja Cat",15015995,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
22,"you broke me first","Tate McRae",14483512,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
23,"Therefore I Am","Billie Eilish",14479035,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
24,"What You Know Bout Love","Pop Smoke",13837963,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
25,"Paradise (feat. Dermot Kennedy)",MEDUZA,12808538,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
26,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",12686567,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
27,"Someone You Loved","Lewis Capaldi",12671460,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
28,Hawái,Maluma,12529435,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
29,"Watermelon Sugar","Harry Styles",12347071,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,"Head & Heart (feat. MNEK)","Joel Corry",12158063,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
31,"Prisoner (feat. Dua Lipa)","Miley Cyrus",12124847,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
32,Reloj,"Rauw Alejandro",12104238,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
33,"WAP (feat. Megan Thee Stallion)","Cardi B",11872534,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
34,"Lonely (with benny blanco)","Justin Bieber",11550391,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
35,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,11075135,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
36,"La Nota","Manuel Turizo",11045119,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
37,HOLIDAY,"Lil Nas X",11015671,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
38,willow,"Taylor Swift",11014318,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
39,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",10992492,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
40,"Dance Monkey","Tones And I",10834821,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
41,Afterglow,"Ed Sheeran",10824137,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
42,"Roses - Imanbek Remix","SAINt JHN",10769041,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
43,"Sweater Weather","The Neighbourhood",10734700,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
44,Heather,"Conan Gray",10555074,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
45,Snowman,Sia,10398492,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
46,"Don't Start Now","Dua Lipa",10084123,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
47,BEBÉ,Camilo,9940187,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
48,"GIRL LIKE ME","Black Eyed Peas",9835755,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
49,"Chica Ideal","Sebastian Yatra",9687098,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
50,Skin,"Sabrina Carpenter",9685913,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
51,"Before You Go","Lewis Capaldi",9651559,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
52,"Heat Waves","Glass Animals",9646836,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
53,"Ropa Cara",Camilo,9495323,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
54,Antes,"Anuel AA",9279019,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
55,Goosebumps,HVME,9258658,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
