,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,All I Want for Christmas Is You,Mariah Carey,1225813,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,Rockin' Around The Christmas Tree,Brenda Lee,1159235,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
3,Last Christmas,Wham!,1120865,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,Jingle Bell Rock,Bobby Helms,1090275,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
5,It's Beginning to Look a Lot like Christmas,Michael Bubl?,1061044,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
6,Santa Tell Me,Ariana Grande,1007293,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
7,It's the Most Wonderful Time of the Year,Andy Williams,973589,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
8,Mood (feat. iann dior),24kGoldn,922373,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,818530,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
10,Whoopty,CJ,790763,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
11,The Christmas Song (Merry Christmas To You),Nat King Cole,785896,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
12,Snowman,Sia,771682,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
13,WITHOUT YOU,The Kid LAROI,769303,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
14,Underneath the Tree,Kelly Clarkson,756099,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
15,Do They Know It's Christmas? - 1984 Version,Band Aid,751236,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
16,Feliz Navidad,Jos? Feliciano,734801,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
17,Sleigh Ride,The Ronettes,730661,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
18,Holly Jolly Christmas,Michael Bubl?,729924,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
19,positions,Ariana Grande,725432,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
20,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,720777,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
