,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,"thank u, next",Ariana Grande,2929260,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,BAD!,XXXTENTACION,1377473,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
3,ZEZE (feat. Travis Scott & Offset),Kodak Black,1263344,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1259867,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
5,SICKO MODE,Travis Scott,1259676,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,Mo Bamba,Sheck Wes,1172734,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
7,Without Me,Halsey,1094375,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,Happier,Marshmello,1046163,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,978885,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
10,Better,Khalid,913627,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
11,Drip Too Hard (Lil Baby & Gunna),Lil Baby,873487,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
12,MIA (feat. Drake),Bad Bunny,865990,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,860602,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
14,Shallow,Lady Gaga,766769,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
15,when the party's over,Billie Eilish,752954,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
16,Lucid Dreams,Juice WRLD,723979,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,No Stylist (feat. Drake),French Montana,702167,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
18,Space Cadet (feat. Gunna),Metro Boomin,681759,https://open.spotify.com/track/5gub2bpJRgJP4m4MliqtdV
19,Armed And Dangerous,Juice WRLD,674571,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
20,10 Freaky Girls (with 21 Savage),Metro Boomin,656090,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW
21,Falling Down - Bonus Track,Lil Peep,634359,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
22,Nonstop,Drake,629629,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
23,Better Now,Post Malone,621267,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,Eastside (with Halsey & Khalid),benny blanco,618442,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
25,Youngblood,5 Seconds of Summer,590315,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
26,I Love It (& Lil Pump),Kanye West,587141,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
27,Bad Liar,Imagine Dragons,578840,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
28,Suncity (feat. Empress Of),Khalid,575231,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
29,SAD!,XXXTENTACION,551972,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
30,Taste (feat. Offset),Tyga,548782,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
31,Natural,Imagine Dragons,531793,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
32,Leave Me Alone,Flipp Dinero,528712,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
33,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,521365,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0
34,Money,Cardi B,518582,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
35,Moonlight,XXXTENTACION,508701,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
36,breathin,Ariana Grande,504440,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
37,Don't Come Out The House (with 21 Savage),Metro Boomin,502064,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U
38,Fine China,Future,498120,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
39,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,497116,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
40,Wake Up in the Sky,Gucci Mane,496254,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
41,Topanga,Trippie Redd,493175,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
42,In My Feelings,Drake,492335,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
43,Kiss and Make Up,Dua Lipa,485482,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
44,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,475703,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
45,Noticed,Lil Mosey,473684,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
46,Woman Like Me (feat. Nicki Minaj),Little Mix,468582,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
47,Girls Like You (feat. Cardi B),Maroon 5,452283,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
48,Bohemian Rhapsody - Remastered 2011,Queen,443835,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
49,Lucky You (feat. Joyner Lucas),Eminem,443795,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
50,I Like It,Cardi B,424171,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
51,POP/STARS,K/DA,421556,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
52,Killshot,Eminem,417631,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
53,Sweet but Psycho,Ava Max,406234,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
54,rockstar (feat. 21 Savage),Post Malone,404880,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
55,1400 / 999 Freestyle,Trippie Redd,400613,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
56,Know Me,NAV,400465,https://open.spotify.com/track/2e3oSed7fWKJ63VCxtMAAH
57,Ruin My Life,Zara Larsson,395106,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
58,Always Remember Us This Way,Lady Gaga,389311,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
59,God is a woman,Ariana Grande,383696,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
60,lovely (with Khalid),Billie Eilish,383474,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
61,Body (feat. brando),Loud Luxury,378055,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
62,Happy Now,Kygo,377383,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
63,God's Plan,Drake,370787,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
64,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,366691,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
65,Be Alright,Dean Lewis,364057,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
66,Psycho (feat. Ty Dolla $ign),Post Malone,359199,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
67,Jocelyn Flores,XXXTENTACION,358296,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
68,Yes Indeed,Lil Baby,347584,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
69,Promises (with Sam Smith),Calvin Harris,347141,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
70,REEL IT IN,Amin?,346946,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
71,no tears left to cry,Ariana Grande,343975,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
72,All I Want for Christmas Is You,Mariah Carey,340726,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
73,Love No More,Loud Luxury,336258,https://open.spotify.com/track/15fZrZhdK0g1BS9sDeW6sD
74,Waste It On Me (feat. BTS),Steve Aoki,333632,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
75,Look Alive (feat. Drake),BlocBoy JB,332285,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
76,Beautiful (feat. Camila Cabello),Bazzi,329639,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
77,STARGAZING,Travis Scott,328459,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
78,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,328260,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
79,I Like Me Better,Lauv,320192,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
80,High Hopes,Panic! At The Disco,315327,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
