,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Stuck with U (with Justin Bieber),Ariana Grande,1594625,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
2,ROCKSTAR (feat. Roddy Ricch),DaBaby,1577337,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,GOOBA,6ix9ine,1465011,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
4,THE SCOTTS,THE SCOTTS,1445853,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,Roses - Imanbek Remix,SAINt JHN,1393070,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,Toosie Slide,Drake,1326140,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
7,Blinding Lights,The Weeknd,1194043,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,Blueberry Faygo,Lil Mosey,990858,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,The Box,Roddy Ricch,899308,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
10,death bed (coffee for your head),Powfu,891890,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
11,Dance Monkey,Tones And I,799733,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,Don't Start Now,Dua Lipa,798692,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
13,Intentions (feat. Quavo),Justin Bieber,781944,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,Righteous,Juice WRLD,781312,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
15,Be Kind (with Halsey),Marshmello,774522,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
16,WHATS POPPIN,Jack Harlow,764006,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
17,Sunday Best,Surfaces,724885,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,Party Girl,StaySolidRocky,706155,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
19,Savage Remix (feat. Beyonc?),Megan Thee Stallion,694733,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
20,Circles,Post Malone,665924,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,Pain 1993 (with Playboi Carti),Drake,635016,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
22,After Party,Don Toliver,626750,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
23,Say So,Doja Cat,621338,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
24,ily (i love you baby) (feat. Emilee),Surf Mesa,619418,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
25,Supalonely,BENEE,603272,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
26,Someone You Loved,Lewis Capaldi,603033,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,Break My Heart,Dua Lipa,601436,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
28,Turks (with Gunna & ft. Travis Scott),NAV,572809,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
29,Falling,Trevor Daniel,570728,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
30,If the World Was Ending - feat. Julia Michaels,JP Saxe,569089,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
31,Say So (feat. Nicki Minaj),Doja Cat,561603,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
32,ROXANNE,Arizona Zervas,559776,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
33,Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,558258,https://open.spotify.com/track/3Ddny34bFoYBb8dIGq5lwp
34,Life Is Good (feat. Drake),Future,551801,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
35,Walk Em Down (feat. Roddy Ricch),NLE Choppa,532504,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
36,Chicago Freestyle (feat. Giveon),Drake,532438,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
37,Adore You,Harry Styles,512112,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
38,Before You Go,Lewis Capaldi,499196,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,goosebumps,Travis Scott,496099,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
40,Boss Bitch,Doja Cat,488277,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
41,Godzilla (feat. Juice WRLD),Eminem,478256,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
42,Play Date,Melanie Martinez,462302,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
43,HIGHEST IN THE ROOM,Travis Scott,457827,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
44,SICKO MODE,Travis Scott,455555,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
45,In Your Eyes,The Weeknd,441122,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
46,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,437383,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
47,Saint Laurenttt,NAV,435976,https://open.spotify.com/track/2oPQVgCTYqA4FBknwAroWf
48,Memories,Maroon 5,431901,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
49,"10,000 Hours (with Justin Bieber)",Dan + Shay,424499,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
50,Savage,Megan Thee Stallion,407614,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
51,D4L,Future,403248,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
52,hot girl bummer,blackbear,401526,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
53,bad guy,Billie Eilish,394471,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
54,Run It Up (feat. Pop Smoke),NAV,386031,https://open.spotify.com/track/6LUE5WlMgrpLouGxzJAUVv
55,Ballin' (with Roddy Ricch),Mustard,381709,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
