,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,1653288,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,I Don't Care (with Justin Bieber),Ed Sheeran,1549097,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,bad guy,Billie Eilish,1461835,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,No Guidance (feat. Drake),Chris Brown,1304687,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
5,The London (feat. J. Cole & Travis Scott),Young Thug,1179025,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
6,If I Can't Have You,Shawn Mendes,1014595,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,908568,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,Pop Out (feat. Lil Tjay),Polo G,902160,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
9,Sucker,Jonas Brothers,891824,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
10,Ransom,Lil Tecca,883911,https://open.spotify.com/track/1xbtojAZsQjOgiGdGX6ChU
11,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,875149,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
12,Never Really Over,Katy Perry,833194,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
13,Old Town Road,Lil Nas X,830553,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
14,Heaven,Avicii,824260,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
15,EARFQUAKE,"Tyler, The Creator",800133,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
16,SOS (feat. Aloe Blacc),Avicii,797310,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
17,Wow.,Post Malone,759585,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
18,"Go Loko (feat. Tyga, Jon Z)",YG,752144,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
19,Truth Hurts,Lizzo,749068,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
20,Call You Mine (feat. Bebe Rexha),The Chainsmokers,734801,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
21,Suge,DaBaby,733259,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
22,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,722510,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
23,Someone You Loved,Lewis Capaldi,721429,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,Only Human,Jonas Brothers,709702,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
25,Talk (feat. Disclosure),Khalid,675990,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
26,Rescue Me,OneRepublic,639849,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
27,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,636791,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
28,Mother's Daughter,Miley Cyrus,610369,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
29,MIDDLE CHILD,J. Cole,609508,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
30,7 rings,Ariana Grande,608265,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
31,Going Bad (feat. Drake),Meek Mill,590038,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
32,Isis,Joyner Lucas,586665,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
33,Easier,5 Seconds of Summer,583249,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
34,Pure Water (with Migos),Mustard,573463,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
35,Shallow,Lady Gaga,557487,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
36,Eastside (with Halsey & Khalid),benny blanco,551209,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
37,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,536715,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
38,Homicide (feat. Eminem),Logic,522759,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
39,Paradise,Bazzi,520932,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
40,Happier,Marshmello,499080,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
41,Con Calma,Daddy Yankee,494401,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
42,Dancing With A Stranger (with Normani),Sam Smith,490779,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
43,bury a friend,Billie Eilish,487881,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
44,when the party's over,Billie Eilish,487309,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
45,Haute (feat. J Balvin & Chris Brown),Tyga,479286,https://open.spotify.com/track/1jlnBQGP2DtSEhMgQaz7a7
46,SICKO MODE,Travis Scott,473630,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
47,Sanguine Paradise,Lil Uzi Vert,465636,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
48,Broke Leg (with Quavo & Tyga),Tory Lanez,455944,https://open.spotify.com/track/5CKtlUULFD5aPVX4PL02H6
49,Sweet but Psycho,Ava Max,443959,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
50,Here With Me,Marshmello,441528,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
51,Without Me,Halsey,430873,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
52,Murder On My Mind,YNW Melly,429681,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
53,Look Back at It,A Boogie Wit da Hoodie,422694,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
54,Nightmare,Halsey,417091,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
55,Drip Too Hard (Lil Baby & Gunna),Lil Baby,409681,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
56,Love Me Less (feat. Quinn XCII),MAX,407771,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ
57,Beer Never Broke My Heart,Luke Combs,403060,https://open.spotify.com/track/5eDvChP4WAPPrtaQeI9MhT
58,Press,Cardi B,401921,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
59,Taste (feat. Offset),Tyga,400023,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
60,High Hopes,Panic! At The Disco,396582,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
61,Better,Khalid,391294,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
62,i'm so tired...,Lauv,388056,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
63,Better Now,Post Malone,387178,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
64,"break up with your girlfriend, i'm bored",Ariana Grande,386553,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
65,lovely (with Khalid),Billie Eilish,384723,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,Lucid Dreams,Juice WRLD,384144,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
67,wish you were gay,Billie Eilish,377348,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
68,Don't Call Me Up,Mabel,374794,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
69,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,365616,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
70,Youngblood,5 Seconds of Summer,360911,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
71,Find U Again (feat. Camila Cabello),Mark Ronson,360480,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX
72,Freaky,Tory Lanez,352707,https://open.spotify.com/track/7EAaSaj1OgZgMX5yZyFXFC
