,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Bande organis?e,0.117,0.901,0.939,0.0,0.0643,-2.762,1,0.274,142.948,4,0.805,2912822,France,205HNJ73cgpC0LAOnuQiWT
1,Grand bain,0.88,0.63,0.393,0.0,0.0894,-10.762,1,0.183,145.051,4,0.166,2413329,France,1fyVvRQsa095P7QK5Um7xH
2,Jolie nana,0.269,0.813,0.64,0.0,0.131,-5.908,1,0.272,92.989,4,0.488,2219489,France,34FbkFgAbv4ffvhL2XQMVm
3,Angela,0.702,0.65,0.469,0.249,0.106,-8.676,0,0.184,191.853,4,0.378,1783808,France,6ab3CQvDlAVttThZucwGQ1
4,Djomb - Bien ou quoi,0.172,0.945,0.676,0.00036,0.322,-6.6,1,0.207,123.109,4,0.631,1665446,France,0KBwGCY9RYD9t2zjeW4h48
5,My Salsa,0.276,0.841,0.574,0.0,0.0752,-6.183,0,0.0834,98.999,4,0.548,1653824,France,7IJIj326qJJA6oi6EpFCBD
6,Savage Love (Laxed - Siren Beat),0.234,0.767,0.481,0.0,0.269,-8.52,0,0.0803,150.076,4,0.761,1469281,France,1xQ6trAsedVPCdbtDAmk0c
7,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0.0,0.101,-7.956,1,0.164,89.977,4,0.497,1414923,France,7ytR5pFWmSjzHJIeQkgog4
8,? la f?te,0.391,0.885,0.689,0.0,0.129,-5.581,0,0.165,100.385,3,0.492,1308678,France,0qARyMVNjA6q1uxxO3nofB
9,Moto,0.153,0.931,0.605,0.0,0.214,-6.615,1,0.36,127.004,4,0.601,1215210,France,5DH03Qs3SSG12TNUCSAzMi
10,MAMACITA,0.19,0.88,0.626,0.000755,0.094,-7.062,1,0.0473,105.01,4,0.441,1189690,France,24IgCW19L8lXKyFZwzFtD3
11,Jerusalema (feat. Nomcebo Zikode) - Edit,0.0226,0.903,0.545,8.2e-06,0.0571,-6.896,1,0.05,124.011,4,0.87,1091286,France,2R7gA9dAHTjASKU0wiTJok
12,Head Shoulders Knees & Toes (feat. Norma Jean Martine),0.0247,0.798,0.828,2.55e-06,0.121,-5.36,1,0.193,124.962,4,0.6,1066524,France,6i7zAdNhzUN2k1HcrBxPHG
13,Anissa,0.693,0.873,0.505,0.0017,0.108,-8.554,1,0.0646,100.037,4,0.582,1029239,France,62Pp6exz0ywSlBqvNqiY6Z
14,Breaking Me,0.223,0.789,0.72,0.0,0.129,-5.652,0,0.218,122.031,4,0.664,1020452,France,3H7ihDc1dqLriiWXwsc2po
15,MACINTOSH,0.326,0.851,0.567,1.74e-06,0.123,-6.506,1,0.202,122.971,4,0.338,1011787,France,70yiVJoOUU6cNbdsgL6ADT
16,10K,0.388,0.789,0.702,0.00872,0.11,-6.555,0,0.0382,126.016,4,0.572,1009010,France,07pzk5h8p2qRowPZb3YBKC
17,Alane,0.0419,0.581,0.799,9.43e-06,0.11,-6.66,1,0.164,124.002,4,0.662,994386,France,2u6Jm2klS4yvAlbSHlxUwI
