,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1926702,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,夜に駆ける,YOASOBI,1782665,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
3,裸の心,Aimyon,1404820,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
4,香水,Eito,1376392,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT
5,"Make you happy",NiziU,1342840,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
6,"猫 〜THE FIRST TAKE ver.〜",DISH//,1210224,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
7,感電,"Kenshi Yonezu",1201270,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI
8,"I Love...","Official HIGE DANdism",1130466,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
9,Pretender,"Official HIGE DANdism",1089024,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
10,115万キロのフィルム,"Official HIGE DANdism",1079987,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
11,白日,"King Gnu",1016952,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
12,"snow jam",Rin音,969687,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
13,Laughter,"Official HIGE DANdism",951167,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
14,キンモクセイ,オレンジスパイニクラブ,942833,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe
15,群青,YOASOBI,938575,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA
16,"Walking with you",Novelbright,936602,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
17,春を告げる,yama,906936,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
18,猫,DISH//,874876,https://open.spotify.com/track/3NP2nqAgMELIV3MAhrFNMx
19,ハルジオン,YOASOBI,841087,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi
20,"Lovesick Girls",BLACKPINK,835193,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
21,紅蓮華,LiSA,829355,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
22,Shukumei,"Official HIGE DANdism",827275,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
23,"Stay Gold",BTS,825033,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
24,まちがいさがし,"Masaki Suda",819796,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
25,点描の唄,"Mrs. GREEN APPLE",816805,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
26,不可幸力,Vaundy,807021,https://open.spotify.com/track/65e5PmFI3cqoLEJYF3TfCG
