,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
57,Cooler Than Me,Lucky Luke,994708,https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
58,Dynamite,BTS,983320,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
59,QN,KC Rebell,969708,https://open.spotify.com/track/7EN5yE1l414pRyz4AkCEYD
60,Emotions 2.0,Ufo361,966113,https://open.spotify.com/track/3yZCjDTxzZxx1kll1sRjGc
61,Cinderella,Pietro Lombardi,956129,https://open.spotify.com/track/68lAxWGvGc9yGheEkFDFiT
62,Roadrunner,Bonez MC,952533,https://open.spotify.com/track/0BwO44CBPFWxAIO5ZbPf3N
63,Tiefschwarz (feat. Samra),Kontra K,948199,https://open.spotify.com/track/7bDSLyTjZ1VjU5kPHTL3Ko
64,What's Love Got to Do with It,Kygo,937796,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW
65,Kings & Queens,Ava Max,930528,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
66,Not Safe,Nimo,922523,https://open.spotify.com/track/1pI1iO1C55opOeLLdIMFwl
67,you broke me first,Tate McRae,904970,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
68,Big Body Benz,Bonez MC,904090,https://open.spotify.com/track/2WOJ7D52Ng3myrKlEf4Azj
69,International Criminal,KitschKrieg,882646,https://open.spotify.com/track/2ketPBZrMipLnqxQUpdOZn
70,Dance Monkey,Tones And I,879705,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
71,Makarova,Asche,879442,https://open.spotify.com/track/3vvh5Bx4MloxsZVyjfk6Ht
72,Mars,Georg Stengel,871649,https://open.spotify.com/track/5iUveERei5JgBhqWlu3JIN
73,FLY,KC Rebell,865783,https://open.spotify.com/track/1WoM4mof0Nl1xPtwf6h6ow
74,Coño,Jason Derulo,858315,https://open.spotify.com/track/5DV4ZSCqbFv74ui3ZhimXo
75,Ich würd' lügen,KAYEF,850276,https://open.spotify.com/track/5B9CtjeguIO9LeOk8Xs1J3
76,Malli,Kidda,834568,https://open.spotify.com/track/126jIHe1uzahC3EsuNvGrJ
77,Ur So F**kInG cOoL,Tones And I,822691,https://open.spotify.com/track/6KiEsqGg0HBOSMflVH7Onx
78,Mario Run,Symba,808635,https://open.spotify.com/track/6M6Zzch8COuCiIjdn5EhI4
79,Midnight Sky,Miley Cyrus,805716,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
80,Hypnotized,Purple Disco Machine,794751,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
81,Smile (with The Weeknd),Juice WRLD,788976,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
82,Hale-Bopp,Seeed,779309,https://open.spotify.com/track/72Z8ZjMvJIocWNiGwfpHx0
83,MAMACITA,Black Eyed Peas,773949,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
84,Superstar,David Puentez,764592,https://open.spotify.com/track/5gFCFZnV0QTt1YfjY7dJBY
85,Take My Hand,Jerome,757101,https://open.spotify.com/track/7My1iCGUznwNztIokee32S
86,Bachata,Kay One,750785,https://open.spotify.com/track/6PK070dD3j8I6VRmKVvSrP
87,7 Stunden,LEA,746344,https://open.spotify.com/track/1EbdQ54jFLGEH94cUif3TI
88,Emotions,Ufo361,744791,https://open.spotify.com/track/6lU4BQWZomCWRfKSowfezE
89,LIGHT UP THE NIGHT/MODELFACE/JO-JO - MIXED,Fler,738315,https://open.spotify.com/track/13Jh2zK7TnLa1oua9vYCs9
90,Ma Vie,Veysel,737656,https://open.spotify.com/track/7AMblhd8xbG6ixeZQPgZOm
91,Ich weiß nicht mal wie sie heißt,Capital Bra,736001,https://open.spotify.com/track/4KfL3Ne8bc9bC2PUB8QGwA
92,Te Dua,Mudi,734532,https://open.spotify.com/track/607Qnf751oBkkxCThw3cXf
93,Never Know (feat. SHIRIN DAVID),Luciano,731616,https://open.spotify.com/track/0Dw8hUbjXORzIWp7mjbh0t
94,Control,Zoe Wees,725858,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
95,Love to Go,Lost Frequencies,720014,https://open.spotify.com/track/3bffZlBH65GZ2rVc9qiHg5
96,Alien,Dennis Lloyd,705825,https://open.spotify.com/track/1Tqshmc0rnQPaIGJfRp2Da
97,Like I Love You,Nico Santos,704792,https://open.spotify.com/track/7hr6WRm7HUlVdkfnhSTm0G
98,Flugmodus,Clueso,697178,https://open.spotify.com/track/2iNzRQE0MlCaSHbHGzmbN2
99,Ayo Technology,Kynda Gray,694770,https://open.spotify.com/track/0Jh40A8WJdGXwkEDgxhaKo
100,DICKE BAHN,KASIMIR1441,688855,https://open.spotify.com/track/1E8AbLU32wldcSGPxAIOY6
101,Robbery,Juice WRLD,681811,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
102,Ice Cream (with Selena Gomez),BLACKPINK,677869,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
103,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,675818,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
104,Wishing Well,Juice WRLD,674715,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
105,Weekend,LIZOT,664241,https://open.spotify.com/track/4KPYXZUCKYLEEcGmKN4Exs
106,Thank You [Not So Bad],VIZE,661740,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
107,ily (i love you baby) (feat. Emilee),Surf Mesa,658336,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
108,Close Your Eyes,Felix Jaehn,653570,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
109,Signal,badmómzjay,652047,https://open.spotify.com/track/6ZIfKSsEOdcJn7VHRoXKUw
110,200 km/h,Apache 207,645725,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
111,Who's Laughing Now,Ava Max,645625,https://open.spotify.com/track/73h4oe03sZy8bXfQLfnqMv
112,Over Now (with The Weeknd),Calvin Harris,622683,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
113,Tränen aus Kajal,CÉLINE,621855,https://open.spotify.com/track/1vZqDXhvyXAwSM8V6MU0N5
114,The Passenger (LaLaLa) [feat. MOKABY],LUM!X,620815,https://open.spotify.com/track/2A0CxheiQGQdCiKtOR7jMP
115,110,Capital Bra,619150,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
116,No Therapy,Felix Jaehn,615279,https://open.spotify.com/track/7tUTCcqkMCnC9qLqbQeI0T
117,Skifahren (feat. Joshi Mizu),The Cratez,615064,https://open.spotify.com/track/7qwWwsa6otLM0UOEamls4s
118,EGOTOD,PA Sports,610889,https://open.spotify.com/track/7Hdggj7tENSHpq9mZCb5cE
119,facts,Lil Lano,610073,https://open.spotify.com/track/4DqDu89VYuIjvDJP0fLjgG
120,Perspektive,MERO,609357,https://open.spotify.com/track/2oFmcqi6QWlZCkuHXfrJi2
121,Vermissen (feat. Henning May),Juju,609321,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
122,Light,Jerome,607580,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
123,Gar kein Bock,Dardan,607348,https://open.spotify.com/track/60QNDFwS9oTTFu3gb9rYCs
124,SKRR,KALIM,605746,https://open.spotify.com/track/0U9dP3BUlAgq9KkJXOijBH
125,Beautiful Madness,Michael Patrick Kelly,598156,https://open.spotify.com/track/4tfLFDGypUWad5AT6772If
126,Jolie nana,Aya Nakamura,595443,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm
127,MedMen,Jamule,586691,https://open.spotify.com/track/5t3PF7pHuiwwLbNCJ8mn4N
128,Warum,KAYEF,584838,https://open.spotify.com/track/20opc3dykV1sSxVwaGLUMc
129,Why Do You Lie To Me (feat. Lil Baby),Topic,582843,https://open.spotify.com/track/1Mu0qs9DQ8OfhiPvHxZMMM
130,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,579321,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
131,Baby,Joker Bra,578999,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
132,Rain On Me (with Ariana Grande),Lady Gaga,570376,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
133,Party Girl,StaySolidRocky,568744,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
134,Go Crazy,Chris Brown,566616,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
135,In Your Eyes (feat. Alida),Robin Schulz,565822,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
136,Ride It,Regard,565541,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
137,Someone You Loved,Lewis Capaldi,565268,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
138,Dior,Pop Smoke,563625,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
139,my ex's best friend (with blackbear),Machine Gun Kelly,562672,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
140,SANDMANN,reezy,562102,https://open.spotify.com/track/5UDK6yzqiW4kJU3YQauYR5
141,Toosie Slide,Drake,561920,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
142,Hauseingang,Pashanim,557448,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
143,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,555900,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
144,Easy,AK AUSSERKONTROLLE,555462,https://open.spotify.com/track/1As8f8iPGCx0evpgY0xrka
145,Salt,Ava Max,547639,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
146,2002,Sido,543571,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
147,Lucid Dreams,Juice WRLD,542022,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
148,death bed (coffee for your head),Powfu,541430,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
149,Still Don't Know My Name,Labrinth,538489,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
150,Nicht verdient,Capital Bra,536251,https://open.spotify.com/track/7v8OynJxOxHoeS5C2UA9Y7
151,Goosebumps,HVME,533683,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
152,Tick Tock (feat. 24kGoldn),Clean Bandit,531982,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
153,Fingertips,Tom Gregory,528996,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
154,Vertrau mir,Juju,522819,https://open.spotify.com/track/1ueWZubKpdTGEz3AzgefB5
155,TKN (feat. Travis Scott),ROSALÍA,518858,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
156,Angels Sippen,Symba,512172,https://open.spotify.com/track/0gThlZWwZWkDqRKGOz2CN1
157,THE BADDEST,K/DA,510838,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f
158,HIGHEST IN THE ROOM,Travis Scott,508835,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
159,goosebumps,Travis Scott,505885,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
160,Treppenhaus,LEA,504458,https://open.spotify.com/track/0psIeufUtT83Ot2dkLjQ0v
161,28 Liter,Apache 207,495242,https://open.spotify.com/track/1Y8V7yhFFrFjzBQtOH4ap7
162,Ladida (My Heart Goes Boom),CRISPIE,494589,https://open.spotify.com/track/7AAt2NDyAnv2Ni2decYxgh
163,Gimme! Gimme! Gimme!,GAMPER & DADONI,487411,https://open.spotify.com/track/4zLSkwZaiMfzzapPCbdG90
164,Heather,Conan Gray,485615,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
165,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,480895,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
166,H <3 T E L,Dardan,478923,https://open.spotify.com/track/4PP0u2Fhzg8NnPW3EZGw2v
167,Details,Dardan,477953,https://open.spotify.com/track/08yf4NUfZnOJUZ309NemMm
168,Secrets,Regard,476556,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
169,To The Moon,Nimo,474746,https://open.spotify.com/track/68BzmtNh2aWQZ3AQOUmGDg
170,Monster,LUM!X,474500,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
171,Auf und Ab,Apache 207,474144,https://open.spotify.com/track/3EmCRdONSwuGJJJWPghRjd
172,Supalonely,BENEE,472113,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
173,Endorphine,TheDoDo,471876,https://open.spotify.com/track/3rxFFtIbmz4QXZGGEEsuSj
174,Shababs botten,Pashanim,471853,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
175,Gangster Queen,AK AUSSERKONTROLLE,469389,https://open.spotify.com/track/1qHaUkOtJ0VlDG8kJPvY5l
176,Before You Go,Lewis Capaldi,469244,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
177,Xhep,Azet,467473,https://open.spotify.com/track/4AzHvMzbHMCHC1UAoULT49
178,GOOBA,6ix9ine,467454,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
179,Jerusalema (feat. Nomcebo Zikode),Master KG,466786,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
180,Blueberry Faygo,Lil Mosey,466500,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
181,Nacht zu kurz,Luciano,465158,https://open.spotify.com/track/1eNyHqFFfC3NrRmXQCn83K
182,500 PS,Bonez MC,463535,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
183,Matrix,Apache 207,458373,https://open.spotify.com/track/0CflhdVVA63j3oxaqNSUzC
184,Blue Jeans,CÉLINE,456744,https://open.spotify.com/track/5zDEsfsz5Ih3EKqYFbWGWy
185,Together,Sia,456328,https://open.spotify.com/track/5id3Rqn7SPj1LX4FfY4nGz
186,Fall Auf,Cro,453523,https://open.spotify.com/track/012iHyRvQQquWQGUTYvDxy
187,SICKO,Felix Jaehn,451205,https://open.spotify.com/track/2vDxrqUKTkgSxn7x3JYms9
188,Tilidin,Capital Bra,451011,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
189,Best of Us,WIER,449330,https://open.spotify.com/track/5DhcEJWVdkPNkJUVnbiUKo
190,VALLA NEIN (feat. Luciano),KC Rebell,447721,https://open.spotify.com/track/2rxxXYtTIFKyrhJpofeoIX
191,Nie verstehen,Apache 207,445704,https://open.spotify.com/track/6TL7b76AWgto4ulxoUB3qB
192,BaeBae,Samra,444787,https://open.spotify.com/track/20rTzps5LFpeylWrzM84zS
193,Falling,Trevor Daniel,444123,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
194,1000x COOLER,TJ_beastboy,443643,https://open.spotify.com/track/5ZtRzAXZG81zaFY2DRwAgk
195,Flasche Luft,BHZ,438361,https://open.spotify.com/track/2cLHnxLRLpIGgRnFRChnpr
196,Alien,RIN,435812,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
197,Ohne mein Team,Bonez MC,435480,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
198,Watershed,Giant Rooks,432046,https://open.spotify.com/track/2CfWHcw3H18SdyX4PcwJV2
199,The Box,Roddy Ricch,430454,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
200,Hayat,Ra'is,430224,https://open.spotify.com/track/5duf2NsABczC5cHAe0zwLn
