,ArtistID,MusicID
70,3rbtPd0NcvhO2AzMfzx90z,01ZIculhpupvh79iH4LSWz
71,18Zq5h68TQ6kurXzRNHJDo,01as9sNALk4rpqgqz9a0n3
72,2j2rh3oQh4QEUnNTDKYSJD,01dCuK62A6QZ8L9ONTyMVo
73,3Nrfpe0tUJi4K4DXYWgMUX,01dmH2IPkrLNWIMPNXlreE
74,4LXBc13z5EWsc5N32bLxfH,01dqWNKgM2ujxu7HacaQwI
75,3xEJ7cDz5rdg6VM8E6Mqhf,01eL1T8iCdN5qK6KI3dAce
76,2P7AfQW941UU324qq2ggZf,01eVMUiJcYmHqy1HUURwOY
77,6HhnhnxLsowYuuejvku0Bz,01jZO0m1WSPGXriODVKN3U
78,5vBSrE1xujD2FXYRarbAXc,01k24g94i1JvkFLQmVEdCd
79,6Xgp2XMz1fhVYe7i6yNAax,01kOu8BA8yzAHx9LUidTi9
80,41LLNWUptvfbQ9Q7oCefmg,01kz4lRjl4QIk1Hxh88CKN
81,22qcssYcY9HKu3mgcXXEGq,01q4ydDZhk4xdVb0M7uvgu
82,5Yo5iU2nf4H41waPl4ZnS1,01qOl2pM8emx1sxdBQc05g
83,20amiDsCI5EwB6xy37h44k,01rtYrk7VtuIgNcVfOaVaN
84,2wY79sveU1sp5g7SokKOiI,01uk7IzZyFNfQTDBXxx6NB
85,5BcAKTbp20cv7tC5VqPFoC,01uqI4H13Gsd8Lyl1EYd8H
86,18ISxWwWjV6rPLoVCXf1dz,01vR5Z7AHinp9D2wu2BNQS
87,0jEyGu5QKLxQ2tIZVnRbfE,01vXerMeFgboAgQZxUL2m9
88,3YQKmKGau1PzlVlkL1iodx,01vv2AjxgP4uUyb8waYO5Y
89,4LLpKhyESsyAXpc4laK94U,01z2fBGB8Hl3Jd3zXe4IXR
90,5AZuEF0feCXMkUCwQiQlW7,020wG4EHTwBy5h2rbpxqvK
91,1RyvyyTE3xzB2ZywiAwp0i,021lWIHJrURZrmvYQ1xcM8
92,1yjracK9CNmMgZo5myCuqu,021oUsG0NYI7YuJK6c0ecG
93,6zlR5ttMfMNmwf2lecU9Cc,022k1qYIMWV20yW7tjiBv5
94,71UcB6UtI3juKDx2wsOaqn,0247StOpd3AkeBQzANX4Zf
95,2RQXRUsr4IW1f3mKyKsy4B,026IC4Vj88QjLlnIPDExhz
96,2Z9KL8Zmqx5Sg3cd7Fldhl,02EueNTei94HbMKaBB4Clv
97,6jJ0s89eD6GaHleKKya26X,02FaKXXL7KUtRc7K0k54tL
98,1EZhPZUiU6c52gOAZLIcR2,02Hm1Auu9GelscSyCeO8ac
99,7ge3QfYPMTjDbMoVLuuIuJ,02IYSENYv8CaBYCRNCBltd
100,2ptKt4yP4mYRZmvi09JYyi,02LVio44kxb9vSlvbMzEDT
101,5yG7ZAZafVaAlMTeBybKAL,02LZ1fGJE8fB56yTlCVMEV
102,0HdLXCWPtmK9wgd7CyNuj3,02LwcMgdAIoHdTOMVCWSul
103,4yvcSjfu4PC0CYQyLy4wSq,02MWAaffLxlfxAUY7c5dvx
104,1xAkr1syMoClC66pHMk2Eq,02PBAJJd2EPetkC3fbF3uv
105,4VuARVJiWGsH2msKTdsKdQ,02PjrA5rmpjDNocDmTva0H
106,5f7VJjfbwm532GiveGC0ZK,02RCbjb9czvQKNGBmEmWob
107,6S0IvKlvPMX1RtAYtVpUV8,02VHspkXhhH1QCInRWWIfr
108,7pGyQZx9thVa8GxMBeXscB,02WDuAXXKumemrvsmrVBvH
109,6ydoSd3N2mwgwBHtF6K7eX,02WacdrRpm4zlP8H7X6bnQ
110,32UhRcgdXO6LdLhOpfIdxp,02ZRnYxBuBqUtvfzhvR1x8
111,0jWCX6zp4RjWrmZRxJ2uri,02ZsOeVtenrP80YpRPSonZ
112,6NFyaN9PMCDZ3LKxGwHAXt,02c4wpeXlXxT7Cekkz3kP3
113,6UCQYrcJ6wab6gnQ89OJFh,02dADQ1lF2YLpDYDXLNifI
114,3hv9jJF3adDNsBSIQDqcjp,02dRkCEc8Q5ch4TTcnLxOn
115,1a71mkqZC54WhePSbnq7RK,02dXvglgWs3XX5qdew4cqW
116,3e7awlrlDSwF3iM0WBjGMp,02gj0J38nzyO9lNi9mzi3A
117,17lzZA2AlOHwCwFALHttmp,02hNDxtMMTpq72rdp1lm6v
118,2iE18Oxc8YSumAU232n4rW,02iUVk5hDjUseFNgYXwF9I
119,45dkTj5sMRSjrmBSBeiHym,02iW5boMzeBDVRI0dRE1Yw
120,5SXuuuRpukkTvsLuUknva1,02iYJG3KLBJODa5JkQ4O6y
121,2s7fZ34RK8RUJQ2ewsh6I5,02ij9yuZr4jjdTB4qwsFDe
122,6cEuCEZu7PAE9ZSzLLc2oQ,02itaCXOdC54J0ISjqqFAp
123,6MPCFvOQv5cIGfw3jODMF0,02kDW379Yfd5PzW5A6vuGt
124,2hlmm7s2ICUX0LVIhVFlZQ,02mYw61RoS1vXvkD9Q5dpN
125,2AwGvrbcvOSx5HDwc4OQE3,02qDk0sngobDvg3LUdt9Y0
126,2SrSdSvpminqmStGELCSNd,02t2kfqtYpPW8718hxnBcV
127,3J7r4VsNmuWixU0nXvyPd8,02t5gEURbZvQ5q3xlqzBLq
128,3tTvSeZiFDP3CY5EdPGcR4,02uSh14aUckmfTVj5MEhmg
129,2hH16roqnQFy0PdSmgZRSJ,02y8kYqCkzAxVqLEsnIXNS
130,0hItVPjwJLVZrFqOyIsxPf,030mot3ZKR3oskfMsqDB2R
131,5TUXXyB6ZKCdd0vQx6yR2J,032nvIsMuiCJKeqvj2lLmM
