,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
59,ロビンソン,SPITZ,66746,https://open.spotify.com/track/5YP52gnoypy9H1jg5RIwUW
60,"Lucky You (feat. Joyner Lucas)",Eminem,64550,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
61,"The Beginning","ONE OK ROCK",64207,https://open.spotify.com/track/4f3nDjgqXurMryYBSp0TZD
62,トリコ,Nissy,64002,https://open.spotify.com/track/3hNI4F9HEan30CRNqKkaQ4
63,ノーダウト,"Official HIGE DANdism",63684,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
64,浪漫飛行,"Kome Kome Club",62753,https://open.spotify.com/track/2iQeswvPmr9pAlBjx6Ilyb
65,2002,Anne-Marie,62690,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
66,"innocent world",Mr.Children,61816,https://open.spotify.com/track/70xcWRujaf34LOu0Vdubtp
67,"The Middle",Zedd,61200,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
68,"PIECES OF A DREAM",CHEMISTRY,61124,https://open.spotify.com/track/6CQ5WvprBENUd53lv9UzAh
69,DNA,BTS,61122,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
70,君が好き,"Shota Shimizu",60139,https://open.spotify.com/track/5Bg0HkfaRYRx8A7tMrjT9Z
71,花,"ORANGE RANGE",58226,https://open.spotify.com/track/4clwFLZjrvTtnrMviJnVKh
72,光榮之橋,Yuzu,58020,https://open.spotify.com/track/5KaplUYIDvsFe69z7UArVt
73,"Silent Majority",Keyakizaka46,57990,https://open.spotify.com/track/7b7U8EnH4gB3a9qphGYVoj
74,"Symphony (feat. Zara Larsson)","Clean Bandit",57933,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
75,そばかす,"JUDY AND MARY",57581,https://open.spotify.com/track/6YtmVjtDWDbac5tcto0BAn
76,"Beautiful (feat. Camila Cabello)",Bazzi,57492,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
77,"Black Bird",Aimer,57089,https://open.spotify.com/track/3jISIAdAIdyrKcyFVw7uKP
78,Hikari,androp,56896,https://open.spotify.com/track/4Dxdlxky5TV96ibYwFUxhp
79,LIKEY,TWICE,56890,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI
80,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,56679,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
81,"I'm Fine",BTS,56292,https://open.spotify.com/track/0EQMrxdeiBhry9JCxskko3
82,カタオモイ,Aimer,56104,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y
83,にじいろ,ayaka,55218,https://open.spotify.com/track/3JrxNi0sQ1Lnx8eGonp3Ma
84,"Hello,Again~昔からある場所~","My Little Lover",55169,https://open.spotify.com/track/4QXpGTmnWwftsbcSVhBeAm
85,貴方解剖純愛歌〜死ね〜,Aimyon,54685,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL
86,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",54173,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
87,Euphoria,BTS,54090,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
88,若者のすべて,Fujifabric,54028,https://open.spotify.com/track/5dH4asCl80Mvbsoz6zJVyZ
89,"One Kiss (with Dua Lipa)","Calvin Harris",53520,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
90,世界はあなたに笑いかけている,"Little Glee Monster",53367,https://open.spotify.com/track/3MN7FLxXoYpAG0S96C9VqO
91,"TT - Japanese ver.",TWICE,53150,https://open.spotify.com/track/0PAyiPTz8gL0udQnSasc5G
92,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",52626,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
93,奏(かなで),"Sukima Switch",52573,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
94,Wolves,"Selena Gomez",52508,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
95,"Let Me Love You","DJ Snake",51907,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
96,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",51575,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
97,BAAM,MOMOLAND,51170,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
98,"I Love It (& Lil Pump)","Kanye West",50850,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
99,壊れかけのRadio,"Hideaki Tokunaga",50714,https://open.spotify.com/track/6ddbslC9nFUFgscup9R2j3
100,Tomorrow,AAA,50503,https://open.spotify.com/track/05pQfYVH8YI9ItZEHKDRrM
101,DREAM,"Shota Shimizu",49822,https://open.spotify.com/track/6PO8T4qt3FHfauSs98zO9j
102,"Be Myself","Daichi Miura",49647,https://open.spotify.com/track/6s5C5gYdmhqH5UiYPTkJIq
103,NAO,HY,49567,https://open.spotify.com/track/2PeCrMLUayMPZnLZPkJxOJ
104,"Wait & See ~リスク~","Hikaru Utada",49549,https://open.spotify.com/track/1LJZ9LrNrBGQJ2VXFY6pQG
105,ヒーロー,"FUNKY MONKEY BABYS",48934,https://open.spotify.com/track/5iSNxrAoctBnFfyz8J9bDO
106,"STAY TUNE",Suchmos,48886,https://open.spotify.com/track/0albLGvYx6ftOUJ7KF0i5I
