,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"hot girl bummer",blackbear,483964,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"High Fashion (feat. Mustard)","Roddy Ricch",474039,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
58,"The Reaper","The Chainsmokers",450970,https://open.spotify.com/track/0g8Dq6OpSmWengqtLrVr77
59,"Watermelon Sugar","Harry Styles",450673,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
60,July,"Noah Cyrus",450582,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
61,Sorry,"Joel Corry",442716,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
62,"Lose You To Love Me","Selena Gomez",438875,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
63,"Pump It Up",Endor,437735,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
64,Castles,"Freya Ridings",436026,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
65,"Beautiful People (feat. Khalid)","Ed Sheeran",429443,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
66,Borderline,"Tame Impala",428466,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
67,"One Thing Right",Marshmello,425474,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
68,F.A.M.E,"Hooligan Hefs",422995,https://open.spotify.com/track/00V5Z1eYlNUdw5pSF8DxzC
69,"No Shame","5 Seconds of Summer",419825,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox
70,"when the party's over","Billie Eilish",416381,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
71,"Lucid Dreams","Juice WRLD",413858,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
72,"Catching Feelings (feat. SIX60)","Drax Project",408525,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
73,"Lost In Yesterday","Tame Impala",407145,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
74,"Eastside (with Halsey & Khalid)","benny blanco",405988,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
75,"Piece Of Your Heart",MEDUZA,404378,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
76,"If the World Was Ending - feat. Julia Michaels","JP Saxe",398214,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
77,"Get Me (feat. Kehlani)","Justin Bieber",394072,https://open.spotify.com/track/5VwwpU7KsLhgfbMEecedhJ
78,"HIGHEST IN THE ROOM","Travis Scott",393112,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
79,Youngblood,"5 Seconds of Summer",391550,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
80,"Come Around Me","Justin Bieber",387026,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
81,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,386774,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
82,"Ballin' (with Roddy Ricch)",Mustard,381908,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
83,"lovely (with Khalid)","Billie Eilish",376914,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
84,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,375708,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
85,"All Around Me","Justin Bieber",365272,https://open.spotify.com/track/5Py8zRKGkZvgHniVVtvNCN
86,Bruises,"Lewis Capaldi",360264,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
87,Habitual,"Justin Bieber",356909,https://open.spotify.com/track/40qyPyljksBEqlNw5sW37T
88,Shallow,"Lady Gaga",354165,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
89,"One More Year","Tame Impala",348925,https://open.spotify.com/track/5ozqshq2dtU7SYCpCBu0NE
90,"Say You Won't Let Go","James Arthur",347043,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
91,"Tell Em I'm Doing Eetswa","Hooligan Hefs",345665,https://open.spotify.com/track/1JGb28R23RdtKZYT4XOf7u
92,Birthday,Anne-Marie,343492,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO
93,"Be Alright","Dean Lewis",341675,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
94,"Mr. Brightside","The Killers",331632,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
95,"The Less I Know The Better","Tame Impala",330659,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
96,Sucker,"Jonas Brothers",328941,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
97,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,327468,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
98,"3 Nights","Dominic Fike",326479,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
99,Graveyard,Halsey,324773,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67
100,BOP,DaBaby,323753,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
101,"No Idea","Don Toliver",319613,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
102,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",319120,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
103,Charlie,Mallrat,318856,https://open.spotify.com/track/6SPOM20nWbQSBvTwzgIzqg
104,"No Judgement","Niall Horan",317741,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
105,Happier,Marshmello,314952,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
106,Changes,"Justin Bieber",311055,https://open.spotify.com/track/521Os1SMlxmsoevsqyjNmJ
107,"Exit Sign","Hilltop Hoods",310348,https://open.spotify.com/track/4c2cdWv3GLKoP12tY0OzZl
108,"After Hours","The Weeknd",310075,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
109,"Truth Hurts",Lizzo,308492,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
110,"ocean eyes","Billie Eilish",308149,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
111,"Higher Love",Kygo,307370,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
112,"How Do You Sleep?","Sam Smith",306998,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
113,Confidence,"Ocean Alley",306244,https://open.spotify.com/track/7to68V64Cu6zk0UDo5tyw3
114,"Second Emotion (feat. Travis Scott)","Justin Bieber",304310,https://open.spotify.com/track/1PnAx788sAvcI3ZxTlEyX8
115,"Forever Yours - Avicii Tribute",Kygo,302184,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
116,"Only The Young - Featured in Miss Americana","Taylor Swift",301986,https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC
117,Robbery,"Juice WRLD",301646,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
118,Available,"Justin Bieber",299066,https://open.spotify.com/track/1b6tPXXCV2fSNtR3SKWUQA
119,"Old Town Road - Remix","Lil Nas X",296362,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
120,"Without Me",Halsey,296289,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
121,"Bohemian Rhapsody - Remastered 2011",Queen,294912,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
122,"It's You","Ali Gatie",294898,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
123,Falling,"Harry Styles",294872,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
124,Misunderstood,"Youngn Lipz",293276,https://open.spotify.com/track/0aZMdAA6pg0IdH1r9MF5sT
125,"No Guidance (feat. Drake)","Chris Brown",292814,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
126,"Posthumous Forgiveness","Tame Impala",291718,https://open.spotify.com/track/1KcOU0q9AMXV9xi4tSzzCc
127,Teeth,"5 Seconds of Summer",288809,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
128,"Running Over (feat. Lil Dicky)","Justin Bieber",288712,https://open.spotify.com/track/75nKBP8jQu681pTNCtrEnn
129,"Instant Destiny","Tame Impala",288396,https://open.spotify.com/track/6WCXBUFa0z3l9DoOY3k5Xe
130,"Up All Night",Khalid,286369,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
131,"me & ur ghost",blackbear,285963,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
132,"You Need To Calm Down","Taylor Swift",284790,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
133,Wow.,"Post Malone",281808,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
134,"SICKO MODE","Travis Scott",281291,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
135,"Lights Up","Harry Styles",279524,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
136,"Is It True","Tame Impala",279107,https://open.spotify.com/track/6RZmhpvukfyeSURhf4kZ0d
137,Heartless,"The Weeknd",276510,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
138,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",275699,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
139,"I Fall Apart","Post Malone",274233,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
140,"I Like Me Better",Lauv,273602,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
141,"Diva (feat. Lil Tecca)","The Kid LAROI",273364,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
142,"Money In The Grave (Drake ft. Rick Ross)",Drake,273256,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
143,"7 rings","Ariana Grande",272929,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
144,Painkiller,Ruel,272914,https://open.spotify.com/track/1YlulsUKDduOmC7WxvXYPW
145,EARFQUAKE,"Tyler, The Creator",271823,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
146,"It Might Be Time","Tame Impala",271504,https://open.spotify.com/track/558ubozatFQlweufvHa3Ip
147,"Jocelyn Flores",XXXTENTACION,270966,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
148,Choir,"Guy Sebastian",269119,https://open.spotify.com/track/59zWQR2wQnSlkG4xTTwY9d
149,Confirmation,"Justin Bieber",268138,https://open.spotify.com/track/60brXKLTC15vK0av5gIldm
150,"Goodbyes (Feat. Young Thug)","Post Malone",266255,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
151,Better,Khalid,265878,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
152,"Yellow Hearts","Ant Saunders",265305,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
