,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ROXANNE,"Arizona Zervas",2080601,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
2,"Dance Monkey","Tones And I",1995952,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Don't Start Now","Dua Lipa",1615134,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
4,"everything i wanted","Billie Eilish",1575830,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
5,Circles,"Post Malone",1540060,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Ride It",Regard,1443555,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
7,Memories,"Maroon 5",1421379,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
8,"hot girl bummer",blackbear,1203152,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
9,"Lose You To Love Me","Selena Gomez",1119606,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
10,"Never Seen the Rain","Tones And I",1038366,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
11,"Rushing Back",Flume,1034163,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
12,"Lose Control",MEDUZA,1021070,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
13,Falling,"Trevor Daniel",1015879,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,"10,000 Hours (with Justin Bieber)","Dan + Shay",995265,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
15,"HIGHEST IN THE ROOM","Travis Scott",984981,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
16,"Someone You Loved","Lewis Capaldi",978007,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Watermelon Sugar","Harry Styles",902037,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
18,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",883351,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
19,"Before You Go","Lewis Capaldi",862945,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
20,"Trampoline (with ZAYN)",SHAED,843058,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
21,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,831848,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
22,"One Thing Right",Marshmello,803368,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
23,"Up All Night",Khalid,780200,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
24,"Lights Up","Harry Styles",759452,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
25,"Yellow Hearts","Ant Saunders",752197,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
26,"Beautiful People (feat. Khalid)","Ed Sheeran",749339,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
27,Señorita,"Shawn Mendes",743922,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,"bad guy","Billie Eilish",705715,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
29,"Piece Of Your Heart",MEDUZA,702754,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
30,"I Don't Care (with Justin Bieber)","Ed Sheeran",663339,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
31,Graveyard,Halsey,661334,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
32,Teeth,"5 Seconds of Summer",641917,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
33,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",627248,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
34,"Mean It",Lauv,625615,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
35,"Catching Feelings (feat. SIX60)","Drax Project",620451,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
36,"How Do You Sleep?","Sam Smith",611024,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
37,Castles,"Freya Ridings",594899,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
38,"Follow God","Kanye West",594805,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
39,"It's You","Ali Gatie",579753,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
