,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",2010682,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
2,"Ewa Ewa",Chivv,1563512,https://open.spotify.com/track/7b4lZWvZtJowzSEI5sDSK6
3,"Big Man","Sevn Alias",1528179,https://open.spotify.com/track/6bJ9c5VIx8jbf5U34qHAFm
4,DRUP,Bizzey,1424817,https://open.spotify.com/track/1fpmB97puEtPLW9ui8qEBw
5,Viraal,Frenna,1377698,https://open.spotify.com/track/1oDGSDSB1WMKOJ9Uan2xhK
6,Scars,Snelle,1280338,https://open.spotify.com/track/1cFeuf25M6gvDwG9xGitbc
7,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",1255711,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
8,IJskoud,Nielson,1255515,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
9,"7 rings","Ariana Grande",1233450,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
10,"Baby Momma","Yung Felix",1232824,https://open.spotify.com/track/1JPqCol2aFreho0bfkhiqc
11,"Als Het Avond Is","Suzan & Freek",1218531,https://open.spotify.com/track/3ciQQMSy1lKDqJbwU9l1LT
12,Achtbaan,Frenna,1168940,https://open.spotify.com/track/5AJq1BQcLQJ8iHCHluxEFO
13,"Sweet but Psycho","Ava Max",1115321,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
14,Shallow,"Lady Gaga",1101106,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
15,"Giant (with Rag'n'Bone Man)","Calvin Harris",1094841,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
16,"break up with your girlfriend, i'm bored","Ariana Grande",995634,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
17,"High Hopes","Panic! At The Disco",980411,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
18,"Sneaky Money (feat. Chivv & Boef)","Ali B",938962,https://open.spotify.com/track/6sWnV2GlPypADfr0UpMJxP
19,"bury a friend","Billie Eilish",860371,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
20,"Dancing With A Stranger (with Normani)","Sam Smith",847908,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
21,"Without Me",Halsey,797417,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
22,"Daar Gaat Ze (Nooit Verdiend)","Dimitri Vegas & Like Mike",769174,https://open.spotify.com/track/1gnu3dukNUACZjNOF6NAwT
23,"Con Calma","Daddy Yankee",764562,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
24,"Verleden Tijd",Frenna,751584,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
25,Louboutin,Frenna,739185,https://open.spotify.com/track/1nYj5Hv2ON80QokibDMvOE
26,"Say My Name","David Guetta",733113,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
27,"Ride or Die","Djaga Djaga",724431,https://open.spotify.com/track/3uWU7WDF55QKMMlAjooD5g
28,"Santo Domingo (feat. Yxng Bane)",Dopebwoy,708968,https://open.spotify.com/track/1qM9CvktdKuwk7ppwoIq1o
29,"Be Alright","Dean Lewis",678940,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
30,PIA,Frenna,665500,https://open.spotify.com/track/2u23s4M0ATWN9rAuJBt0sT
31,HUTS,"The Blockparty",643454,https://open.spotify.com/track/0UMaqPntFC8dFOc7p3Iefj
32,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",642431,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
33,"Dip Raar",Diplo,639554,https://open.spotify.com/track/4Qe9dt6fYTWRpUnVHH6FhA
34,"Speechless (feat. Erika Sirola)","Robin Schulz",604239,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
35,"Don't Call Me Up",Mabel,602813,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
36,fallin',Idaly,598401,https://open.spotify.com/track/1SveOxUxAxhrCWBhdfbjQu
37,"Diamond Heart","Alan Walker",577472,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0
38,"Let You Love Me","Rita Ora",575607,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
39,Paris,Frenna,569619,https://open.spotify.com/track/7eCxBJf5yF68WOcQuy9pY1
40,POSITIE,Caza,566596,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
41,"Let Me Down Slowly","Alec Benjamin",565792,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
42,Wow.,"Post Malone",559222,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
43,"Happy Now",Kygo,558152,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
44,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",552292,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
45,Happier,Marshmello,545296,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
46,"Bad Liar","Imagine Dragons",501875,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
47,Regen,Frenna,493643,https://open.spotify.com/track/46V1YQy4dwmVG9zB5PkawO
48,"Promises (with Sam Smith)","Calvin Harris",487077,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
49,"thank u, next","Ariana Grande",481739,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
50,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",479266,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
51,"Always Remember Us This Way","Lady Gaga",465869,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
52,"Who Do You Love","The Chainsmokers",448831,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
53,"Lost Without You",Krezip,428829,https://open.spotify.com/track/51wraBsCPN2svE8Ircwmlr
54,"Come My Way",Tabitha,407778,https://open.spotify.com/track/5wo3Opxvcc5SsszgmwV9Lh
55,Talk,Khalid,407176,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
56,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",400989,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
57,Culo,Bizzey,386196,https://open.spotify.com/track/442ctQ3OBBk8aMo3Ma3wRX
58,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",369749,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
59,"No Sleep (feat. Bonn)","Martin Garrix",365590,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
60,"Before I Go","Guy Sebastian",362748,https://open.spotify.com/track/5vlTxb7BP5DWzpw8RgnzxR
61,"i'm so tired...",Lauv,360861,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
62,Nachtwacht,Woenzelaar,354106,https://open.spotify.com/track/671oNA5Bw4SiWNFbaYPtCe
63,"High On Life (feat. Bonn)","Martin Garrix",351263,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
64,"Bad Gyal",Frenna,347331,https://open.spotify.com/track/48kvMhISZUDB3q107Cjo6p
65,PARANOIA,"Jonna Fraser",346891,https://open.spotify.com/track/5kHMdJLmN364FvFfky3AXI
66,Wazabi,3robi,340857,https://open.spotify.com/track/6C0VgaDh8IpcqexnACFwRd
67,Youngblood,"5 Seconds of Summer",339570,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
68,"Ze Loevt",Frenna,338801,https://open.spotify.com/track/0vNGIfbfrEX21HigNDXMID
69,"Mona Lisa","Jacin Trill",336005,https://open.spotify.com/track/5QneX2KaozYStHH6duSHr1
70,SLIDE,Caza,335442,https://open.spotify.com/track/0cvgns9yWdycXStdjLzoZT
71,Shotgun,"George Ezra",330079,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
72,Grip,Seeb,329086,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
73,"Electricity (with Dua Lipa)","Silk City",327366,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
74,Speciaal,Frenna,326614,https://open.spotify.com/track/1IJ2kXcVKw9Of3weornLMo
75,"Murder On My Mind","YNW Melly",324184,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
76,"Niet Voor Mij",Ismo,321240,https://open.spotify.com/track/7ithHRQwDx8nUX0tEvs1az
77,"Better Now","Post Malone",320415,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
78,"Bohemian Rhapsody - Remastered 2011",Queen,314264,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
79,"when the party's over","Billie Eilish",314113,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
80,"Love Someone","Lukas Graham",307127,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
81,"De Wereld Is Van Jou",Hef,305141,https://open.spotify.com/track/7xEJp6iI9yqhrdAA3low42
82,"MIDDLE CHILD","J. Cole",304334,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
83,Speling,"DJ DYLVN",302986,https://open.spotify.com/track/0g8FVJPtUXIB1kKQCtBT16
84,365,Zedd,301889,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
