,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Calling My Phone,Lil Tjay,1402379,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
2,drivers license,Olivia Rodrigo,1289697,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,Save Your Tears,The Weeknd,1009848,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
4,Astronaut In The Ocean,Masked Wolf,834765,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,Up,Cardi B,822651,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
6,WITHOUT YOU,The Kid LAROI,795224,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
7,Mood (feat. iann dior),24kGoldn,773519,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
8,Blinding Lights,The Weeknd,753400,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Levitating (feat. DaBaby),Dua Lipa,731640,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,Good Days,SZA,677886,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
11,Whoopty,CJ,646605,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
12,The Business,Ti?sto,644101,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,Streets,Doja Cat,617469,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
14,Goosebumps - Remix,Travis Scott,596133,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
15,What You Know Bout Love,Pop Smoke,589091,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
16,AP - Music from the film Boogie,Pop Smoke,576646,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI
17,Heartbreak Anniversary,Giveon,560060,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
18,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,557687,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
19,telepat?a,Kali Uchis,551462,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
20,Anyone,Justin Bieber,538018,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
21,ROCKSTAR (feat. Roddy Ricch),DaBaby,537606,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
22,you broke me first,Tate McRae,521989,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
23,Someone You Loved,Lewis Capaldi,521199,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,Therefore I Am,Billie Eilish,507860,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
25,Bang!,AJR,504291,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
26,Best Friend (feat. Doja Cat),Saweetie,492684,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
27,Roses - Imanbek Remix,SAINt JHN,483604,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
28,Heat Waves,Glass Animals,482134,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,positions,Ariana Grande,466388,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
30,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,450818,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
31,Arcade,Duncan Laurence,450571,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
32,Back In Blood (feat. Lil Durk),Pooh Shiesty,450230,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
33,We're Good,Dua Lipa,446418,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
34,Paradise (feat. Dermot Kennedy),MEDUZA,445374,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
35,34+35,Ariana Grande,442659,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
36,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,442158,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
37,Dance Monkey,Tones And I,437178,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
38,WAP (feat. Megan Thee Stallion),Cardi B,423748,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
39,Holy (feat. Chance The Rapper),Justin Bieber,422934,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
40,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,420001,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
41,Only Wanna Be With You - Pok?mon 25 Version,Post Malone,416109,https://open.spotify.com/track/3SawmGBjjq8EOYZJV11cJm
42,I'm not Pretty,JESSIA,415300,https://open.spotify.com/track/3promGTTwsn1N5D6RzaFMV
43,my ex's best friend (with blackbear),Machine Gun Kelly,411249,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
44,Before You Go,Lewis Capaldi,405791,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
45,Martin & Gina,Polo G,403577,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
