,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,7 rings,Ariana Grande,1935814,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,"break up with your girlfriend, i'm bored",Ariana Grande,1837667,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
3,Wow.,Post Malone,1429189,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
4,MIDDLE CHILD,J. Cole,1268682,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1212490,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,Going Bad (feat. Drake),Meek Mill,1139660,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
7,bury a friend,Billie Eilish,1011690,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
8,Thotiana,Blueface,965176,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
9,Look Back at It,A Boogie Wit da Hoodie,933893,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
10,Without Me,Halsey,929883,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
11,Murder On My Mind,YNW Melly,920869,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
12,"thank u, next",Ariana Grande,918274,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
13,Robbery,Juice WRLD,869668,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV
14,Dancing With A Stranger (with Normani),Sam Smith,858465,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
15,Talk,Khalid,850092,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
16,SICKO MODE,Travis Scott,819179,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
17,Pure Water (with Migos),Mustard,799880,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
18,Happier,Marshmello,789407,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
19,Shallow,Lady Gaga,767645,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
20,a lot,21 Savage,756021,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
21,Please Me,Cardi B,747201,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
22,bad idea,Ariana Grande,732148,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
23,Drip Too Hard (Lil Baby & Gunna),Lil Baby,730986,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
24,needy,Ariana Grande,693306,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
25,NASA,Ariana Grande,677869,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
26,i'm so tired...,Lauv,676277,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
27,ZEZE (feat. Travis Scott & Offset),Kodak Black,671152,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
28,Eastside (with Halsey & Khalid),benny blanco,630252,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
29,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,628408,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
30,Mo Bamba,Sheck Wes,618414,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
31,bloodline,Ariana Grande,617863,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
32,High Hopes,Panic! At The Disco,617396,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
33,Who Do You Love,The Chainsmokers,566622,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
34,imagine,Ariana Grande,561832,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
35,Red Room,Offset,544995,https://open.spotify.com/track/2MJdgSby3DtSS7bUJx2cly
36,Better Now,Post Malone,544304,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
