,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,"thank u, next",Ariana Grande,1692756,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,SICKO MODE,Travis Scott,1251402,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,ZEZE (feat. Travis Scott & Offset),Kodak Black,1238799,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
4,Mo Bamba,Sheck Wes,1187241,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1018113,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
6,Without Me,Halsey,982312,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,Happier,Marshmello,952419,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,Drip Too Hard (Lil Baby & Gunna),Lil Baby,926666,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
9,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,878088,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
10,BAD!,XXXTENTACION,856756,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
11,Better,Khalid,818223,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
12,come out and play,Billie Eilish,770088,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
13,when the party's over,Billie Eilish,758002,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
14,MIA (feat. Drake),Bad Bunny,734034,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
15,Lucid Dreams,Juice WRLD,717779,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,715632,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
17,Shallow,Lady Gaga,660270,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
18,KIKA,6ix9ine,640806,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
19,All I Want for Christmas Is You,Mariah Carey,618325,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
20,Better Now,Post Malone,611395,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,No Stylist (feat. Drake),French Montana,599340,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
22,Eastside (with Halsey & Khalid),benny blanco,594328,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
23,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,588642,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
24,Armed And Dangerous,Juice WRLD,577863,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
25,Nonstop,Drake,573877,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
26,Leave Me Alone,Flipp Dinero,552466,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
27,Youngblood,5 Seconds of Summer,551847,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
28,Taste (feat. Offset),Tyga,544013,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
29,SAD!,XXXTENTACION,532617,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
30,Space Cadet (feat. Gunna),Metro Boomin,528336,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
31,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,526045,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
32,10 Freaky Girls (with 21 Savage),Metro Boomin,514169,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
33,MAMA,6ix9ine,513149,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
34,Wake Up in the Sky,Gucci Mane,510316,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
35,Falling Down - Bonus Track,Lil Peep,503284,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
36,WAKA,6ix9ine,496719,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
37,TIC TOC,6ix9ine,489253,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
38,I Love It (& Lil Pump),Kanye West,487455,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
39,lovely (with Khalid),Billie Eilish,482560,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
40,Moonlight,XXXTENTACION,480530,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
41,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,461326,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
42,Fine China,Future,456616,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
43,Noticed,Lil Mosey,456258,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
44,In My Feelings,Drake,449431,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
45,Money,Cardi B,444608,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
46,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,440809,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
47,Girls Like You (feat. Cardi B),Maroon 5,437726,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
48,Lucky You (feat. Joyner Lucas),Eminem,418266,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
49,Happy Now,Kygo,417695,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
50,Bohemian Rhapsody - Remastered 2011,Queen,411846,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
51,Santa Tell Me,Ariana Grande,408488,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
52,rockstar (feat. 21 Savage),Post Malone,408445,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
53,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,404332,https://open.spotify.com/track/1XBc4r6ltXjkFJBrsttwIF
54,I Like It,Cardi B,398180,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
55,It's Beginning to Look a Lot like Christmas,Michael Bubl?,396773,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
56,Ruin My Life,Zara Larsson,396392,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
57,STOOPID,6ix9ine,388077,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
58,Saturday Nights,Khalid,377851,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
59,Body (feat. brando),Loud Luxury,375103,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
60,Topanga,Trippie Redd,373912,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
61,Mistletoe,Justin Bieber,373657,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
62,Bad Liar,Imagine Dragons,373613,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
63,God's Plan,Drake,372584,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
64,Jingle Bell Rock,Bobby Helms,371767,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
65,breathin,Ariana Grande,371717,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
66,Kiss and Make Up,Dua Lipa,370070,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
67,bellyache,Billie Eilish,369643,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
68,Woman Like Me (feat. Nicki Minaj),Little Mix,362749,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
69,Natural,Imagine Dragons,361897,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
70,It's the Most Wonderful Time of the Year,Andy Williams,361316,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
71,Psycho (feat. Ty Dolla $ign),Post Malone,355516,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
72,Last Christmas,Wham!,353082,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
73,High Hopes,Panic! At The Disco,352449,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
74,I Found You (with Calvin Harris),benny blanco,350293,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh
75,Yes Indeed,Lil Baby,349166,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
