,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,In meinem Benz,0.167,0.786,0.666,0.0,0.235,-5.266,1,0.536,154.862,4,0.737,5025274,Germany,6BXyD6UUPizpRpA7iOi99r
1,Airwaves,0.0739,0.885,0.578,0.0903,0.102,-7.416,0,0.0783,131.999,4,0.388,4393454,Germany,5CqkgDH8QZjSqqI3HmYxDD
2,FLY,0.137,0.835,0.596,1.09e-06,0.164,-6.637,0,0.297,100.706,4,0.897,4223546,Germany,1WoM4mof0Nl1xPtwf6h6ow
3,Fame,0.184,0.811,0.645,0.0,0.103,-8.008,0,0.104,129.967,4,0.474,4118971,Germany,3goH7O78TLkV9RhCAyM4AT
4,SKRR,0.163,0.803,0.649,2.72e-05,0.152,-6.599,0,0.132,125.038,4,0.584,4095857,Germany,0U9dP3BUlAgq9KkJXOijBH
5,Roadrunner,0.128,0.795,0.607,0.19,0.111,-9.04,1,0.23,99.012,4,0.25,4036560,Germany,0BwO44CBPFWxAIO5ZbPf3N
6,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0.0,0.101,-7.956,1,0.164,89.977,4,0.497,3979486,Germany,7ytR5pFWmSjzHJIeQkgog4
7,HOES UP G'S DOWN,0.0455,0.73,0.777,0.00106,0.0759,-6.375,0,0.29,177.865,4,0.578,3345466,Germany,01I9AEz658sQnQzCL3K3QG
8,Emotions,0.351,0.814,0.459,0.0165,0.107,-10.859,1,0.282,131.518,5,0.211,3266136,Germany,6lU4BQWZomCWRfKSowfezE
9,7 Stunden,0.471,0.767,0.558,0.0,0.0653,-6.638,0,0.22,110.573,5,0.325,3018619,Germany,1EbdQ54jFLGEH94cUif3TI
10,Bogota,0.234,0.856,0.675,4.6e-06,0.0612,-5.526,0,0.307,94.03,4,0.719,2952629,Germany,29TUkNnrShE2xvCZcCb6Xa
11,Scarface (feat. Capo & Rick Ross),0.334,0.612,0.665,0.0,0.327,-6.288,0,0.139,88.019,4,0.543,2741728,Germany,4Qy2Eo9URGWbV4VzwBTdxU
12,SANDMANN,0.227,0.638,0.602,0.0,0.0595,-7.193,1,0.161,174.0,4,0.717,2713110,Germany,5UDK6yzqiW4kJU3YQauYR5
